Id	RefreshId	UniformRefresh
30080101	30080101	1
30080102	30080102	1
30080103	30080103	1
30080104	30080104	1
30080105	30080105	1
30080106	30080106	1
30080107	30080107	1
30080108	30080108	1
30080109	30080109	1
30080110	30080110	1
30080111	30080111	1
30080112	30080112	1
30080113	30080113	1
30080114	30080114	1
30080115	30080115	1
30080201	30080201	1
30080202	30080202	1
30080203	30080203	1
30080204	30080204	1
30080205	30080205	1
30080206	30080206	1
30080207	30080207	1
30080208	30080208	1
30080209	30080209	1
30080210	30080210	1
30080211	30080211	1
30080212	30080212	1
30080213	30080213	1
30080214	30080214	1
30080215	30080215	1
30080301	30080301	1
30080302	30080302	1
30080303	30080303	1
30080304	30080304	1
30080305	30080305	1
30080306	30080306	1
30080307	30080307	1
30080308	30080308	1
30080309	30080309	1
30080310	30080310	1
30080311	30080311	1
30080312	30080312	1
30080313	30080313	1
30080314	30080314	1
30080315	30080315	1
30080401	30080401	1
30080402	30080402	1
30080403	30080403	1
30080404	30080404	1
30080405	30080405	1
30080406	30080406	1
30080407	30080407	1
30080408	30080408	1
30080409	30080409	1
30080410	30080410	1
30080411	30080411	1
30080412	30080412	1
30080413	30080413	1
30080414	30080414	1
30080415	30080415	1
30080501	30080501	1
30080502	30080502	1
30080503	30080503	1
30080504	30080504	1
30080505	30080505	1
30080506	30080506	1
30080507	30080507	1
30080508	30080508	1
30080509	30080509	1
30080510	30080510	1
30080511	30080511	1
30080512	30080512	1
30080513	30080513	1
30080514	30080514	1
30080515	30080515	1
30080601	30080601	1
30080602	30080602	1
30080603	30080603	1
30080604	30080604	1
30080605	30080605	1
30080606	30080606	1
30080607	30080607	1
30080608	30080608	1
30080609	30080609	1
30080610	30080610	1
30080611	30080611	1
30080612	30080612	1
30090501	30090501	1
30090502	30090501	1
30090503	30090501	1
30090504	30090501	1
30090505	30090501	1
30090506	30090501	1
30090507	30090501	1
30090508	30090501	1
30090509	30090501	1
30090510	30090501	1
30090511	30090511	1
30090512	30090512	1
30090531	30090531	1
30090532	30090531	1
30090533	30090531	1
30090534	30090531	1
30090535	30090531	1
30090536	30090531	1
30090537	30090531	1
30090538	30090531	1
30090539	30090531	1
30090540	30090531	1
30090541	30090541	1
30090550	30090550	1
30090551	30090550	1
30090552	30090550	1
30090553	30090550	1
30090554	30090550	1
30090555	30090550	1
30090556	30090550	1
30090557	30090550	1
30090558	30090550	1
30090559	30090550	1
30090560	30090560	1
30090561	30090560	1
30090562	30090560	1
30090563	30090560	1
30090564	30090560	1
30090565	30090560	1
30090566	30090560	1
30090567	30090560	1
30090568	30090560	1
30090569	30090560	1
30090570	30090570	1
30090571	30090570	1
30090572	30090570	1
30090573	30090570	1
30090574	30090570	1
30090575	30090570	1
30090576	30090570	1
30090577	30090570	1
30090578	30090570	1
30090579	30090570	1
30090580	30090580	1
30090581	30090580	1
30090582	30090580	1
30090583	30090580	1
30090584	30090580	1
30090585	30090580	1
30090586	30090580	1
30090587	30090580	1
30090588	30090580	1
30090589	30090580	1
30090590	30090590	1
30090591	30090590	1
30090592	30090590	1
