Id	Name	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]	Weight[1]	Weight[2]	Weight[3]	Weight[4]	Weight[5]	Weight[6]	Weight[7]	Weight[8]	Weight[9]	Weight[10]
100	Minion (Melee)	92030	92100	92150								100	100	100							
101	Minion (Melee)	92090	92160									100	100								
200	Soldier (Melee)	91030	91100	91120	91150	91180	91210					100	100	100	100	100	100				
201	Soldier (Ranged)	91090	91110	91160	91170							100	100	100	100						
233	Chomper (Enhanced)	91850										100									
250	Buthus (Enhanced)	91940										100									
251	Recycle Prisoner (Enhanced)	91950										100									
265	Royal Guard (Enhanced)	91340										100									
267	Explorer (Enhanced)	91370										100									
268	Excavator (Enhanced)	91220										100									
285	Executor (Enhanced)	91180										100									
300	Elite (Melee)	90210	90260	90330	90340	90620						100	100	100	100	100					
301	Elite	90360	90370	90420	90430	90250						100	100	100	100	100					
302	Titan Elite	90410	90440	90400								100	100	100							
303	Minion Elite Melee	90030	90100	90150	90180	90600						100	100	100	100	100					
304	Minion Elite Ranged	90090	90110	90160	90610							100	100	100	100						
322	Nalasr-E (Enhanced)	93181										100									
323	Construct (Enhanced)	91380										100									
327	Drone (Enhanced)	93222										100									
400	boss怪	81200	81500	81300								100	100	100							
500	9 Ground Monitors	90090										100									
501	6 gunners in a line	91110										100									
502	6 drills or rubbish bins in a circle	91150	91160									100	100								
503	3*3 elite mashup	90450	90460	90470	90480	90490						100	100	100	100	100					
504	Easter Egg Quartet	90110	90250	90180								100	100	100							
505	3 Train Mashup	90600	90610	90620								100	100	100							
506	Deconstruct Unit	90600										100									
507	Repair Unit	90610										100									
508	Fire Unit	90620										100									
509	Longfoot	90630										100									
510	Gardener	90210										100									
511	Gigantic Cannon	90420										100									
512	1st wave ranged monsters assemble	91090	91110	91160								100	100	100							
513	2nd wave surprise monsters assemble	91370	91260	91440								100	100	100							
514	Duel Monster	90420	90630									100	100								
515	6 disgusting monsters in the 3rd wave	90600	90610	90620	90470	90260	90210					100	100	100	100	100	100				
516	Blubber VI (Enhanced)	91640										100									
517	Ballwheel IV	91650										100									
518	Hanged Man III	90660										100									
519	Kemuri I	90670										100									
520	Kowloong Crew - Yazi	90680										100									
521	Hydraulic + Executor	91150	91180									100	100								
522	Ronin + Shielder	91250	91120									100	100								
523	Kemuri + Deconstruct	91670	91600									100	100								
524	Spear + Arrow	91220	91370									100	100								
525	Two Units	91610	91620									100	100								
526	Wheelie	91650	91640									100	100								
527	Long-Leg Hanged Man	90630	90660									100	100								
528	Chest Laser	90690										100									
529	Prime Chest Laser	90700										100									
530	Gardener + Swordsman	91210	91250									100	100								
531	Deconstructor + Blubber	91360	91640									100	100								
532	Deep-sea Ambusher	90460										100									
533	Martini + Mr. White	91720	91730									100	100								
534	Bird + Squid	91750	91770									100	100								
535	Watermelon	90740										100									
536	Rabbit (Extreme)	90760										100									
537	Bear	90780										100									
538	Blubber	91640	91670									100	100								
539	Kemuri Elite	90670										100									
540	Ballwheel	91650	91640									100	100								
541	Blubber Elite	90700										100									
542	Kemuri	91670	91650									100	100								
543	Ballwheel Elite	90640										100									
544	Prime	90650										100									
545	Tai'E I (Extreme)	90810										100									
546	Snow Owl (Basic)	92750										100									
547	Luo (Extreme)	90830										100									
548	Mr. White (Basic)	92730										100									
549	Tai'E I (Basic)	92810										100									
550	Blubber	92640										100									
551	Horizon Phase 2 Side A - Melee Weak	91030	90190	90100	90150	90180	90250					100	100	100	100	100	100				
552	Horizon Phase 2 Side A - Melee Enhanced	90210	90360	90130	90330							100	100	100	100						
553	Horizon Phase 2 Side A - Ranged Weak	91110	90170	90160								100	100	100							
554	Horizon Phase 2 Side A - Ranged Enhanced	90440	90260	90380								100	100	100							
555	Horizon Phase 2 Side A - Elite	90220	90370	90420								100	100	100							
556	Horizon Phase 2 Side B - Melee Weak	90730	90710	90810	90670	90640	90650					100	100	100	100	100	100				
557	Horizon Phase 2 Side B - Melee Enhanced	90750	90770	90360	90480							100	100	100	100						
558	Horizon Phase 2 Side B - Ranged Weak	90620	90170	90160								100	100	100							
559	Horizon Phase 2 Side B - Ranged Enhanced	90440	90260	90380								100	100	100							
560	Horizon Phase 2 Side B - Elite	90450	90460	90720								100	100	100							
600	Musashi IX	8120900										100									
601	Roseblade	8130000										100									
602	Riot	8215000										100									
603	Camu	8310000										100									
604	Shieldbearer	901900										100									
605	Repairer	900300										100									
606	Ground Monitor	900900										100									
607	Hydraulic	901500										100									
608	Tamer	901300										100									
609	Ronin IV	902500										100									
610	Hetero Fire Unit	906200										100									
611	Executor	901800										100									
612	Gardener	902100										100									
613	Blubber (Extreme)	906400										100									
614	Explorer	903700										100									
615	Royal guard	903400										100									
616	Ballwheel IV	906500										100									
617	Excavator	902200										100									
618	Bio-Salamander	902600										100									
619	Deconstructor	903600										100									
620	Polar Soldier	904500										100									
621	Prime	907000										100									
622	Terrapod	904400										100									
623	Envoy	903300										100									
624	Tank Rally	901900	901300	902100	906500	904500						100	100	100	100	100					
625	Shooter Rally	900900	906200	903700	902600	904400						100	100	100	100	100					
626	Assassin Rally	901500	901800	903400	903600	903300						100	100	100	100	100					
627	Fighter Rally	900300	902500	906400	902200	907000						100	100	100	100	100					
628	Core Rally	8120900	8130000	8215000	8310000							100	100	100	100						
629	Lv.1 Monster Rally	901900	900900	901500	900300							100	100	100	100						
630	Lv.2 Monster Rally	901300	906200	901800	902500							100	100	100	100						
631	Lv.3 Monster Rally	902100	903700	903400	906400							100	100	100	100						
632	Lv.4 Monster Rally	906500	902600	903600	902200							100	100	100	100						
633	Lv.5 Monster Rally	904500	904400	903300	907000							100	100	100	100						
634	Lv.1 Tank/Fighter Rally	901900	900300									100	100								
635	Lv.1 Tank/Shooter Rally	901900	900900									100	100								
636	Lv.1 Tank/Assassin Rally	901900	901500									100	100								
637	Lv.1 Fighter/Shooter Rally	900300	900900									100	100								
638	Lv.1 Fighter/Assassin Rally	900300	901500									100	100								
639	Lv.1 Shooter/Assassin Rally	900900	901500									100	100								
640	Lv.2 Tank/Fighter Rally	901300	902500									100	100								
641	Lv.2 Tank/Shooter Rally	901300	906200									100	100								
642	Lv.2 Tank/Assassin Rally	901300	901800									100	100								
643	Lv.2 Fighter/Shooter Rally	902500	906200									100	100								
644	Lv.2 Fighter/Assassin Rally	902500	901800									100	100								
645	Lv.2 Shooter/Assassin Rally	906200	901800									100	100								
646	Lv.3 Tank/Fighter Rally	902100	906400									100	100								
647	Lv.3 Tank/Shooter Rally	902100	903700									100	100								
648	Lv.3 Tank/Assassin Rally	902100	903400									100	100								
649	Lv.3 Fighter/Shooter Rally	906400	903700									100	100								
650	Lv.3 Fighter/Assassin Rally	906400	903400									100	100								
651	Lv.3 Shooter/Assassin Rally	903700	903400									100	100								
652	Lv.4 Tank/Fighter Rally	906500	902200									100	100								
653	Lv.4 Tank/Shooter Rally	906500	902600									100	100								
654	Lv.4 Tank/Assassin Rally	906500	903600									100	100								
655	Lv.4 Fighter/Shooter Rally	902200	902600									100	100								
656	Lv.4 Fighter/Assassin Rally	902200	903600									100	100								
657	Lv.4 Shooter/Assassin Rally	902600	903600									100	100								
658	Lv.5 Tank/Fighter Rally	904500	907000									100	100								
659	Lv.5 Tank/Shooter Rally	904500	904400									100	100								
660	Lv.5 Tank/Assassin Rally	904500	903300									100	100								
661	Lv.5 Fighter/Shooter Rally	907000	904400									100	100								
662	Lv.5 Fighter/Assassin Rally	907000	903300									100	100								
663	Lv.5 Shooter/Assassin Rally	904400	903300									100	100								
664	Lv.1 Tank/Fighter/Shooter Rally	901900	900300	900900								100	100	100							
665	Lv.1 Fighter/Shooter/Assassin Rally	900900	901500	900300								100	100	100							
666	Lv.1 Shooter/Assassin/Tank Rally	901900	900900	901500								100	100	100							
667	Lv.1 Assassin/Tank/Fighter Rally	901900	901500	900300								100	100	100							
668	Lv.2 Tank/Fighter/Shooter Rally	901300	906200	902500								100	100	100							
669	Lv.2 Fighter/Shooter/Assassin Rally	906200	901800	902500								100	100	100							
670	Lv.2 Shooter/Assassin/Tank Rally	901300	906200	901800								100	100	100							
671	Lv.2 Assassin/Tank/Fighter Rally	901300	901800	902500								100	100	100							
672	Lv.3 Tank/Fighter/Shooter Rally	902100	903700	906400								100	100	100							
673	Lv.3 Fighter/Shooter/Assassin Rally	903700	903400	906400								100	100	100							
674	Lv.3 Shooter/Assassin/Tank Rally	902100	903700	903400								100	100	100							
675	Lv.3 Assassin/Tank/Fighter Rally	902100	903400	906400								100	100	100							
676	Lv.4 Tank/Fighter/Shooter Rally	906500	902600	902200								100	100	100							
677	Lv.4 Fighter/Shooter/Assassin Rally	902600	903600	902200								100	100	100							
678	Lv.4 Shooter/Assassin/Tank Rally	906500	902600	903600								100	100	100							
679	Lv.4 Assassin/Tank/Fighter Rally	906500	903600	902200								100	100	100							
680	Lv.5 Tank/Fighter/Shooter Rally	904500	904400	907000								100	100	100							
681	Lv.5 Fighter/Shooter/Assassin Rally	904400	903300	907000								100	100	100							
682	Lv.5 Shooter/Assassin/Tank Rally	904500	904400	903300								100	100	100							
683	Lv.5 Assassin/Tank/Fighter Rally	904500	903300	907000								100	100	100							
684	Tai'E (Enhanced)	91810										100									
685	Mr. White (Enhanced)	91730										100									
686	Popper (Enhanced)	91860										100									
687	Jaspers (Extreme)	90870										100									
688	Zombie (Basic)	92890										100									
689	Rock (Basic)	92900										100									
690	Luo (Enhanced)	91830										100									
691	Luo (Basic)	92830										100									
692	Zombie (Enhanced)	91890										100									
693	Heteromer Aerial Monitor (Basic)	92490										100									
694	Heteromer Aerial Monitor (Enhanced)	91490										100									
695	Heteromer Aerial Monitor (Extreme)	90490										100									
696	Heteromer Sentry Gun (Basic)	92480										100									
697	Heteromer Sentry Gun (Enhanced)	91480										100									
698	Heteromer Sentry Gun (Extreme)	90480										100									
699	Zhu (Basic)	92850										100									
700	Zhu (Enhanced)	91850										100									
701	Zhu (Extreme)	90850										100									
702	Rock (Enhanced)	91900										100									
703	Hetero Repair Unit (Enhanced)	91610										100									
704	Hetero Fire Unit (Enhanced)	91620										100									
705	Hetero Explore Unit (Enhanced)	91630										100									
706	Hetero Repair Unit (Basic)	92610										100									
707	Hetero Fire Unit (Basic)	92620										100									
708	Ballwheel IV (Basic)	92650										100									
709	Kemuri I (Enhanced)	91670										100									
710	Martini (Enhanced)	91720										100									
711	Martini (Basic)	92720										100									
712	Cathy (Extreme)	90710										100									
713	Cathy (Enhanced)	91710										100									
714	Cathy (Basic)	92710										100									
715	Rabbit (Enhanced)	91760										100									
716	Rabbit (Basic)	92760										100									
717	Squid (Extreme)	90770										100									
718	Squid (Enhanced)	91770										100									
719	Squid (Basic)	92770										100									
720	Snow Owl (Extreme)	90750										100									
721	Snow Owl (Enhanced)	91750										100									
722	Polar Bear (Enhanced)	91780										100									
723	Monkfish (Normal)	92930										100									
724	Monkfish (Enhanced)	91930										100									
725	Scorpion (Normal)	92940										100									
726	Scorpion (Enhanced)	91940										100									
727	Hammerhead (Enhanced)	91950										100									
728	Hammerhead (Extreme)	90950										100									
729	Blair (Ordinary)	92960										100									
730	Blair (Enhanced)	91960										100									
731	Blair (Extreme)	90960										100									
732	Bot (Ordinary)	92970										100									
733	Bot (Enhanced)	91970										100									
734	Bot (Extreme)	90970										100									
735	Patrol Wagon (Enhanced)	91980										100									
736	Patrol Wagon (Extreme)	90980										100									
737	Sanitation Robot (Enhanced)	93011										100									
738	Sanitation Robot (Extreme)	93010										100									
739	Water Lizard (Enhanced)	93021										100									
740	Water Lizard (Extreme)	93020										100									
741	Skateboard (Enhanced)	90991										100									
742	Skateboard (Extreme)	90990										100									
743	Hetero-Sapien (Basic)	93032										100									
744	Hetero-Sapien (Enhanced)	93031										100									
745	Hetero-Sapien (Extreme)	93030										100									
746	Female Construct (Basic)	93052										100									
747	Female Construct (Enhanced)	93051										100									
748	Corrupted Construct	93054										100									
749	Female Construct Captain (Extreme)	93060										100									
750	Female Construct Captain (Enhanced)	93061										100									
751	Female Construct Captain (Basic)	93062										100									
752	Sanctuary Guard	93072										100									
753	Repairer (Enhanced)	91030										100									
754	Popper (Basic)	92860										100									
755	Jaspers (Basic)	92870										100									
756	Fairy (Wind) Ordinary	93114										100									
757	Fairy (Wind) Extreme	93110										100									
758	Fairy (Wind) Enhanced	93112										100									
759	Fairy (Fire) Ordinary	93115										100									
760	Fairy (Fire) Extreme	93111										100									
761	Fairy (Fire) Enhanced	93113										100									
762	Treant (Ordinary)	93101										100									
763	Treant (Extreme)	93103										100									
764	Treant (Enhanced)	93102										100									
765	Zhu (Enhanced)	91850										100									
766	Sea Squirt	91900										100									
767	Pilgrim	91110										100									
768	Scorpion	91940										100									
769	Beetle	91830										100									
