Id	TypeId[1]	TypeId[2]	TypeId[3]	TypeId[4]	TypeId[5]	TypeId[6]	TypeId[7]	TypeId[8]	TypeId[9]	TypeId[10]	AffixGroupId
1	300	-1	200	-1	-1						2
2	300	200	-1	-1	-1	-1	-1				1
3	300	-1	-1								4
4	400										13
5	689	-1	-1	-1							18
6	688	-1	690								18
7	691	-1	692								18
8	693	-1	-1	-1							18
9	691	-1	697								18
10	696	-1	690								18
11	689	-1	700								18
12	699	-1	702								18
13	692	-1	-1	-1							18
14	699	-1	694								18
15	693	-1	700								18
16	696	-1	-1	-1							18
17	688	-1	702	-1							18
18	703	-1	-1								18
19	704	-1	689	-1							18
20	702	-1	707	-1							18
21	705	-1	-1								18
22	704	-1	-1								18
23	689	-1	692	-1							18
24	703	-1	688	-1							18
25	692	-1	706	-1							18
26	516	-1	708	-1							18
27	709	-1	-1								18
28	689	-1	517	-1							18
29	692	-1	-1								18
30	517	-1	-1								18
31	300	201	-1								25
32	300	200	-1								25
33	301	200	-1								25
34	301	201	-1								25
35	709	-1	549	-1							18
36	702	-1	-1								18
37	688	-1	684	-1							18
38	710	-1	714	-1							18
39	685	-1	-1								18
40	688	-1	713	-1							18
41	690	-1	-1								18
42	710	-1	-1								18
43	702	-1	548	-1							18
44	700	-1	-1	-1							18
45	689	-1	685	-1							18
46	715	-1	719	-1							18
47	721	-1	-1								18
48	691	-1	718	-1							18
49	718	-1	-1								18
50	700	-1	546	-1							18
51	699	-1	721	-1							18
61	300	201	-1	100	-1	-1					25
62	300	201	-1	101	-1	-1					25
63	300	200	-1	100	-1	-1					25
64	300	200	-1	101	-1	-1					25
65	301	201	-1	100	-1	-1					25
66	301	201	-1	101	-1	-1					25
67	301	200	-1	100	-1	-1					25
68	301	200	-1	101	-1	-1					25
69	784										24
70	785										24
71	791										24
72	798	-1									13
73	799	-1									13
74	798	799									13
75	800	801									13
76	800	-1									13
77	801	-1									13
78	798	801									13
79	798	800									13
80	799	801									13
81	799	800									13
82	823										24
83	824										24
84	822										24
85	829										24
86	787										25
87	788										25
88	784										24
89	794										25
90	787										25
91	784										25
92	795	-1									13
93	796	-1									13
94	795	796									13
95	783	797									13
96	783	-1									13
97	797	-1									13
98	795	797									13
99	795	783									13
100	796	797									13
101	400										25
102	819	-1									25
103	820	-1									25
104	819	820									25
105	822	822									25
106	822	-1									25
107	822	-1									25
108	819	822									25
109	819	822									25
110	820	822									25
111	820	822									25
112	823										25
113	824										25
114	825										25
115	805										25
116	826	-1									25
117	827	-1									25
118	826	827									25
119	829	829									25
120	829	-1									25
