Id	Name	IsSelect	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]
1	Repairer (Extreme)	0	92030	91030	90030							
2	Ground Monitor (Extreme)	0	92090	91090	90090							
3	Aerial Monitor (Extreme)	0	92100	91100	90100							
4	Pilgrim (Extreme)	0	91110	90110								
5	Protector (Extreme)	0	91120									
6	Hydraulic (Extreme)	0	92150	91150	90150							
7	Sentry Gun (Extreme)	0	92160	91160	90160							
8	Missionary (Extreme)	0	91170									
9	Executor (Extreme)	0	91180	90180								
10	Gardener (Extreme)	0	91210	90210								
11	Ronin IV (Extreme)	0	90250	91250								
12	Bio-Salamander (Extreme)	0	90260	91260								
13	Envoy (Extreme)	0	90330									
14	Royal Guard (Extreme)	0	90340									
15	Firefighter (Extreme)	0	90350									
16	Deconstructor (Extreme)	0	90360	91360								
17	Explorer (Extreme)	0	90370	91370								
18	Bio-Bull (Extreme)	0	90400									
19	Acid Ant (Extreme)	0	90410									
20	Musashi VI (Extreme)	0	90420									
21	Musashi IX (Extreme)	0	90430									
22	Terrapod (Extreme)	0	90440	91440								
23	Musashi IX	0	81200									
24	Nozzle	0	81500									
25	Lancer	0	90220	91220								
26	Polar Soldier	0	92450	91450	90450							
27	Deep-sea Ambusher	0	92460	91460	90460							
28	Heteromer Hydraulic (Enhanced)	0	92470	91470	90470							
29	Heteromer Sentry Gun (Enhanced)	0	92480	91480	90480							
30	Heteromer Aerial Monitor (Enhanced)	0	92490	91490	90490							
31	Deconstruct Unit	0	90600	91600								
32	Repair Unit	0	90610	91610	92610							
33	Fire Unit	0	90620	91620	92620							
34	Longfoot	0	90630	91630	92630							
35	Blubber VI	0	90640	91640	92640							
36	Ballwheel IV	0	90650	91650	92650							
37	Hanged Man III	0	90660	91660								
38	Kemuri I	0	90670	91670	92670							
39	Kowloong Crew - Yazi	0	90680									
40	Chest Laser	0	90690	91690								
41	Prime Chest Laser	0	90700									
42	Roseblade	0	81300									
43	Rabbit	0	90760	91760	92760							
44	Martini	0	90720	91720	92720							
45	Mr. White	0	90730	91730	92730							
46	A Mao	0	90740									
47	Cathy	0	90710	91710	92710							
48	Snow Owl	0	91750									
49	Squid	0	91770									
50	Bear	0	90780	91780								
51	Hanged Man I (Basic)	0	90790	91790	92790							
52	Yunlu (Basic)	0	90800	91800	92800							
53	Tai'E I (Basic)	0	90810	91810	92810							
54	Snow Owl	0	90750	91750	92750							
55	Luo	0	90830	91830	92830							
56	Shieldbearer (Extreme)	0	90190	91190	92190							
57	Missionary (Extreme)	0	90170	91170	92170							
58	Naval 5 - Squid (Extreme)	0	90770	91770	92770							
59	Tamer (Extreme)	0	90130									
60	Construct (Extreme)	0	90380									
61	Popper	0	92860	91860								
62	Jaspers	0	90870	92870								
63	Wanshi Update Zombie Construct	0	92890	91890	90890							
64	Wanshi Update Stone Humanoid	0	92900	91900	90900							
65	Anniversary Chomper	0	92850	91850	90850							
66	Monkfish (Normal)	0	92930									
67	Monkfish (Enhanced)	0	91930									
68	Scorpion (Normal)	0	92940									
69	Scorpion (Enhanced)	0	91940									
70	Hammerhead (Enhanced)	0	91950									
71	Hammerhead (Extreme)	0	90950									
72	Blair	0	92960	91960	90960							
73	Bot	0	92970	91970	90970							
74	Patrol Wagon	0	91980	90980								
75	Sanitation Robot	0	93012	93011	93010							
76	Water Beast	0	93022	93021	93020							
77	Skateboard	0	90992	90991	90990							
78	Rubber Man	0	93032	93031	93030							
79	Female Construct	0	93051	93052	93054							
80	Female Construct Captain	0	93060	93061	93062							
81	Sanctuary Guard	0	93072									
82	Harvester	0	90390									
200	Micawberism Cloisters Shieldbearer	0	901900									
201	Micawberism Cloisters Repairer	0	900300									
202	Micawberism Cloisters Ground Monitor	0	900900									
