ChapterId	ChapterName	ChapterEn	MoveStageIndex[1]	MoveStageIndex[2]	DatumLinePrecent	Difficult	StageTitle	OrderId	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	StageId[8]	StageId[9]	StageId[10]	StageId[11]	StageId[12]	StageId[13]	StageId[14]	StageId[15]	StageId[16]	StageId[17]	StageId[18]	StageId[19]	StageId[20]	StageId[21]	StageId[22]	StageId[23]	StageId[24]	StageId[25]	StageId[26]	TreasureId[1]	TreasureId[2]	TreasureId[3]	TreasureId[4]	PrefabName	ActivityCondition	ExploreGroupId	OpenCondition
2000	Prelude	Frozen Darkness				1	EX00	1	15010001	15010009	15010010	15010002	15010003	15010004	15010011	15010005	15010012	15010006	15010007	15010008	15010013														1000002	1000003	1000004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor00FW.prefab	30406		
2100	Prelude	Frozen Darkness				2	EX00	1	30110114																										1100002	1100003	1100004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor00FW.prefab	100901		100901
2001	Chapter 1	Grand Blue				1	EX01	2	15010101	15010102	15010103	15010104	15010105	15010106	15010107	15010108	15010109	15010110	15010111	15010112	15010113	15010114	15010115	15010116	15010117	15010118	15010119	15010120							1001002	1001003	1001004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor01FW.prefab	30406	101	
2101	Chapter 1	Grand Blue				2	EX01	2	16010101	16010102	16010103	16010104	16010105	16010106	16010107	16010108																			1101002	1101003	1101004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard01FW.prefab	100701	102	
2002	Chapter 2	Firn Night				1	EX02	3	15020101	15020102	15020103	15020104	15020105	15020106	15020107	15020108	15020109	15020110	15020111	15020112	15020113	15020114	15020115	15020116	15020117	15020118									1002002	1002003	1002004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor02FW.prefab	30406		
2102	Chapter 2	Firn Night				2	EX02	3	16020101	16020102	16020103	16020104	16020105	16020106	16020107	16020108																			1102002	1102003	1102004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard02FW.prefab	30406		
2003	Chapter 3	Lost Chapter				1	EX03	4	15030101	15030102	15030103	15030104	15030105	15030119	15030106	15030107	15030108	15030109	15030110	15030111	15030112	15030113	15030114	15030115	15030116	15030117	15030118								1003002	1003003	1003004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor03FW.prefab	30406	103	
2103	Chapter 3	Lost Chapter				2	EX03	4	16030101	16030102	16030103																								1103002	1103003	1103004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard03FW.prefab	30406	104	
2004	Chapter 4	Echo Aria	13		0.5	1	EX04	5	15010501	15010502	15010503	15010504	15010505	15010506	15010507	15010508	15010509	15010510	15010511	15010512	15010513	15010514	15010515	15010516	15010517	15010518	15010519	15010520							1004002	1004003	1004004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor04FW.prefab	30406		
2104	Chapter 4	Echo Aria	4		0.5	2	EX04	5	15010521	15010522	15010523	15010524	15010525	15010526	15010527	15010528																			1104002	1104003	1104004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard04FW.prefab	30406		
2005	Chapter V	Inscription of Labyrinth				1	EX05	6	15010601	15010602	15010603	15010604	15010605	15010606	15010607	15010608	15010609	15010610	15010612	15010613															1005002	1005003	1005004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor05FW.prefab	30406		
2105	Chapter V	Inscription of Labyrinth				2	EX05	6	15010621	15010626	15010627	15010628	15010622	15010629	15010623	15010624	15010625	15010630	15010631	15010632															1105002	1105003	1105004		Assets/Product/Ui/ComponentPrefab/FuBenHard/FuBenHard05FW.prefab	101201		
