Id	CharacterRecomend[1]	CharacterRecomend[2]	CharacterRecomend[3]
1010	1051001	1031002	
1011	1051003	1111002	
1012	1141003	1031001	
1020	1141003	1031001	
1021	1051001	1031001	
1022	1051001	1031002	
1030	1021001	1051001	
1031	1011003	1141003	
1032	1021003	1141003	
1040	1051001	1031001	
1041	1141003	1031001	
1042	1051001	1031002	
1050	1021001	1031001	
1051	1021003	1141003	
1052	1011003	1141003	
1060	1021001	1031001	
1061	1011003	1071002	
1062	1021003	1071002	
1070	1051001	1031001	
1071	1141003	1031002	
1072	1141003	1031001	
1080	1051001	1031001	
1081	1141003	1031001	
1082	1141003	1031002	
1090	1051001	1031001	
1091	1121002	1031002	
1092	1121002	1031003	
1100	1021001	1051001	
1101	1021002	1121002	
1102	1041003	1121002	
1110	1051001	1031001	
1111	1141003	1031001	
1112	1141003	1031002	
1120	1141003	1011003	
1121	1021003	1051001	
1122	1021001	1051001	
1123	1041004	1141003	
1130	1081003	1131002	
1131	1171003	1131002	
1132	1171003	1031003	
1140	1051003	1111002	
1141	1051003	1031002	
1142	1051001	1031001	
1143	1011002	1111002	
1144	1071003	1111002	
1145	1071003	1031002	
1146	1051001	1031001	
1147	1141003	1031001	
1148	1141003	1031002	
1149	1071004	1131002	
1150	1071004	1031002	
1151	1051001	1131002	
1152	1021003	1031001	
1153	1011003	1031001	
1154	1021001	1031001	
1155	1121002	1031002	
1156	1121002	1031003	
1157	1051001	1031002	
1158	1071003	1051003	
1159	1011002	1051003	
1160	1011002	1051001	
1161	1041003	1031002	
1162	1021002	1031002	
1163	1161002	1131002	
1164	1161002	1031002	
1165	1081003	1071004	
1166	1171003	1071004	
1167	1021004	1161002	
1168	1021003	1031001	
1169	1021001	1031001	
1170	1011003	1031001	
1171	1141003	1551003	
1172	1041004	1031003	
1174	1021004	1131002	
1175	1021004	1031002	
1176	1201003	1191003	
1177	1201003	1181003	
1178	1181003	1191003	
1179	1071004	1131002	
1180	1071004	1031002	
1181	1051001	1031002	
1240	1531004	1071004	
1320	1131003	1031002	
1330	1021004	1161002	
1331	1021004	1071002	
1332	1231002	1121003	
1340	1021004	1211002	
1341	1021004	1031002	
1342	1231002	1211002	
1350	1171003	1131002	
1351	1081003	1131002	
1360	1041003	1031002	
1361	1021002	1031002	
1370	1051003	1031004	
1380	1071003	1051003	
1390	1171003	1071004	
1400	1521003	1141003	
1410	1031004	1071003	
1420	1121003	1211002	
1430	1171003	1531004	
1440	1531003	1131003	
1450	1031003	1141003	
1460	1211002	1121003	
2010	1051003	1111002	
2011	1141003	1071002	
2012	1051001	1031001	
2020	1051001	1071002	
2021	1051001	1031001	
2022	1141003	1071002	
2030	1021001	1051001	
2031	1021003	1141003	
2032	1021003	1051001	
2040	1141003	1031001	
2041	1141003	1071002	
2042	1051001	1071002	
2050	1021003	1071002	
2051	1011003	1071002	
2052	1021001	1071002	
2060	1021001	1071002	
2061	1021003	1071002	
2062	1031001	1071002	
2070	1021003	1141003	
2071	1011003	1141003	
2072	1021001	1051001	
2080	1141003	1071002	
2081	1091002	1071002	
2082	1051001	1071002	
2090	1121002	1031002	
2091	1121002	1071002	
2092	1051001	1071002	
2100	1041003	1121002	
2101	1021002	1121002	
2102	1021002	1051001	
2110	1141003	1031001	
2111	1141003	1071002	
2112	1051001	1031001	
2120	1141003	1011003	
2121	1021003	1051001	
2122	1021001	1051001	
2123	1041004	1141003	
2130	1081003	1131002	
2131	1171003	1131002	
2132	1081003	1071002	
2140	1051003	1111002	
2141	1051003	1071002	
2142	1051001	1031001	
2143	1011002	1111002	
2144	1071003	1071002	
2145	1071003	1111002	
2146	1141003	1071002	
2147	1051001	1031001	
2148	1091002	1031001	
2149	1071004	1131002	
2150	1071004	1071002	
2151	1051001	1071002	
2152	1021003	1031001	
2153	1011003	1071002	
2154	1021001	1071002	
2155	1121002	1031002	
2156	1121002	1071002	
2157	1051001	1031002	
2158	1051003	1071003	
2159	1051003	1011002	
2160	1051001	1071002	
2161	1041003	1031002	
2162	1021002	1071002	
2163	1161002	1131002	
2164	1161002	1071002	
2165	1081003	1071004	
2166	1171003	1071004	
2167	1021004	1161002	
2168	1021003	1071002	
2169	1011003	1071002	
2170	1021001	1031001	
2171	1141003	1551003	
2172	1041004	1031003	
2174	1021004	1071002	
2175	1021004	1031002	
2176	1201003	1191003	
2177	1201003	1181003	
2178	1181003	1191003	
2179	1071004	1071002	
2180	1071004	1131002	
2181	1051001	1131002	
2240	1531004	1071004	
2320	1131003	1031002	
2330	1021004	1161002	
2331	1021004	1071002	
2332	1231002	1121003	
2340	1021004	1211002	
2341	1021004	1031002	
2342	1231002	1211002	
2350	1171003	1131002	
2351	1081003	1131002	
2360	1041003	1031002	
2361	1021002	1031002	
2370	1051003	1031004	
2380	1071003	1051003	
2390	1171003	1071004	
2400	1521003	1141003	
2410	1031004	1071003	
2420	1121003	1211002	
2430	1171003	1531004	
2440	1531003	1131003	
2450	1031003	1141003	
2460	1211002	1121003	
