Id	CharacterId	TabId	TabName	RecommendType	GroupId
101	1011002	1	Phantom Pain Cage	1	101
102	1021001	1	Phantom Pain Cage	1	102
103	1031001	1	Phantom Pain Cage	1	103
104	1041002	1	Phantom Pain Cage	1	104
105	1051001	1	Phantom Pain Cage	1	105
106	1061002	1	Phantom Pain Cage	1	106
107	1071002	1	Phantom Pain Cage	1	107
108	1081002	1	Phantom Pain Cage	1	108
109	1021002	1	Phantom Pain Cage	1	109
110	1031002	1	Phantom Pain Cage	1	110
111	1011003	1	Phantom Pain Cage	1	111
112	1031003	1	Phantom Pain Cage	1	112
113	1061003	1	Phantom Pain Cage	1	113
114	1071003	1	Phantom Pain Cage	1	114
115	1051003	1	Phantom Pain Cage	1	115
116	1021003	1	Phantom Pain Cage	1	116
117	1081003	1	Phantom Pain Cage	1	117
118	1091002	1	Phantom Pain Cage	1	118
119	1041003	1	Phantom Pain Cage	1	119
120	1111002	1	Phantom Pain Cage	1	120
121	1121002	1	Phantom Pain Cage	1	121
122	1021004	1	Phantom Pain Cage	1	122
123	1131002	1	Phantom Pain Cage	1	123
124	1511003	1	Phantom Pain Cage	1	124
125	1141003	1	Phantom Pain Cage	1	125
126	1521003	1	Phantom Pain Cage	1	126
127	1161002	1	Phantom Pain Cage	1	127
128	1181003	1	Phantom Pain Cage	1	128
129	1191003	1	Phantom Pain Cage	1	129
130	1201003	1	Phantom Pain Cage	1	130
131	1171003	1	Phantom Pain Cage	1	131
132	1531003	1	Phantom Pain Cage	1	132
133	1211002	1	Phantom Pain Cage	1	133
134	1121003	1	Phantom Pain Cage	1	134
135	1221002	1	Phantom Pain Cage	1	135
136	1131003	1	Phantom Pain Cage	1	136
137	1541003	1	Phantom Pain Cage	1	137
138	1031004	1	Phantom Pain Cage	1	138
139	1531004	1	Phantom Pain Cage	1	139
140	1551003	1	Phantom Pain Cage	1	140
141	1051004	1	Phantom Pain Cage	1	141
142	1561003	1	Phantom Pain Cage	1	142
143	1071004	1	Phantom Pain Cage	1	143
144	1571003	1	Phantom Pain Cage	1	144
145	1041004	1	Phantom Pain Cage	1	145
201	1011002	2	War Zone	1	201
202	1021001	2	War Zone	1	202
203	1031001	2	War Zone	1	203
204	1041002	2	War Zone	1	204
205	1051001	2	War Zone	1	205
206	1061002	2	War Zone	1	206
207	1071002	2	War Zone	1	207
208	1081002	2	War Zone	1	208
209	1021002	2	War Zone	1	209
210	1031002	2	War Zone	1	210
