Id	Icon	ReleaseEffect	ExEffect	LinkEffect
410109	Assets/Product/Texture/Image/UiFight/FightSkillIconPet2Niu.png	FxUi009		
430109	Assets/Product/Texture/Image/UiFight/FightSkillIconPet2Niu.png	FxUi009		
849007	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Luxiya11.png	FxUi009		
849008	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Luxiya21.png	FxUi009		
849009	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Luxiya31.png	FxUi009		
749071	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li11.png	FxUi009		
749072	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li21.png	FxUi009		
749073	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li31.png	FxUi009		
749074	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li51.png	FxUi009		
749200	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral11.png	FxUi009		
749201	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral21.png	FxUi009		
749202	Assets/Product/Texture/Image/UiFight/FightSkillIconGeneral31.png	FxUi009		
