Id	Type	Title	Desc	Time	PrefabPath
1	9	Recommended Graphics:	Can be adjusted in [Settings] later	5	
1001	1		Warning\ntest1	5	
2001	2		Warning\ntest2	6	
3001	3		Warning\ntest3	7	
5001	4		Supporter has arrived\nSupporter has arrived	3	
1002	1		Boss appeared\nBoss appeared	5	
1003	1		You are spotted!\nDefeat the enemies and move on.	3	
1004	1		Portal appeared\nEnter the portal to retreat from the battlefield	5	
1005	1		The stage will end soon!\nClear the stage before time's up!	5	
1006	1		Stealth!\nReach the target without being spotted!	3	
1007	1		45s left!	7	
1008	1		Disarm the traps!\nDestory the traps and deactivate the laser beams!	3	
1009	1		Defeat the Boss without defeating Lee	3	
1010	1		Tap the control panel\nTap the control panel in order of the floor numbers	3	
1011	1		Defeat the Corrupted\nDefeat all the Corrupted	2	
1012	1		5 Corrupted left\nDefeat all the Corrupted	2	
1013	1		4 Corrupted left\nDefeat all the Corrupted	2	
1014	1		3 Corrupted left\nDefeat all the Corrupted	2	
1015	1		2 Corrupted left\nDefeat all the Corrupted	2	
1016	1		1 Corrupted left\nDefeat all the Corrupted	2	
1017	1		All the Corrupted have been defeated!	3	
1018	1		The Boss will constantly corrupt its targets	3	
1019	1		Something's wrong...\nThis place seems dangerous.	3	
1020	1		It seems something dangerous is impending...\nPerhaps it's better to leave	3	
1021	1		Something is coming...\nDon't stop, don't stop, don't stop!	3	
1022	1		A dark figure is charging towards you!\nPrepare for battle!	2	
1023	1		Finally... it's over...	3	
1024	1		High-Level Corrupted ahead!\nDestroy nearby enemies first.	5	
1025	1		An arrow appears for each enemy you slew...\nWhat will happen if these arrows form a circle?	3	
1026	1		Reactivate Control Module	2	
1027	1		Reactivate Combat Module	2	
1028	1		Reactivate Status Module	2	
1029	1		Warning: Signal Module error!	2	
1030	1		Protect the gate from the Corrupted!\nRemaining: 3/3	2	
1031	1		A Corrupted broke through the defensive line!\n<size=26>Remaining: 2/3</size>	2	
1032	1		A Corrupted broke through the defensive line!\n<size=26>Remaining: 1/3</size>	2	
1033	1		The Corrupted have broken though your defensive line!\n<size=26>Failed</size>	3	
1034	1		Defeat all the Corrupted!\n<size=26>Test the frame's power in combat.</size>	3	
1035	1		You already own 1 Energy Tank!	2	
1036	1		Energy Tank refilled!	2	
1037	1		Insufficient Energy Tank, please replenish.	2	
1038	1		Required status—Unarmed	2	
1039	1		Novice Protection activated.\n<size=26>Commandant, please continue your battle.</size>	3	
1101	1		Warning\nNew-type Corrupted	3	
1102	1		Move\nTo the Central Area	3	
1103	1		You can press the special button to quickly pass a stage and obtain all resources.	3	
1104	8	Deviation Rate	{0}		
546202	1		Collected 50 Cogs!\nCollect 50 more Cogs to clear the stage.	3	
546203	1		Collected 75 Cogs!\nCollect 25 more Cogs to clear the stage.	3	
711101	8	Accelerate	Activate	2	
711102	8	Assist	Activate	2	
711103	8	Weaken	Activate	2	
711104	8	ATK Up	Activate	2	
711201	8	Damage Reduction	Activate	2	
711202	8	Run-Up	Activate	2	
711203	8	Berserk	Activate	2	
711204	8	Support	Activate	2	
711301	8	Energy Casting	Activate	2	
711302	8	Kinetic	Activate	2	
711303	8	Bio-Booster Arm	Activate	2	
711304	8	Lucky	Activate	2	
711401	8	Perception	Activate	2	
711402	8	Iron Wall	Activate	2	
711403	8	Thunderclap	Activate	2	
711404	8	Steadfast	Activate	2	
7102771	8	<color=#00FF66>Normal</color>	{0}		
7102772	8	<color=#FF6600>Elite</color>	{0}		
7102773	8	<color=#FF3300>Leader</color>	{0}		
7102774	8	<color=#FF00CC>Boss</color>	{0}		
7102851	8	Current DPS	{0}		
7102852	1		<size=50>Total DPS<color=#FF3300>{0}! </color></size>\nResets after 5s without dealing DMG!	3	
7103000	1		<size=50>Martin's Toolbox</size>\n\n\n<size=35>1. [ID Scan]: Displays the current target's enemy ID.\n2. [DMG Stats]: Displays current DPS (damage per second).\n3. [Solitude]: Character gains Invincible + Reserve HP + Remove Search + Remove Collision + Remove Barrier.\n4. [Speed of Panther]: Character gains increased Move SPD.\n5. [Strength of Bear]: Character gains unparalleled ATK.\n6. [Earth Destroyer]: Unleashes an AOE explosion, dealing massive DMG.\n7. [Transcendence]: Casts an AOE heal, restoring a large amount of HP.\n8. [The World]: Casts an energy wave that can stop time.\n9. [Summon Dummy]: Summon a dummy that doesn't attack players.</size>\n		
7103001	8	ID Scan	<color=#33CCFF>Active</color>	3	
7103002	8	ID Scan	<color=#CC3333>Inactive</color>	3	
7103003	8	DMG Stats	<color=#33CCFF>Active</color>	3	
7103004	8	DMG Stats	<color=#CC3333>Inactive</color>	3	
7103005	8	Solitude	<color=#33CCFF>Active</color>	3	
7103006	8	Solitude	<color=#CC3333>Inactive</color>	3	
7103007	8	Speed of Panther	<color=#33CCFF>Active</color>	3	
7103008	8	Speed of Panther	<color=#CC3333>Inactive</color>	3	
7103009	8	Strength of Bear	<color=#33CCFF>Active</color>	3	
7103010	8	Strength of Bear	<color=#CC3333>Inactive</color>	3	
7103011	8	Earth Destroyer	<color=#CC3333>Charging</color>	3	
7103012	8	Earth Destroyer	<color=#33CCFF>Available</color>	3	
7103013	8	Transcendence	<color=#CC3333>Charging</color>	3	
7103014	8	Transcendence	<color=#33CCFF>Available</color>	3	
7103015	8	The World	<color=#CC3333>Charging</color>	3	
7103016	8	The World	<color=#33CCFF>Available</color>	3	
7103017	8	Summon Dummy	<color=#CC3333>In Use</color>	3	
7103018	8	Summon Dummy	<color=#33CCFF>Available</color>	3	
7157281	8	Time before Prime I revives	{0}s	1.1	
7157282	8	Time before Prime II revives	{0}s	1.1	
7157511	8	Time before next swordwave launches	{0}s	1.1	
7157512	8	Warning	Enter Sword Status Storm Phase	-1	
7159531	8	Current HP Accumulated	{0}%	-1	
7159721	8	Current Berserk Stacks	{0}	-1	
7159841	1		Guards at the castle started to rally pursuers!\n<size=27>The pursuers will arrive in 30s!</size>	2	
7159842	1		New pursuers have arrived at the field!	2	
7159843	1		All guards are down! Rally of pursuers has stopped!\n<size=27>Eliminate the remaining pursuers and leave the castle.</size>	2	
7159844	1		All guards are down! Rally of pursuers has stopped!\n<size=27>Leave the castle</size>	2	
7159845	1		All the castle units are out!	2	
7159846	1		Eliminate enemies in all zones!\n<size=27>Enemies will get stronger as you progress.</size>	3	
7159861	8	<color=#0066CC>F</color>	<color=#0066CC>◆</color>	-1	
7159862	8	<color=#0066CC>F·I</color>	<color=#0066CC>◆</color>	-1	
7159863	8	<color=#0066CC>F·I·N</color>	<color=#0066CC>◆</color>	-1	
7159864	8	<color=#0066CC>F·I·N·A</color>	<color=#0066CC>◆</color>	-1	
7159865	8	<color=#0066CC>F·I·N·A·L</color>	<color=#0066CC>◆</color>	-1	
7159866	8	<color=#FF3300>F</color><color=#0066CC>·I·N·A·L</color>	<color=#0066CC>◆</color>	-1	
7159867	8	<color=#FF3300>F·I</color><color=#0066CC>·N·A·L</color>	<color=#0066CC>◆</color>	-1	
7159868	8	<color=#FF3300>F·I·N</color><color=#0066CC>·A·L</color>	<color=#0066CC>◆</color>	-1	
7159869	8	<color=#FF3300>F·I·N·A</color><color=#0066CC>·L</color>	<color=#0066CC>◆</color>	-1	
7159870	8	<color=#FF3300>F·I·N·A·L</color>	<color=#FF3300>◆</color>	-1	
7160421	8	Enemies Stopped: 	{0}	-1	
7160461	8	Enemies Defeated: 	{0}	-1	
7161121	8	<color=#0099FF>[1-3★ Add-on]</color>	<color=#33FF00>GET！</color>	2	
7161122	8	<color=#CC33FF>[4★ Add-on]</color>	<color=#33FF00>GET！</color>	2	
7161123	8	<color=#FF6600>[5★ Add-on]</color>	<color=#33FF00>GET！</color>	2	
7161124	8	<color=#FF3333>[6★ Add-on]</color>	<color=#33FF00>GET！</color>	2	
71585051	16		Scoreboard:|Total Points: {0} / Accuracy: {1}%|<color=#33CCFF>P: {0}</color><color=#FFFF00>G: {1}</color><color=#FF3300>M: {2}</color>|<size=30>{0}/{1}</size>|Statistics Over		
71589000	16		|Collect Orbs to defeat enemies. Score: {0}|||		
71589001	1		Collection Points: <color=#FF3300>{0}</color>	3	
71589002	1		Collection Points: <color=#0099FF>{0}</color>	3	
71589003	1		Collection Points: <color=#FFFF33>{0}</color>	3	
71589051	1		Farmer Bob and his harvest field appear on the battlefield!	3	
71589052	1		Bob rushes to you after tilling the field!	3	
71589053	1		<size=50><color=#7FFF00>Imprisonment has disappeared. Collect Orbs!</color></size>\nCollect Orbs of the <color=#38bbff>same color</color> to earn <color=#38bbff>more points</color>.	3	
71589054	1		Time is up! Orbs are imprisoned! Score: {0}	3	
71589055	1		You collect all the Orbs and earned {0} points!	3	
71590000	16		|Awaken raging players. Required: {0}|||		
71590051	1		Raging players charge toward you!	3	
71590052	1		An raging player has awakened!	3	
71592000	16		|Convert {0}/{1} spotlights and defeat the enemies|||		
71592051	1		<size=50>{0}</size>\n<size=30>Remain in the spotlights</size>	3	
71592052	1		Failed to activate!\n<size=30>Hurry back to the spotlights!</size>	3	
71592053	1		Convert the <color=#FF3300>[Scarlet Light]</color>\n<size=30> and fight under the spotlight to deal additional DMG</size>	3	
71592054	1		Convert the <color=#0099FF>[Brilliant Light]</color>\n<size=30> and fight under the spotlight to increase RES and gain Super Armor</size>	3	
71592055	1		Convert the <color=#FFFF33>[Recovery Light]</color>\n<size=30> and fight under the spotlight for Regen</size>	3	
