Key	Type	Value
CollisionEffect	string	FxAirwallActivated
CollisionEffectInterval	float	1
RebootContaminationColor	string	ff3f3fff
RebootRescuingColor	string	34aff9ff
RebootRecontaminationTransitionTime	float	0.3
HpTransitionDuration	float	0.8
EnergyTransitionDuration	float	0.3
HpShakeDuration	float	0.2
HpShakeRange	float	3
BallTemplate	string	Assets/Product/Ui/UiFightPrefab/BallTemplate.prefab
UiPolygonSprite	string	Assets/Product/Texture/Image/UiFight/FightSekuai.png
AffixLevel2	string	Assets/Product/Texture/Image/IconAffix/2.png
AffixLevel3	string	Assets/Product/Texture/Image/IconAffix/3.png
AffixLevel4	string	Assets/Product/Texture/Image/IconAffix/4.png
AffixLevel5	string	Assets/Product/Texture/Image/IconAffix/5.png
AffixLevel6	string	Assets/Product/Texture/Image/IconAffix/6.png
AffixLevel7	string	Assets/Product/Texture/Image/IconAffix/7.png
AffixLevel8	string	Assets/Product/Texture/Image/IconAffix/8.png
AffixLevel9	string	Assets/Product/Texture/Image/IconAffix/9.png
AffixLevel10	string	Assets/Product/Texture/Image/IconAffix/9.png
FightOnlineMsgTime	float	10
FightOnlineMsgSendCdTime	float	5
FightOnlineMsgAutoCloseTime	float	5
UiFightMarkMoving	string	Assets/Product/Texture/Image/UiFight/UiFighMarkMoving.png
UiFightMarkMovingBg	string	Assets/Product/Texture/Image/UiFight/UiFighMarkMovingBg.png
UiFightMarkMovingBtn	string	Assets/Product/Texture/Image/UiFight/UiFighMarkMovingBtn.png
UiFightMarkMovingPoint1	string	Assets/Product/Texture/Image/UiFight/UiFighMarkMovingPoint1.png
UiFightMarkMovingPoint2	string	Assets/Product/Texture/Image/UiFight/UiFighMarkMovingPoint2.png
UiFightMarkMovingPoint3	string	Assets/Product/Texture/Image/UiFight/UiFighMarkMovingPoint3.png
SceneRollNumber	string	Assets/Product/Ui/Prefab/SceneRollNumber.prefab
Used3DRollNumber	bool	0
HackTransitionDuration	float	0.2
BallOneSound	int	1001
BallTwoSound	int	1002
BallThreeSound	int	1003
DefaultAttackButtonImage	string	Assets/Product/Texture/Image/UiFight/FightBtnAttack.png
DefaultDodgeButtonImage	string	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png
DefaultExSkillButtonImage	string	Assets/Product/Texture/Image/UiFight/FightSkillIconRLuxiya51.png
DefaultPartnerSkillIconImage0	string	Assets/Product/Texture/Image/UiFight/FightSkillIconCustom.png
DefaultPartnerSkillIconImage1	string	Assets/Product/Texture/Image/UiFight/FightSkillIconCustom.png
IndicatorToLocation	string	FxZhishi01
IndicatorToNpc	string	FxZhishi02
IndicatorRing	string	FxZhishiyuan
QteActivateEffect1	string	FxUiQTE0301
QteActivateEffect2	string	FxUiQTE0303
QteActivateEffect3	string	FxUiQTE0302
QteRunningEffect	string	FxUiQTE04
QteCoolDownEffect1	string	FxUiQTE0201
QteCoolDownEffect2	string	FxUiQTE0203
QteCoolDownEffect3	string	FxUiQTE0202
FlashLightEffect	string	FxUi008
SpEffect	string	FxUiQTE01
RebootRing	string	FxFuhuokuang01
RebootRingActive	string	FxFuhuokuang02
BallLayerHeight	float	80
JoystickTouchRange	int	107
HpBarShowTime	float	5
ComboShakeDuration	float	0.2
ComboShakeRange	float	5
CameraPerspectiveAlpha	float	0.5
CameraPerspectiveDurationTime	float	0.4
CameraPerspectiveEaseTime	float	0.2
CameraPerspectiveNpcDefaultHeight	float	2
RunTiltBufferCoefficient	float	0.93
RunTiltGravity	float	85
DefaultAnimationTransition	float	0.1
FightLowHpPercent	float	0.25
HpNormalDis	float	4
HpMinScale	float	0.7
HpMaxScale	float	1.5
FightLowHpScreenEffect	int	100002
FightHurtScreenEffect	int	100001
FightHurtPercent	float	0.05
OperationMinInterval	float	0.01
DelayRate	float	1
DelayFix	float	0
ReceiveRecordCount	int	30
DefaultViewDuration	float	1
DefaultViewNoMouseMoveMaxTime	float	15
FreeViewNoMouseMoveMaxTime	float	0.2
DefaultFightBtnExitTexture	string	Assets/Product/Texture/Image/UiFight/FightButtonExitNor.png
PCFightBtnExitTexture	string	Assets/Product/Texture/Image/UiFight/FightButtonExitPCNor.png
XboxFightBtnExitTexture	string	Assets/Product/Texture/Image/UiFight/FightButtonExitXBOXNor.png
PsFightBtnExitTexture	string	Assets/Product/Texture/Image/UiFight/FightButtonExitPSNor.png
ControlCameraByDragTip	string	Switched to Classic Mode: Hold the left mouse button to control camera movement
ControlCameraByMoveTip	string	Switched to Free Mode: Camera will automatically follow your mouse
OccupiedKeyCode	string	This button is already occupied and cannot be used.
