Id	Type	Name	SortOrder	PlayAlone
100001	2	FxShoujiPingmu03	2	1
100002	1	FxCanxuePingmu	2	1
100003	1	FxPingmuFuhuo	2	1
100004	1	FxPingmuDeath	2	1
100005	1	FxTimeOutPingmu	2	1
100010	1	FxHeipingpingmu	2	1
100011	1	FxHeipingpingmuQu	2	1
100012	1	FxHeipingpingmu	2	0
100201	1	FxR1LuxiyaPingmu	2	0
100501	1	FxR2YongyechaoAttack51Pingmu	2	0
100701	1	FxR2KalieninaAttack41Pingmu	2	0
100801	1	FxR2DubianPingmu	2	0
102101	1	FxR4LiangAtk42Suiping	2	1
102102	1	FxR4LiangAtk41Pingmu	2	0
102103	1	FxR4LiangAtk51Pingmu	2	1
101201	1	FxR2LuxiyaAttack51pingmu	2	0
101202	1	FxR2LuxiyaAtk06JuhePingmu01	2	0
101203	1	FxR2LuxiyaAtk06JuhePingmu02	2	0
101301	1	FxHeimuPingmu	2	0
101701	1	FxR3KalieninaExPingmu	2	0
100601	1	FxHeimuPingmu	2	0
101801	1	FxR3DubianPingmu	2	0
101802	1	FxR3DubianPingmu02	2	0
101901	1	FxR3AilaAtk53pingmu	2	1
101902	1	FxR3AilaWinpingmu	2	1
101903	1	FxR3AilaAtk52pingmu	2	1
101401	1	FxR3BiankaPingmu	2	0
103201	1	FxR4LuxiyaPingmu	2	0
103202	1	FxR4LuxiyaAttack51Pingmu	2	0
110201	1	FxR2KuluomuPingmu	2	0
110301	1	FxR2WeilaAttack52Pingmu	2	0
110503	1	FxR3LuosaitaAtk51Pingmu	2	0
110504	1	FxR3LuosaitaAtk40Pingmu	2	0
110505	1	FxR3LuosaitaAtk53Pingmu	2	0
110506	1	FxR3LuosaitaAtk53Pingmu02	2	0
110507	1	FxR3LuosaitaAtk53Pingmu03	2	0
110508	1	FxR3LuosaitaAtk53PingmuLoop	2	0
110509	1	FxR3LuosaitaAtk53Pingmu02Loop	2	0
110701	1	FxR2ChangyuAtk51Pingmu	2	0
110801	1	FxR3LunaAtk40Pingmu	2	0
102201	1	FxR3LuxiyaPingmu	2	0
120101	1	FxR3TwobBoomPingmu	2	0
120301	1	FxR3NinesAtk51Pingmu	2	0
120302	1	FxR3NinesAtk51PingmuEnd	2	0
110901	1	FxR2WanshiAtk51Pingmu	2	0
110902	1	FxR2WanshiZhunxing	2	0
130201	1	FxR2LuolanAtk51Pingmu	2	0
130301	1	FxR2TwentyoneAtkPingmuB	2	0
130302	1	FxR2TwentyoneAtkPingmuA	2	0
130303	1	FxR2TwentyoneAtkPingmuS	2	0
130304	1	FxR2TwentyoneAtkPingmuLine	2	0
103301	1	FxR4LifuAtk4001Pingmu	2	0
103302	1	FxR4LifuAtk1201Pingmu	2	0
103303	1	FxR4LifuAtk5101StartPingmu	2	0
103304	1	FxR4LifuAtk4101Pingmu	2	0
103305	1	FxR4LifuAtk50Pingmu	2	0
103306	1	FxR4LifuAtk2201Pingmu	2	0
103307	1	FxR4LifuAtk54Pingmu01	2	0
103308	1	FxR4LifuAtk54PingmuEnd	2	0
103309	1	FxR4LifuAtk54Pingmu02	2	0
103310	1	FxR4LifuAtk51Pingmu01	2	0
130601	1	FxR2NuoanPingmu01	2	0
130602	1	FxR2NuoanPingmu02	2	0
130603	1	FxR2NuoanPingmu03	2	0
103311	1	FxR4LifuDiePingmu	2	0
200001	1	FxHeimuPingmu	2	1
200002	1	FxDianyingPingmu00	2	1
200003	1	FxHeimuPingmu	2	0
200004	1	FxHeimuPingmu02	2	0
200005	1	FxPingmuSneak	2	0
200006	1	FxBaipingpingmu	2	0
110501	1	FxBingDuQuYu	2	0
110502	1	FxDubianFeijiBornPingmu	2	0
120001	1	FxQianxingPingmu	2	0
120002	1	FxQianxingPingmu	2	0
120003	1	FxQianxingBeihouPingmu	2	0
120004	1	FxQianxingShanshuoPingmu	2	0
120005	1	FxMb1MotorMd000002LosePingmu	2	0
120006	1	FxMb1MotorMd000002WinPingmu	2	0
120007	1	FxMt1jiannuAttackPingmu	2	0
120008	1	FxMe1DiaorenyixingAtk12Pingmu	2	0
120009	1	FxMe1DiaorenyixingAtk15MarkPingmu	2	0
120010	1	FxR3AtwoAtk51Pingmu	2	0
120011	1	FxMb1XigeluenP2Atk42Pingmu	2	0
120012	1	FxR3AtwoAtk51PingmuHei	2	0
200007	1	FxPingmuXuehua	2	0
200008	1	FxZhandouStarPingmu	2	0
200009	1	FxZhandouWinPingmu	2	0
200010	1	FxZhandouLosePingmu	2	0
200011	1	FxUiNier01	2	0
200012	1	FxScene01801Pingmu	2	1
200014	1	FxScene01801Pingmu02	2	1
710315	1	FxSpeedLine	2	0
843000	1	FxMb1SirenPingmu	2	0
843100	1	FxMb1Siren2Pingmu	2	0
846100	1	FxScene02106LvjingPingmu	2	0
846101	1	FxMb1Lamiya03Pingmu	2	0
200013	1	FxScene01801PingmuXue	2	0
111201	1	FxR3KuluomuBeidongPingmu	2	0
200015	1	FxHongchaoGanranLevel1	2	0
200016	1	FxHongchaoGanranLevel2	2	0
200017	1	FxHongchaoGanranLevel3	2	0
200018	1	FxScene01905pmLevel2	2	0
200019	1	FxScene01905pmLevel3	2	0
200020	1	FxSpaceshiftin	2	0
200021	1	FxSpaceshiftout	2	0
200022	1	FxGlitchPingmu	2	0
847001	1	FxMb1OniisanJixianshanbiPingmu	2	0
847002	1	FxMb1OniisanCrossPingmu	2	0
847003	1	FxMb1OniisanJixianshanbiPingmuCharStart	2	0
847004	1	FxPunishingRuqinPingmu	2	0
200023	1	FxUiS01302Start	2	1
200024	1	FxUiS01302Finish	2	1
200025	1	FxUiS01302Start	2	1
200026	1	FxUiS01302NextRound5t1	2	1
200027	1	FxUiS01302NextRound	2	1
200028	1	FxUiS01302Finish	2	1
123201	1	FxR4LuxiyaPingmuLifu	2	0
848100	1	FxMb1PunishdataGRPm	2	0
848101	1	FxMb1PunishdataLJPm	2	0
849000	1	FxMb1HamuleiteAtk32Pingmu	2	0
849001	1	FxMb1HamuleitePingmu	2	0
822010	1	FxMb1RapperYinLangPingmu	2	0
300620	1	FxUiFightPamishiPingmu01	2	0
300621	1	FxUiFightPamishiPingmu01	2	1
300622	1	FxUiFightPamishiPingmu02	2	0
300623	1	FxUiFightPamishiPingmu02	2	1
300624	1	FxBabeiTowerDuwu	2	1
105401	1	FxR4YongyechaobotPingmuA01	2	0
105402	1	FxR4YongyechaobotPingmuA02	2	0
105403	1	FxR4YongyechaobotAtk40Zi	2	1
130500	1	FxR2HakamaAtk5602	2	0
130501	1	FxR2HakamaPingmu	2	0
130502	1	FxR2HakamaAtkExecutioner02PingMu	2	0
851001	1	FxMb1StarknightAtk12Pingmu	2	0
851002	1	FxMb1StarknightAtk12Pingmu01	2	0
851003	1	FxMb1StarknightAtk12Pingmu02	2	0
851004	1	FxMb1StarknightAtk12Pingmu03	2	0
851005	1	FxMb1StarknightAtk12Pingmu04	2	0
851006	1	FxMb1StarknightAtk12PingmuBoli	2	0
741703	1	FxUiMultiDimFightPingmu	2	0
742101	1	FxCameraRed	2	0
742102	1	FxCameraRed01	2	0
742103	1	FxLuPing01	2	0
742104	1	FxLuPing02	2	0
853001	1	FxMb1MoonguyPingmu	2	0
741910	1	FxJitichongqiPingmu	2	0
741911	1	FxWakeupWink01	2	0
854001	1	FxMb1HuoshaMd010002Pingmu	2	0
854002	1	FxMb1HuoshaMd010001HeibaiPingmu	2	0
854003	1	FxMb1HuoshaMd010001Atk03Pingmu	2	0
854004	1	FxMb1HuoshaMd010001Pingmu	2	0
744202	1	FxRogueHeimuPingmu	2	0
855001	1	FxMb1LostwomenPingmu	2	0
855002	1	FxMb1LostwomenPingmu02	2	0
740693	1	Fxluanxian	2	0
102401	1	FxR4BiankaPingmu01	2	0
102402	1	FxR4BiankaPingmu02	2	0
102403	1	FxR4BiankaWinPingmu	2	0
933193	1	FxMe1TwofacerMd010001Pingmu	2	0
748408	1	FxMonitorScreen	2	0
748409	1	FxNoiseScreen	2	0
748170	1	FxSence03101PingmuNoise01	2	0
748171	1	FxSence03101PingmuNoise02	2	0
112101	1	FxR2BangbinataAtk5102	2	1
748411	1	FxBlackBorderScreen	2	0
855522	1	FxMb1MaidmasterMd010001Suiping	2	0
855523	1	FxMb1MaidmasterMd010001Guzhang	2	0
855524	1	FxMb1MaidmasterMd010001Heiping	2	0
855603	1	FxMb1MaidmasterMd010002Atk98Pingmu	2	0
855604	1	FxMb1MaidmasterMd010001Heiping02	2	0
855607	1	FxMb1MaidmasterMd010002Atk98Silie	2	0
749093	1	FxHeibian	2	1
853601	1	FxMb1Mercy2Atk08Pingmu	2	1
743200	1	FxSuidaoPingmu	2	1
744224		FxScene03201BaozhaPingmu	2	0
748575	1	FxMb1Starknight2Pingmu01	2	1
748576	1	FxDataModelScreen	2	1
748281	1	Fxtheatreopen	2	1
748282	1	Fxtheatreclose	2	1
748283	1	FxblackshadowLoop	2	1
744453	1	FxScreenSpeedLineFront	2	0
744454	1	FxScreenSpeedLineBack	2	0
785111	1	FxMb1Starknight2Atk53Pingmu	2	0
785112	1	FxMb1Starknight2Pingmu01	2	0
785113	1	FxMb1Starknight2Pingmu02	2	0
785114	1	FxMb1Starknight2Pingmu03	2	0
785115	1	FxMb1Starknight2DeathPingmu	2	0
785116	1	FxMb1Starknight2Atk50Pingmu	2	0
785117	1	FxMb1Starknight2Atk50Pingmu01	2	0
785118	1	FxMb1Starknight2Atk50Pingmu02	2	0
785119	1	FxMb1Starknight2Atk50Pingmu03	2	0
785120	1	FxMb1Starknight2Atk50Pingmu04	2	0
785121	1	FxMb1Starknight2Atk50PingmuBoli	2	0
785122	1	FxMb1Starknight2Atk54Pingmu	2	0
785123	1	FxMb1Starknight2Atk53Pingmu01	2	0
