Id	Type	TargetId	Name
22000001	1	1	Classic Cabin
22000002	1	2	Summer Azure
22100001	2	30	LUNA
22100002	2	31	Above the Summer
22100003	2	32	Hikari
22100004	2	33	ECHOING
22100005	2	34	Circulation
22100006	2	35	Akdilek
22100007	2	36	Over the Glen
22100008	2	37	Slumberland
22100009	2	38	Shattered Doll
22100010	2	39	New Year
22100011	2	40	Her Dreams
22100012	2	11	Placeholder
22100013	2	12	Placeholder
22100014	2	13	Placeholder
22100015	2	14	Placeholder
22100016	2	15	Placeholder
22100017	2	16	Placeholder
22100018	2	17	Placeholder
22100019	2	18	Placeholder
22100020	2	19	Placeholder
22100021	2	20	Placeholder
22100022	2	21	Placeholder
22100023	2	22	Placeholder
22100024	2	23	Placeholder
22100025	2	24	Placeholder
22100026	2	25	Placeholder
22100027	2	26	Placeholder
22100028	2	27	Placeholder
22100029	2	28	Placeholder
