Id	GuildLevel	GiftLevel	GiftReward	NewGiftReward	TimeId	GiftIcon	GiftContribute
1	1	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
2	1	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
3	1	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
4	1	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
5	1	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
6	2	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
7	2	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
8	2	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
9	2	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
10	2	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
11	3	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
12	3	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
13	3	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
14	3	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
15	3	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
16	4	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
17	4	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
18	4	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
19	4	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
20	4	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
21	5	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
22	5	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
23	5	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
24	5	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
25	5	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
26	6	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
27	6	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
28	6	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
29	6	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
30	6	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
31	7	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
32	7	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
33	7	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
34	7	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
35	7	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
36	8	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
37	8	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
38	8	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
39	8	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
40	8	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
41	9	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
42	9	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
43	9	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
44	9	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
45	9	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
46	10	1	350400	350410	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	3000
47	10	2	350401	350411	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	6000
48	10	3	350402	350412	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	9000
49	10	4	350403	350413	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	12000
50	10	5	350404	350414	810	Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	15000
