Id	Message	CharacterHead[1]	CharacterHead[2]	CharacterHead[3]	CharacterHead[4]	CharacterName	TeamPic	UnlockTeamPic	UnlockHead	TeamName	RewardName	SinglePic[1]	SingleMessage[1]	SingleName[1]	SinglePic[2]	SingleMessage[2]	SingleName[2]	SinglePic[3]	SingleMessage[3]	SingleName[3]	SinglePic[4]	SingleMessage[4]	SingleName[4]
101	Even though pleasure won't last forever, as long as Commandant is here, we'll surely have much more pleasure again!	Assets/Product/Texture/Image/Role/RoleHeadluxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadLifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadLiQ.png		Lucia	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName01.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName01.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Gray Raven	Themed Character												
102	It was so fun hanging around with Commandant, but I felt there weren't enough kinds of drinks. Next time, we'll handle the drinks for you. Speech input ended. Oh, Is it this button?	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadChangYuQ.png			Sophia	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName02.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName02.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Akdilek Commercial Alliance	Target Weapon												
103	Commandant, after the event ends, please don't push yourself too hard and take rest days whenever you need to... Well then, I'll go to look for other members.	Assets/Product/Texture/Image/Role/RoleHeadKulomuQ.png	Assets/Product/Texture/Image/Role/RoleHeadWanShiQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Image/Role/RoleHeadKamuQ.png	Chrome	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName03.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName03.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Strike Hawk	Basic Character												
104	On behalf of the Engineering Force, we hope to see you again at the next event. I'm only speaking on behalf of the Engineering Force, okay?	Assets/Product/Texture/Image/Role/RoleHeadKalieQ.png				Karenina	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName04.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName04.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Engineering Force	Arrival Target Character												
105	It was getting noisier when people gathered around. Let's go somewhere quieter next time, just the two of us.	Assets/Product/Texture/Image/Role/RoleHeadLunaQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSSQ.png			Luna	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName05.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName05.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Ascendant	Themed Character												
106	I'd have brought my harmonica if I'd known there would be so many events around. I'm looking forward to giving everyone my best performance next time.	Assets/Product/Texture/Image/Role/RoleHeadDubianQ.png				Watanabe	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName06.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName06.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Forsaken	Target Weapon												
107	With the sea waves softly rolling in and birds soaring in the sky, it couldn't be any better to create art with you.	Assets/Product/Texture/Image/Role/RoleHeadAilaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png			Ayla	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName07.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName07.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	WGAA	Basic Character												
108	We must hold an event like this one more time, Commandant! Let's meet up next week. I can't wait to see your event proposal! This is what Nanami wanted to tell you.	Assets/Product/Texture/Image/Role/RoleHeadHakamaQnew.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechaoSSQ.png			Haicma	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName08.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName08.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Church of Machina	Arrival Target Character												
109	I've been told that I should wear something more appropriate for an event like this. What are your thoughts, Commandant? Or can you help me select my clothes?	Assets/Product/Texture/Image/Role/RoleHeadBiankaSSQ.png				Bianca	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName09.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName09.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Purifying Force	Target Weapon												
110	  It's good to have a place where you can soak your body in sea water. Thank you for bringing me here, Commandant.	Assets/Product/Texture/Image/Role/RoleHeadLuosaitaQ.png				Rosetta	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName10.png	Assets/Product/Texture/Image/UiSummerSignIn/UiSummerSignInName10.png	Assets/Product/Texture/Atlas/UiSummerSignIn/UiSummerSignInAvatar.png	Arctic Route Union	Basic Character												
