Id	Name	ModelName
1	Repairer	Mo1XiulijigongMd000001
2	Ground Monitor	Mo1DimianjianshiqiMd000001
3	Protector	Mo1BaohuzheMd000001
4	Pilgrim	Me1XunjingzheMd000001
5	Aerial Monitor	Mo1KongzhongjianshiqiMd000001
6	Tamer	Me1XunshoushiMd000001
7	Missionary	Mo1BudaozheMd000001
8	Executor	Mo1ZhixingzheMd000001
9	Gardener	Me1YuandingMd000001
10	Hydraulic	Mo1YeyaMd000001
11	Sentry Gun	Mo1ShaojiejipaoMd000001
12	Shieldbearer	Mo1ShouhuzheMd000001
13	Deep-sea Ambusher	Me1ShenhaiqianfuzheMd000001
14	Heteromer Sentry Gun	Mo1YijushaojiejipaoMd000001
15	Heteromer Aerial Monitor	Mo1YijukongzhongjianshiqiMd000001
16	Heteromer Hydraulic	Mo1YijuyeyaMd000001
17	Hetero Deconstruct Unit	Me1YihefenjiedanyuanMd000001
18	Hetero Fire Unit	Me1YihehuolidanyuanMd000001
19	Hetero Repair Unit	Me1YihexiufudanyuanMd000001
20	Kemuri I	Mo1YanfenyixingMd000001
21	Hanged Man III	Mo1DiaorensanxingMd000001
22	Blubber VI	Mo1LishiliuxingMd000001
23	Ballwheel IV	Mo1WulunsixingMd000001
24	Phecda X	Mo1LucunMd000001
25	Cathy	Mo1BiaoyanyirenMd000001
26	Martini	Mo1TiaojiushiMd000001
27	Mr. White	Mo1YouyongjiaoguanMd000001
28	Aerial 7 - Snow Owl	Mb1XuexiaoMd000002UI
29	Ground 3 - Rabbit	Mo1TuziMd000002UI
30	Naval 5 - Squid	Mo1ZhangyuMd000002UI
31	Tai'E I	Mb1TaiayixingMd010001UI
32	Beetle	Mo1MifengMd010001UI
33	Chomper	Mo1ShirenhuaMd010002UI
34	Popper	Mo1BopuerMd010001UI
35	Xi	Me1NianMd010001UI
36	Octopus	Mo1HaiqiaoMd010001UI
37	Monkfish	Mo1YingdengyuMd010001UI
38	Corrupted Construct	Mo1UngouzaotiMd010001UI
39	Buthus	Mo1CiganxieMd010001UI
40	Blair	Mo1BeiyaMd010001UI
41	M4-Medic Bot	Mo1ModelmMd010001UI
42	DB02-Sanitizer	Mo1QingjiejiqiMd010001UI
43	SSG-Meanderer	Mo1ShuixiyiMd010001UI
44	Hetero-Sapien	Mo1SemifiniMd010001UI
45	Ronin IV	Mo1LangrensixingMd000001
46	Bio-Salamander	Mo1FangshengrongyuanMd000001
47	Envoy	Me1XinshiMd000001
48	Firefighter	Me1XiaofangweishiMd000001
49	Deconstructor	Me1FenjiezheMd000001
50	Explorer	Me1YijikantanzheMd000001
51	Excavator	Me1YijiwajuezheMd000001
52	Harvester	Mb1RobotarmorMd030001
53	Bio-Bull	Me1FangshengdouniuMd000001
54	Acid Ant	Me1SuanyegongyiMd000001
55	Terrapod	Me1ZilujingweiMd000001
56	Royal guard	Me1JinweiMd000001
57	Construct	Me1GouzaotiMd10001
58	Musashi VI	Me1WuzangliuxingMd000001
59	Polar Soldier	Me1JidijibingMd000001
