Id	SkillId	Level	Name	Icon	Desc
1	1011	1	Loaded Charge - Physical	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>100%</color> Physical DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>200%</color> Physical DMG and stun the enemy for <color=#0f70bc>2s</color>.
2	1011	2	Loaded Charge - Physical	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>200%</color> Physical DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>400%</color> Physical DMG and stun the enemy for <color=#0f70bc>2s</color>.
3	1011	3	Loaded Charge - Physical	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>300%</color> Physical DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>600%</color> Physical DMG and stun the enemy for <color=#0f70bc>2s</color>.
4	1011	4	Loaded Charge - Physical	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>400%</color> Physical DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>800%</color> Physical DMG and stun the enemy for <color=#0f70bc>2s</color>.
5	1011	5	Loaded Charge - Physical	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong05.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>500%</color> Physical DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>1000%</color> Physical DMG and stun the enemy for <color=#0f70bc>2s</color>.
6	1012	1	Loaded Charge - Fire	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong01.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>100%</color> Fire DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>200%</color> Fire DMG and stun the enemy for <color=#0f70bc>2s</color>. Also causes <color=#935ee1>Data Attack</color>.
7	1012	2	Loaded Charge - Fire	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong01.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>200%</color> Fire DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>400%</color> Fire DMG and stun the enemy for <color=#0f70bc>2s</color>. Also causes <color=#935ee1>Data Attack</color>.
8	1012	3	Loaded Charge - Fire	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong01.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>300%</color> Fire DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>600%</color> Fire DMG and stun the enemy for <color=#0f70bc>2s</color>. Also causes <color=#935ee1>Data Attack</color>.
9	1012	4	Loaded Charge - Fire	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong01.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>400%</color> Fire DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>800%</color> Fire DMG and stun the enemy for <color=#0f70bc>2s</color>. Also causes <color=#935ee1>Data Attack</color>.
10	1012	5	Loaded Charge - Fire	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong01.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>500%</color> Fire DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>1000%</color> Fire DMG and stun the enemy for <color=#0f70bc>2s</color>. Also causes <color=#935ee1>Data Attack</color>.
11	1013	1	Loaded Charge - Ice	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong02.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>100%</color> Ice DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>200%</color> Ice DMG and stun the enemy for <color=#0f70bc>2s</color>.
12	1013	2	Loaded Charge - Ice	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong02.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>200%</color> Ice DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>400%</color> Ice DMG and stun the enemy for <color=#0f70bc>2s</color>.
13	1013	3	Loaded Charge - Ice	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong02.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>300%</color> Ice DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>600%</color> Ice DMG and stun the enemy for <color=#0f70bc>2s</color>.
14	1013	4	Loaded Charge - Ice	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong02.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>400%</color> Ice DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>800%</color> Ice DMG and stun the enemy for <color=#0f70bc>2s</color>.
15	1013	5	Loaded Charge - Ice	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong02.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>500%</color> Ice DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>1000%</color> Ice DMG and stun the enemy for <color=#0f70bc>2s</color>.
16	1014	1	Loaded Charge - Lightning	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong03.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>100%</color> Lightning DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>200%</color> Lightning DMG and stun the enemy for <color=#0f70bc>2s</color>.
17	1014	2	Loaded Charge - Lightning	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong03.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>200%</color> Lightning DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>400%</color> Lightning DMG and stun the enemy for <color=#0f70bc>2s</color>.
18	1014	3	Loaded Charge - Lightning	Assets/Product/Texture/Image/IconPetSkill/Pet2NiuSkillzhudong03.png	After pinging a total of 6 basic Signal Orbs, the CUB button will become available. Tapping it will make Yuan Ye charge toward the target, dealing <color=#0f70bc>300%</color> Lightning DMG. If Yuan Ye hits the enemy, it will knock the enemy again to deal <color=#0f70bc>600%</color> Lightning DMG and stun the enemy for <color=#0f70bc>2s</color>.
