StageId	JudgeName[1]	JudgeName[2]	JudgeName[3]	JudgeName[4]	JudgeName[5]	JudgeScore[1]	JudgeScore[2]	JudgeScore[3]	JudgeScore[4]	JudgeScore[5]	ProgressScore	Hit	Perfect
30031531	B	A	S	SS	SSS	0	82236	124008	226032	282540	376720	257	122
30031532	B	A	S	SS	SSS	0	102828	156372	262716	328395	437860	296	135
30031533	B	A	S	SS	SSS	0	233472	426348	635160	793950	1058600	406	271
30031534	B	A	S	SS	SSS	0	435300	689328	1064520	1330650	1774200	526	395
30031535	B	A	S	SS	SSS	0	337812	544392	930948	1163685	1551580	454	384
30031536	B	A	S	SS	SSS	0	457048	840475	1320372	1650465	2200620	608	461
30031537	B	A	S	SS	SSS	0	170880	286620	475548	594435	792580	344	225
30031538	B	A	S	SS	SSS	0	214044	353964	648576	810720	1080960	392	291
30031543	B	A	S	SS	SSS	0	149592	245676	406152	507690	676920	304	200
30031544	B	A	S	SS	SSS	0	297957	547919	860772	1075965	1434620	490	344
30031547	B	A	S	SS	SSS	0	114072	175800	262644	328305	437740	219	146
30031548	B	A	S	SS	SSS	0	280428	437652	759780	949725	1266300	414	329
30031549	B	A	S	SS	SSS	0	151481	278562	437616	547020	729360	326	216
30031550	B	A	S	SS	SSS	0	189983	349363	548844	686055	914740	388	248
30031551	B	A	S	SS	SSS	0	69300	106200	174216	217770	283840	192	103
30031552	B	A	S	SS	SSS	0	109272	153696	250788	313485	417980	234	142
30031553	B	A	S	SS	SSS	0	147852	245424	464640	580800	774400	298	243
30031554	B	A	S	SS	SSS	0	300067	551800	866868	1083585	1444780	443	374
30031555	B	A	S	SS	SSS	0	181476	333720	524268	655335	873780	331	253
30031556	B	A	S	SS	SSS	0	213202	392063	615924	769905	1026540	373	285
