Id	HasMotion
R2LiangMd010011	1
R1LuxiyaMd010011	1
R1LifuMd010011	1
R2BiankaMd010011	1
R2YongyechaoMd010011	1
R2ShenweiMd010011	1
R2KalieninaMd010011	1
R2DubianMd010011	1
R2LuxiyaMd010011	1
R2LifuMd010011	1
R3LifuMd010011	1
R3ShenweiMd010011	1
R3LiangMd010011	1
R3KalieninaMd010011	1
R3YongyechaoMd010011	1
R3LuxiyaMd010011	1
R3KalieninaflyMd010011	1
R2XiuMd010011	1
R3DubianMd010011	1
R2AilaMd010011	1
R3BiankaMd010011	1
R2SufeiyaMd010011	1
R2KuluomuMd010011	1
R4LuxiyaMd019141	1
R4LuxiyaMd010011	1
R4LuxiyaMd010021	1
R3LuosaitaMd010011	1
R2ChangyuMd010011	1
R2LuolanMd010021	1
R2WeilaMd010011	1
R2KamuMd010011	1
R2QuMd010011	1
R3LunaMd010011	1
R3TwobMd010011	1
R3NinesMd010011	1
R3AtwoMd010011	1
R2WanshiMd010011	1
R3SailinnaMd010011	1
R3KuluomuMd010011	1
R2TwentyoneMd010011	1
R3WeilaMd010011	1
R2LuolanMd010011	1
R4LifuMd010021	1
R4SailinnaMd010011	1
R2PulaoMd010011	1
R4YongyechaobotMd010021	1
R2HakamaMd010011	1
R4KalieninaMd010031	1
R2NuoanMd010011	1
R4BiankaMd010031	1
R2BangbinataMd010011	1
R4LiangMd010031	1
R3AilaMd010011	1
Mo1KuroMd1002	1
RE2SwordMd120111	1
R2QuflyMd010011	1
R2TwentyrbtsixMd010011	1
R2TwentyrbtfiveMd010011	1
R2TwentyrbtfourMd010011	1
R4LifurbtoneMd010011	1
R4LifurbttwoMd010011	1
E2BoomerangMd010011	1
E2BoomerangMd020011	1
E3BoomerangMd030011	1
R4BiankaMd010021	1
Mb1StarknightMd010002	1
Pet2NiuoffMd010011	1
Pet2NiuonMd010011	1
Pet3YuoffMd010011	1
Pet3YuonMd010011	1
Pet3WuzeioffMd010011	1
Pet3WuzeionMd010011	1
Pet3XiaooffMd010011	1
Pet3XiaoonMd010011	1
Pet2BeioffMd010011	1
Pet2BeionMd010011	1
Pet3HeoffMd010011	1
Pet3HeonMd010011	1
Pet3MaoffMd010011	1
Pet3MaonMd010011	1
Pet3MaooffMd010011	1
Pet3MaoonMd010011	1
Pet2YangoffMd010011	1
Pet2YangonMd010011	1
Pet3YingoffMd010011	1
Pet3YingonMd010011	1
Pet3HuoffMd010011	1
Pet3HuonMd010011	1
Pet3TuoffMd010011	1
Pet3TuonMd010011	1
Pet3QuanoffMd010011	1
Pet3QuanonMd010011	1
Pet2CiweioffMd010011	1
Pet2CiweionMd010011	1
R3PodaMd010011	1
R3PodbMd010011	1
R3PodcMd010011	1
R1LifuMd010013	1
Me1JiegouqiutuMd010001	1
R4YongyechaoMd010011	1
R4YongyechaoMd010021	1
R4YongyechaoMd010031	1
R4YongyechaoMd019321	1
Q4LuxiyaMd010011	1
Q3SailinnaMd010011	1
Q3LunaMd010011	1
Q4LifuMd010011	1
Q3WeilaMd010011	1
Q3KuluomuMd010011	1
Q2LuolanMd010011	1
Q3LiangMd010011	1
Q1ChangyuMd010011	1
Q2WanshiMd010011	1
Q4SailinnaMd010011	1
Q2PulaoMd010011	1
Q3ShenweiMd010011	1
Q2DubianMd010011	1
Q4YongyechaoMd010011	1
Q3BiankaMd010011	1
Q3KalieninaMd010011	1
Q2HakamaMd010011	1
Q2TwentyoneMd010011	1
Q4KalieninaMd010011	1
Q2QuMd010011	1
Q2KamuMd010011	1
Q2SufeiyaMd010011	1
Q3LuxiyaMd010011	1
Q2AilaMd010011	1
Q3LuosaitaMd010011	1
Q2LiangMd010011	1
Q3YongyechaoMd010011	1
Q2KalieninaMd010011	1
Q1LuxiyaMd010011	1
Q2LifuMd010011	1
Q2LuxiyaMd010011	1
Q1LifuMd010011	1
Q3DubianMd010011	1
Q2KuluomuMd010011	1
Q2ShenweiMd010011	1
Q2BiankaMd010011	1
Q4BiankaMd010011	0
Q2YongyechaoMd010011	0
Q3LifuMd010011	0
Q2WeilaMd010011	0
Q2BangbinataMd010011	0
Q4LiangMd010011	0
Q2NuoanMd010011	0
Q1XiulijigongMd010011	1
Q1AolajiangMd010011	1
Mb1RobotarmorMd030001	1
Mo1XiulijigongMd000001	1
Mb1BaodongchibangMd000001	1
Mb1BraveMd010011	1
Mo1LiebianyuanchongMd000001	1
Mb1OsirisMd000001	1
Mb1OsirisyanjingMd000001	1
Mb1OsirischibangMd000001	1
Mb1CubeMd050001	1
Mb1LuosaitamaMd000001	1
Mb1LuosaitarenMd000001	1
Mb1LuosaitaMd010011	0
Mb1CubedizuoMd000001	0
Mb1FangjianbeiMd000001	1
Mb1CubejiaoMd000001	1
Mb1JiabailieMd000002	1
Mo1DimianjianshiqiMd000001	1
Mo1KongzhongjianshiqiMd000001	1
Me1XunjingzheMd000001	1
Mo1BaohuzheMd000001	1
Me1XunshoushiMd000001	1
Mo1YeyaMd000001	1
Mo1ShaojiejipaoMd000001	1
Mo1BudaozheMd000001	1
Mo1ZhixingzheMd000001	1
Mo1ShouhuzheMd000001	1
Mo1HeizhizhuMd000001	1
Me1YuandingMd000001	1
