Id	AutoStateMachine	ShowEffect[1]	HideEffect[1]	SwitchDelay[1]	ShowEffect[2]	HideEffect[2]	SwitchDelay[2]
1201	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
11810031	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
11810032	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
11810033	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
11810034	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
11810035	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
11810036	1	FxR3TwobAtkWpHide	FxR3TwobAtkWpShow	0.2	FxR3TwobAtkWp2Hide	FxR3TwobAtkWp2Show	0.2
1203	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
11910031	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
11910032	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
11910033	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
11910034	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
11910035	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
11910036	1	FxR3NinesWpHide	FxR3NinesWpShow	0.25			
1202	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
12010031	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
12010032	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
12010033	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
12010034	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
12010035	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
12010036	1	FxR3AtwoWpHide	FxR3AtwoWpShow	0.25			
