Id	HeadImageName	OnlinePortrait	EnergyBar[1]	EnergyBar[2]	EnergyGroupBar[1]	EnergyGroupBar[2]	SPPrefab[1]	SPPrefab[2]	Model[1]	Model[2]	AttackIconImage	DodgeIconImage	ExSkillIconImage	PartnerSkillIconImage0	PartnerSkillIconImage1	PartnerSPPrefab	AttackEffectPrefab	FightComboPrefab
100101	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Liang.prefab								Assets/Product/Texture/Image/UiFight/FightIconGun.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Li51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100201	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab						R1LuxiyaMd010011		Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Luxiya51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100202	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab						R1LuxiyaMd010011		Assets/Product/Texture/Image/UiFight/FightIconAssassinate.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Luxiya51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100301	Assets/Product/Texture/Image/Role/RoleHeadLifu3.png	Assets/Product/Texture/Image/Role/RoleHeadLifu.png									Assets/Product/Texture/Image/UiFight/FightIconFloat.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR1Lifu51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100401	Assets/Product/Texture/Image/Role/RoleHeadAolisuo3.png	Assets/Product/Texture/Image/Role/RoleHeadAolisuo.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Bianka.prefab						R2BiankaMd010011		Assets/Product/Texture/Image/UiFight/FightIconFightIconbow.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bianka51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100501	Assets/Product/Texture/Image/Role/RoleHeadYongyechao3.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png									Assets/Product/Texture/Image/UiFight/FightIconSaw.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Yongyechao51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100601	Assets/Product/Texture/Image/Role/RoleHeadShenwei3.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Shenwei.prefab						R2ShenweiMd010011		Assets/Product/Texture/Image/UiFight/FightIconClaymore.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Shenwei51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100701	Assets/Product/Texture/Image/Role/RoleHeadKalie3.png	Assets/Product/Texture/Image/Role/RoleHeadKalie.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Kalienina.prefab						R2KalieninaMd010011		Assets/Product/Texture/Image/UiFight/FightIconSleeve.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Kalienina51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
100801	Assets/Product/Texture/Image/Role/RoleHeadDubian3.png	Assets/Product/Texture/Image/Role/RoleHeadDubian.png									Assets/Product/Texture/Image/UiFight/FightIconDagger.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconRLuxiya51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
101201	Assets/Product/Texture/Image/Role/RoleHeadluxiya3S.png	Assets/Product/Texture/Image/Role/RoleHeadluxiyaS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Luxiya.prefab						R2LuxiyaMd010011		Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Luxiya51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
101301	Assets/Product/Texture/Image/Role/RoleHeadLifu3S.png	Assets/Product/Texture/Image/Role/RoleHeadLifuS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR2Lifu.prefab						R2LifuMd010011		Assets/Product/Texture/Image/UiFight/FightIconFloat.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Lifu51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
102301	Assets/Product/Texture/Image/Role/RoleHeadLifu3SS.png	Assets/Product/Texture/Image/Role/RoleHeadLifuSS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Lifu.prefab						R3LifuMd010011		Assets/Product/Texture/Image/UiFight/FightIconFloat.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lifu51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
101601	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SS.png	Assets/Product/Texture/Image/Role/RoleHeadShenweiSS.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR3Shenwei.prefab						R3ShenweiMd010011		Assets/Product/Texture/Image/UiFight/FightIconClaymore.png	Assets/Product/Texture/Image/UiFight/FightIconDoge1.png	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Shenwei51.png				Assets/Product/Effect/Prefab/FxUi/FxUiZhandou/FxUiDaZhao.prefab	
