Id	CharacterId	CharacterLevel	CharacterQuality	CharacterStar	CharacterGrade	SkillLevel	EnhanceSkillLevel	RemoveSkillId[1]	RemoveSkillId[2]	RemoveSkillId[3]	RemoveSkillId[4]	RemoveSkillId[5]	RemoveSkillId[6]	RemoveSkillId[7]	RemoveSkillId[8]	RemoveSkillId[9]	FashionId	UseFashionId	WeaponId	WeaponLevel	WeaponBeakThrough	WeaponFashion	WeaponResonance	WeaponResonanceType	WaferId[1]	WaferLevel[1]	WaferBreakThrough[1]	WaferAwakeCount[1]	WaferResonance[1]	WaferResonanceType[1]	WaferId[2]	WaferLevel[2]	WaferBreakThrough[2]	WaferAwakeCount[2]	WaferResonance[2]	WaferResonanceType[2]	WaferId[3]	WaferLevel[3]	WaferBreakThrough[3]	WaferAwakeCount[3]	WaferResonance[3]	WaferResonanceType[3]	WaferId[4]	WaferLevel[4]	WaferBreakThrough[4]	WaferAwakeCount[4]	WaferResonance[4]	WaferResonanceType[4]	WaferId[5]	WaferLevel[5]	WaferBreakThrough[5]	WaferAwakeCount[5]	WaferResonance[5]	WaferResonanceType[5]	WaferId[6]	WaferLevel[6]	WaferBreakThrough[6]	WaferAwakeCount[6]	WaferResonance[6]	WaferResonanceType[6]	ShowAbility	LiberateLv	RobotPartnerId	RebuildNpcId
1	1021002	5	2	1	1	1	1	102227				102228	102229	102230			6210101		2023001	1	1				3015002	1	0	0						0						0						0						0						0			0	0		
2	1031001	8	1	1	1	1	1	103127									6310101		2033001	1	1				3013002	1	0	0			3023002	1	0	0			3033002	1	0	0			3043002	1	0	0			3053002	1	0	0			3063002	1	0	0			0	0		
3	1021001	5	1	0	1	1	1	102127									6210101		2022001	1	0				3012001	1	0	0						0						0						0						0						0			0	0		
4	1031001	5	1	0	1	1	1	103127									6310101		2032001	1	0							0						0						0						0						0						0			0	0		
5	1021001	5	1	0	1	1	1	102127									6210101		2022001	1	0							0						0						0						0						0						0			0	0		
6	1051001	10	2	1	1	1	1	105127									6510101		2053001	1	0				3012001	1	0	0						0						0						0						0						0			0	0		
7	1061002	30	2	0	2	1	1	106227									6610101		2063001	15	2				3013001	5	0	0			3023001	5	0	0			3033001	5	0	0						0						0						0			0	0		
8	1021001	30	2	0	2	1	1	102127									6210101		2023001	15	2				3013001	5	0	0			3023001	5	0	0			3033001	5	0	0						0						0						0			0	0		
1000	1031001	10	1	0	1	1	1	103127									6310101		2033001	15	1				3013001	10	0	0			3023001	10	0	0			3033001	10	0	0			3043001	10	0	0			3053001	10	0	0			3063001	10	0	0			0	0		
1001	1061002	30	3	0	3	1	1	106227									6610101		2064001	25	1				3015001	25	1	0			3025001	25	1	0			3035001	25	1	0			3045001	25	1	0			3055001	25	1	0			3065001	25	1	0			0	0		
1002	1021001	30	3	0	3	1	1	102127									6210101		2025001	30	1				3015001	30	1	0			3025001	30	1	0			3035001	30	1	0			3045001	30	1	0			3055001	30	1	0			3065001	30	1	0			0	0		
1003	1021001	50	3	0	4	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1004	1011002	50	3	0	4	1	1	101227				101228	101229	101230			6110101		2015001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1005	1041002	60	3	0	8	1	1	104227									6410101		2045001	45	4				3015001	45	4	0			3025001	45	4	0			3035001	45	4	0			3045001	45	4	0			3055001	45	4	0			3065001	45	4	0			0	0		
1006	1021001	60	3	0	8	1	1	102127									6210101		2025001	45	4				3015001	45	4	0			3025001	45	4	0			3035001	45	4	0			3045001	45	4	0			3055001	45	4	0			3065001	45	4	0			0	0		
1007	1021002	80	3	0	10	1	1	102227				102228	102229	102230			6210201		2025001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3056001	45	4	0			3066001	45	4	0			0	0		
1011	1021001	1	1	0	1	1	1	102127	102126	102125	102124	102123	102122				6210101		2022001	1	0							0						0						0						0						0						0						
1012	1021001	10	1	0	1	1	1	102127	102126	102125	102124	102123	102122				6210101		2023001	1	0							0						0						0						0						0						0						
1013	1031001	10	1	0	1	1	1	103127	103126	103125	103124	103123	103122				6310101		2033001	1	0							0						0						0						0						0						0						
1014	1051001	10	1	0	1	1	1	105127	105126	105125	105124	105123	105122				6510101		2053001	1	0							0						0						0						0						0						0						
1100	1021001	30	3	0	3	1	1	102127									6210101		2025001	25	1				3015001	25	1	0			3025001	25	1	0			3035001	25	1	0			3045001	25	1	0			3055001	25	1	0			3065001	25	1	0			0	0		
1101	1021001	30	3	0	3	1	1	102127									6210101		2025001	25	1				3015001	25	1	0			3025001	25	1	0			3035001	25	1	0			3045001	25	1	0			3055001	25	1	0			3065001	25	1	0			0	0		
1102	1021001	30	3	0	3	1	1	102127									6210101		2025001	30	1				3015001	30	1	0			3025001	30	1	0			3035001	30	1	0			3045001	30	1	0			3055001	30	1	0			3065001	30	1	0			0	0		
1103	1021001	40	3	0	3	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	30	1	0			3035001	30	1	0			3045001	30	1	0			3055001	30	1	0			3065001	30	1	0			0	0		
1104	1021001	40	3	0	3	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	30	1	0			3035001	30	1	0			3045001	30	1	0			3055001	30	1	0			3065001	30	1	0			0	0		
1105	1021001	40	3	0	3	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	30	1	0			3055001	30	1	0			3065001	30	1	0			0	0		
1106	1021001	40	3	0	3	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	30	1	0			3055001	30	1	0			3065001	30	1	0			0	0		
1107	1021001	50	3	0	4	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1108	1021001	50	3	0	4	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1109	1021001	50	3	0	4	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1110	1021001	50	3	0	4	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1111	1021001	50	3	0	4	1	1	102127									6210101		2025001	35	2				3015001	35	2	0			3025001	35	2	0			3035001	35	2	0			3045001	35	2	0			3055001	35	2	0			3065001	35	2	0			0	0		
1112	1021001	55	3	0	4	1	1	102127									6210101		2025001	35	3				3015001	35	3	0			3025001	35	3	0			3035001	35	3	0			3045001	35	3	0			3055001	35	3	0			3065001	35	3	0			0	0		
1113	1021001	55	3	0	4	1	1	102127									6210101		2025001	35	3				3015001	35	3	0			3025001	35	3	0			3035001	35	3	0			3045001	35	3	0			3055001	35	3	0			3065001	35	3	0			0	0		
1114	1021001	55	3	0	4	1	1	102127									6210101		2025001	35	3				3015001	35	3	0			3025001	35	3	0			3035001	35	3	0			3045001	35	3	0			3055001	35	3	0			3065001	35	3	0			0	0		
1115	1031001	60	6	0	8	1	1	103127									6310101		2035001	40	3				3015001	40	3	0			3025001	40	3	0			3035001	40	3	0			3045001	40	3	0			3055001	40	3	0			3065001	40	3	0			0	0		
1116	1031001	60	6	0	8	1	1	103127									6310101		2035001	40	3				3015001	40	3	0			3025001	40	3	0			3035001	40	3	0			3045001	40	3	0			3055001	40	3	0			3065001	40	3	0			0	0		
1117	1031001	60	6	0	8	1	1	103127									6310101		2035001	40	3				3015001	40	3	0			3025001	40	3	0			3035001	40	3	0			3045001	40	3	0			3055001	40	3	0			3065001	40	3	0			0	0		
1118	1031001	60	6	0	8	1	1	103127									6310101		2035001	40	3				3015001	40	3	0			3025001	40	3	0			3035001	40	3	0			3045001	40	3	0			3055001	40	3	0			3065001	40	3	0			0	0		
1119	1031001	60	6	0	8	1	1	103127									6310101		2035001	40	3				3015001	40	3	0			3025001	40	3	0			3035001	40	3	0			3045001	40	3	0			3055001	40	3	0			3065001	40	3	0			0	0		
1120	1021001	60	3	0	7	1	1	102127									6210101		2025001	45	4				3015001	45	4	0			3025001	45	4	0			3035001	45	4	0			3045001	45	4	0			3055001	45	4	0			3065001	45	4	0			0	0		
1121	1021001	60	3	0	7	1	1	102127									6210101		2025001	45	4				3015001	45	4	0			3025001	45	4	0			3035001	45	4	0			3045001	45	4	0			3055001	45	4	0			3065001	45	4	0			0	0		
1122	1021001	80	3	0	10	1	1	102127									6210101		2025001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3055001	45	4	0			3065001	45	4	0			0	0		
1123	1021001	80	3	0	10	1	1	102127									6210101		2025001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3055001	45	4	0			3065001	45	4	0			0	0		
1124	1061002	80	6	0	13	1	1	106227									6610101		2066001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3056001	45	4	0			3066001	45	4	0			0	0		
1125	1061002	80	6	0	13	1	1	106227									6610101		2066001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3056001	45	4	0			3066001	45	4	0			0	0		
1126	1061002	80	6	0	13	1	1	106227									6610101		2066001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3056001	45	4	0			3066001	45	4	0			0	0		
1127	1081003	80	6	0	13	18	1	108327				108328	108329	108330			6810301		2086002	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3056001	45	4	0			3066001	45	4	0			0	0		
1128	1091002	80	6	0	13	15	1	109227									6910101		2096001	45	4				3016001	45	4	0			3026001	45	4	0			3036001	45	4	0			3046001	45	4	0			3056001	45	4	0			3066001	45	4	0			0	0		
1129	1021004	80	6	0	13	15	1	102427									6210401		2982001	1	0				3016015	45	4	0			3026015	45	4	0			3036015	45	4	0			3046014	45	4	0			3056014	45	4	0			3066015	45	4	0			0	0		
