Id	Name	Desc	Icon
760001	Fire Vulnerability	Fire Resistance decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png
760002	Fire Vulnerability	Fire Resistance decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png
760003	Fire Vulnerability	Fire Resistance decreases by 60%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png
760011	Lightning Vulnerability	Lightning Resistance decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png
760012	Lightning Vulnerability	Lightning Resistance decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png
760013	Lightning Vulnerability	Lightning Resistance decreases by 60%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png
760021	Ice Vulnerability	Ice Resistance decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png
760022	Ice Vulnerability	Ice Resistance decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png
760023	Ice Vulnerability	Ice Resistance decreases by 60%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png
760031	Dark Vulnerability	Dark Resistance decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png
760032	Dark Vulnerability	Dark Resistance decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png
760033	Dark Vulnerability	Dark Resistance decreases by 60%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png
760041	Physical Vulnerability	Physical Resistance decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png
760042	Physical Vulnerability	Physical Resistance decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png
760043	Physical Vulnerability	Physical Resistance decreases by 60%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png
760051	Elemental Vulnerability	All Elemental Resistance decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png
760052	Elemental Vulnerability	All Elemental Resistance decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png
760053	Elemental Vulnerability	All Elemental Resistance decreases by 60%.	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png
760061	Attack Reduction	Extra DMG Bonus decreases by 30%.	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png
760062	Attack Reduction	Extra DMG Bonus decreases by 45%.	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png
