PartnerId	UpgradeCostItemId[1]	UpgradeCostItemCount[1]	UpgradeCostItemId[2]	UpgradeCostItemCount[2]	DefaultMainSkillGroupId	MainSkillGroupId[1]	MainSkillGroupId[2]	MainSkillGroupId[3]	PassiveSkillGroupId[1]	PassiveSkillGroupId[2]	PassiveSkillGroupId[3]	PassiveSkillGroupId[4]	PassiveSkillGroupId[5]
16010000	1	20000	40301	60	101	101	102		5000	5001	5002	5003	5004
16020000	1	20000	40301	60	103	103	104		5100	5101	5102	5103	5104
16030000	1	20000	40301	60	105	105	106		5200	5201	5202	5203	5204
16040000	1	20000	40301	60	107	107	108		5300	5301	5302	5303	5304
16050000	1	20000	40301	60	109	109	110		5400	5401	5402	5403	5404
16060000	1	20000	40301	60	111	111	112		5500	5501	5502	5503	5504
16070000	1	20000	40301	60	113	113	114		5600	5601	5602	5603	5604
16080000	1	20000	40301	60	115	115	116		5700	5701	5702	5703	5704
16090000	1	20000	40301	60	117	117	118		5800	5801	5802	5803	5804
16100000	1	20000	40301	60	119	119	120		5900	5901	5902	5903	5904
16110000	1	20000	40301	60	121	121	122		6000	6001	6002	6003	6004
16120000	1	20000	40301	60	123	123	124		6100	6101	6102	6103	6104
16130000	1	20000	40301	60	125	125	126		6200	6201	6202	6203	6204
16140000	1	20000	40301	60	127	127	128		6300	6301	6302	6303	6304
16150000	1	20000	40301	60	129	129	130		6400	6401	6402	6403	6404
