Id	SkillId	Level	Ability	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	SubSkillId[4]	SubMagicId[1]	SubMagicId[2]	SubMagicId[3]	SubMagicId[4]
1	1011	1	20	410193				420101	420116			420121	420126		
2	1011	2	30	410193				420101	420116			420121	420126		
3	1011	3	40	410193				420101	420116			420121	420126		
4	1011	4	50	410193				420101	420116			420121	420126		
5	1011	5	60	410193				420101	420116			420121	420126		
6	1012	1	20	410193				420102	420117			420122	420127		
7	1012	2	30	410193				420102	420117			420122	420127		
8	1012	3	40	410193				420102	420117			420122	420127		
9	1012	4	50	410193				420102	420117			420122	420127		
10	1012	5	60	410193				420102	420117			420122	420127		
11	1013	1	20	410193				420104	420119			420124	420129		
12	1013	2	30	410193				420104	420119			420124	420129		
13	1013	3	40	410193				420104	420119			420124	420129		
14	1013	4	50	410193				420104	420119			420124	420129		
15	1013	5	60	410193				420104	420119			420124	420129		
16	1014	1	20	410193				420103	420118			420123	420128		
17	1014	2	30	410193				420103	420118			420123	420128		
18	1014	3	40	410193				420103	420118			420123	420128		
19	1014	4	50	410193				420103	420118			420123	420128		
20	1014	5	60	410193				420103	420118			420123	420128		
21	1015	1	20	410193				420105	420120			420125	420130		
22	1015	2	30	410193				420105	420120			420125	420130		
23	1015	3	40	410193				420105	420120			420125	420130		
24	1015	4	50	410193				420105	420120			420125	420130		
25	1015	5	60	410193				420105	420120			420125	420130		
26	1021	1	20	410192				420122	420127			420141	420146		
27	1021	2	30	410192				420122	420127			420141	420146		
28	1021	3	40	410192				420122	420127			420141	420146		
29	1021	4	50	410192				420122	420127			420141	420146		
30	1021	5	60	410192				420122	420127			420141	420146		
31	1022	1	20	410192				420123	420128			420142	420147		
32	1022	2	30	410192				420123	420128			420142	420147		
33	1022	3	40	410192				420123	420128			420142	420147		
34	1022	4	50	410192				420123	420128			420142	420147		
35	1022	5	60	410192				420123	420128			420142	420147		
36	1023	1	20	410192				420125	420130			420144	420149		
37	1023	2	30	410192				420125	420130			420144	420149		
38	1023	3	40	410192				420125	420130			420144	420149		
