Id	SkillId[1]	SkillId[2]	SkillId[3]
5000	50000		
5001	50010		
5002	50020		
5003	50030		
5004	50040		
5100	51000		
5101	51010		
5102	51020		
5103	51030		
5104	51040		
5200	52000		
5201	52010		
5202	52020		
5203	52030		
5204	52040		
5300	53000		
5301	53010		
5302	53020		
5303	53030		
5304	53040		
5400	54000		
5401	54010		
5402	54020		
5403	54030		
5404	54040		
5500	55000		
5501	55010		
5502	55020		
5503	55030		
5504	55040		
5600	56000		
5601	56010		
5602	56020		
5603	56030		
5604	56040		
5700	57000		
5701	57010		
5702	57020		
5703	57030		
5704	57040		
5800	58000		
5801	58010		
5802	58020		
5803	58030		
5804	58040		
5900	59000		
5901	59010		
5902	59020		
5903	59030		
5904	59040		
6000	60000		
6001	60010		
6002	60020		
6003	60030		
6004	60040		
6100	61000		
6101	61010		
6102	61020		
6103	61030		
6104	61040		
