Key	Type	Value
Gravity	float	-50
IdleJumpForceTime	float	0.15
RunJumpForceTime	float	0.15
JumpSpeed	float	15
ChangeDownSpeed	float	3.5
DownSpeed	float	0
MoveJumpSpeed	float	5.5
IdleJumpSpeed	float	3
GroundNormalAngle	float	40
DefaultCameraId	int	1
UiDebuggerBehaviourTreeDLC	string	Assets/Product/Ui/Prefab/UiDebuggerBehaviourTreeDLC.prefab
UiDebuggerDamageContextDLC	string	Assets/Product/Ui/Prefab/UiDebuggerDamageContextDLC.prefab
UiDebuggerNpcFightDLC	string	Assets/Product/Ui/Prefab/UiDebuggerNpcFightDLC.prefab
UiDebuggerNpcListDLC	string	Assets/Product/Ui/Prefab/UiDebuggerNpcListDLC.prefab
UiDebuggerFightShortcutDLC	string	Assets/Product/Ui/Prefab/UiDebuggerFightShortcutDLC.prefab
UiDebuggerFightLagDLC	string	Assets/Product/Ui/Prefab/UiDebuggerFightLagDLC.prefab
UiDebuggerFubenListDLC	string	Assets/Product/Ui/Prefab/UiDebuggerFubenListDLC.prefab
UiDebuggerNpcCustomDLC	string	Assets/Product/Ui/Prefab/UiDebuggerNpcCustomDLC.prefab
UiDebuggerFightBuffDLC	string	Assets/Product/Ui/Prefab/UiDebuggerFightBuffDLC.prefab
UiDebuggerNpcPartEventDLC	string	Assets/Product/Ui/Prefab/UiDebuggerNpcPartEventDLC.prefab
RotationSpeed	float	15
SyncPositionShowCount	int	7
CameraPerspectiveAlpha	float	0.9
CameraPerspectiveDurationTime	float	0.4
CameraPerspectiveEaseInTime	float	0.2
CameraPerspectiveEaseOutTime	float	0.2
CameraPerspectiveStartTime	float	0.2
MaxBallCountTotal	int	16
MaxBallCountTotalSpear	int	40
BallMoveSpeed	int	2000
BallWidth	int	1000
BallBoxLength	int	7000
BallBoxLengthSpearMode	int	31000
BallRemovingSounds	string	1001|1002|1003
FightTimeLimit	float	30000
FightRebornTime	float	30
FightRescueTime	float	1
FightLowHpPercent	float	0.25
FightLowHpScreenEffect	int	100002
FightDeathScreenEffect	int	100004
HitMaxDownBounceSpeed	float	20
HitAirUpMinTransDownAnimSpeed	float	0
HitAirUpMaxTransDownAnimSpeed	float	0.16
MaxRebornCount	int	1
MaxSosCount	int	1
