Id	Icon	BgPath	EffectPath
1	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake001.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner001Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke01.prefab
2	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake002.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner002Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke02.prefab
3	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake003.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner003Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke03.prefab
4	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake004.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner004Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke04.prefab
5	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake005.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner005Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke05.prefab
6	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake001.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner001Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke01.prefab
7	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake002.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner002Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke02.prefab
8	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake003.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner003Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke03.prefab
9	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake004.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner004Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke04.prefab
10	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake005.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner005Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke05.prefab
11	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake001.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner001Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke01.prefab
12	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake002.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner002Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke02.prefab
13	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake003.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner003Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke03.prefab
14	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake004.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner004Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke04.prefab
15	Assets/Product/Texture/Atlas/UIActivityBossSingle/UIActivityBossSingleIconSnowflake005.png	Assets/Product/Texture/Image/UIImageActivityBossSingle/UIActivityBossSingleLinshiBanner005Big.png	Assets/Product/Effect/Prefab/FxUi/FxUiActivityBossSingle3d/FxUiActivityBossSingleDetailSmoke05.prefab
