Id	SkillId	Level	Name	Intro	Icon	WeaponSkillDes	EntryId[1]	EntryId[2]	EntryId[3]
1	102228	0	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>5%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
2	102228	1	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>5%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
3	102228	2	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>5.29%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
4	102228	3	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>5.59%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
5	102228	4	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>5.88%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
6	102228	5	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>6.18%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
7	102228	6	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>6.47%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
8	102228	7	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>6.76%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
9	102228	8	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>7.06%</color>.\n \n<color=#645F5D>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
10	102228	9	Vortex Flurry	Upon a 3-Ping, Extra DMG Bonus of [Lotus - Flurry] increases by <color=#FF6347>7.35%</color>.\n \n<color=#0F70BC>·Lv.9 — [Lotus - Flurry] pulls in surrounding enemies upon a 3-Ping.</color>\n \n<color=#645F5D>·Lv.18 — When casting [Lotus - Flurry] with a 3-Ping while the Signature is active, pressing and holding the Basic Attack button triggers Iaido - Deadly Slash, dealing 360% Lightning DMG.</color>	Assets/Product/Texture/Image/IconSkill/R2luxiyaExhong1.png				
