Id	Quality	Priority	Name	Description	WorldDescription	Icon	BigIcon	SkipIdParams[1]	SkipIdParams[2]	ModelTransId[1]	ModelTransId[2]	ModelTransId[3]	ResonanceModelTransId1[1]	ResonanceModelTransId1[2]	ResonanceModelTransId2[1]	ResonanceModelTransId2[2]	ResonanceModelTransId3[1]	ResonanceModelTransId3[2]	ShopIcon
12010001	5	101	Black Sheep	New Life — Dual Guns	If we only see ourselves through the lens of our mistakes, we may naturally label ourselves as "black sheep." However, no one is eternally trapped in the past. A fired bullet will be set on a new target, and even the "weapon" will regain its true colors.	Assets/Product/Texture/Image/IconToolsSp/E3GunMd120011Sp.png	Assets/Product/Texture/Image/IconTools/E3GunMd120011.png	80051		20170111	20170112								Assets/Product/Texture/Image/IconCoating/IconCoating12010001.png
12020001	5	201	Benizakura	Fairy Garment — Katana	A katana used by the Performer Puppets to perform an ethereal blade dance.	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd140111Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd140111.png	80005		20270111									Assets/Product/Texture/Image/IconCoating/IconCoating80001.png
12020002	5	202	Lupercalia	Mistletoe — Katana	Brings the power of the faun's blade to life using modern technology. Inside this chocolate box is the name of your destined one. The ancient reign is long gone, but this bizarre tradition still exists. Come, find your fate in this box. You have unlimited time.	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd160011Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd160011.png	80003		20270211									
12020003	5	203	影打—残光	シーズンシリーズ——刀	眼前の刃は夕日が如く赤い光を放つ。ただの残材であったが特殊な加工を施して現在のような変化を起こした。刀の性能自体が変わった訳ではないものの、より鋭い刃へ変貌したことを無意識にうかがわせる。「色」というのは、そんな奇妙で素晴らしい効果を持っている。	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd080012Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd080012.png			20270311									
12020004	5	204	Bonescale Blade	Ocean Secret — Katana	Do you really think mermaids have no means to protect themselves? They forge their scales into a mail and bones into a blade to defend their bodies, minds, and their important ones behind.	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd180011Sp.png	Assets/Product/Texture/Image/IconTools/E3SwordMd180011.png	80026		20270411									
12030001	5	301	Caldwell - 49	Oathbound — Levi-Gun	This Levi-Gun was named after a rose in a far-off galaxy. The universe was dubbed the "ultimate romance" during the Golden Age. Of course, converting the romantic value into damage is far more gratifying. Whether it's the aesthetic or the damage rate, it's nearly flawless, except that it demands the user to have a superb aiming skill.	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd100011Sp.png	Assets/Product/Texture/Image/IconTools/E3FloatMd100011.png			20370111	20370112								Assets/Product/Texture/Image/IconCoating/IconCoating12030001.png
12030002	5	302	Platinum Swan	Advanced Production — Levi-Gun	Just like how people tend to ignore the aggressiveness of swans for their gorgeous looks, the elegant and slender shape of this Levi-Gun often makes others forget the fact that it is a weapon used by Task Force Constructs.	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd120011Sp.png	Assets/Product/Texture/Image/IconTools/E3FloatMd120011.png	80028		20370311	20370312								
12031001	5	303	Light Silk	Festivals — Levi-Gun	The spring breeze blows the leaves, at the other end of the hackberry woods, a beautiful lady is waiting for you.	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd110011Sp.png	Assets/Product/Texture/Image/IconTools/E3FloatMd110011.png	80015		30370111	30370112								
12040001	5	401	Iris	Fairy Garment — Bow	Beautiful things come with thorns, the same as this bow.	Assets/Product/Texture/Image/IconToolsSp/E3BowMd090011Sp.png	Assets/Product/Texture/Image/IconTools/E3BowMd090011.png	10030	80021	20470111									Assets/Product/Texture/Image/IconCoating/IconCoating80002.png
12040002	5	402	White Acclaim	Oathbound — Bow	As the name suggests, this is a ceremonial rather than a practical weapon. Instead of a raging battlefield, it belongs in a sacred or peaceful setting.	Assets/Product/Texture/Image/IconToolsSp/E3BowMd100011Sp.png	Assets/Product/Texture/Image/IconTools/E3BowMd100011.png			20470211									
