Id	DrawId	RewardType	RewardId	Name	ProbShow	
1	101	1	590054	S-Rank Character Inver-Shard Pick	1.00%	
2	101	1	590056	S-Rank Booster Structural Part Pick	1.50%	
3	101	1	590055	A-Rank Booster Structural Part Pick	2.50%	
4	101	2	590057	Support Skill Component	12.00%	
5	101	2	590058	EXP Pod (L)	10.00%	
6	101	2	590059	Weapon Enhancer IV	15.00%	
7	101	2	590060	Memory Enhancer IV	15.00%	
8	101	2	590061	Overclock Black Box I	15.00%	
9	101	2	590062	Overclock Black Box II	10.00%	
10	101	2	590063	Skill Point	18.00%	
