Id	Name	Icon	Description
1	Elemental Damage	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon010.png	Can deal elemental DMG
2	High Frequency Attack	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10001.png	Can perform high frequency attack
3	Burst	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	Can deal heavy damage in short-time
4	Health Recovery	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon006.png	Can regenerate the HP of team member
5	Weaken	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	Weaken the enemy
6	Critical	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Easier to deal CRIT DMG to enemies
7	Pull	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	Pull the enemy
8	Damage Reduction	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Can reduce the DMG dealt to your members
9	Control	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	Can control the enemy
10	Shield	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Can give your members shields
11	Enhance	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon019.png	Can enhance the abilities of your members
12	Enmity Vortex	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Easier to become the enemies' target on the battlefield
13	Destroy Super Armor	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Can effectively reduce the Super Armor value of the enemy
14	Attacker	Assets/Product/Texture/Image/IconType/IconCharacter3.png	Can deal damage efficiently
15	Tank	Assets/Product/Texture/Image/IconType/IconCharacter1.png	Enhances Armor, grants Super Armor, and resist 50% damage
16	Support	Assets/Product/Texture/Image/IconType/IconCharacter2.png	Boosts restoration efficiency and Synergy Energy recovery speed
17	Ranged Damage	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12251.png	Can deal ranged attacks against enemies
18	Vanguard	Assets/Product/Texture/Image/IconType/IconCharacter4.png	Can deal damage efficiently
19	Amplifier	Assets/Product/Texture/Image/IconType/IconCharacter5.png	An all-round character that can pull, control, and deal damage to enemies.
