Id	Type	Name	EnName	Icon	Description	FightEventId	Condition	IconLv
1	1	Attacker - Sharp Blade	ATTACKER1	Assets/Product/Texture/Image/IconType/IconCharacter3.png	1. Commands a teammate to trigger a <color=#6495ED>Red Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. All team members gain <color=#6495ED>Super Armor</color> and deals <color=#6495ED>30%</color> more damage for <color=#6495ED>10s</color>.	2220103		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon1.png
2	1	Attacker - Life Devourer	ATTACKER2	Assets/Product/Texture/Image/IconType/IconCharacter3.png	1. Commands a teammate to trigger a <color=#6495ED>Red Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. All team members gain <color=#6495ED>Super Armor</color> and <color=#6495ED>5% ATK Blood Draining</color> for <color=#6495ED>10s</color>.	2220104		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon2.png
3	2	Tank - Crushbone	TANK1	Assets/Product/Texture/Image/IconType/IconCharacter1.png	1. Commands a teammate to trigger a <color=#6495ED>Yellow Orb 3-Ping</color> and <color=#6495ED>Matrix</color> before target.\n2. All members gain <color=#6495ED>80% DMG Reduction.</color> for <color=#6495ED>10s</color>. Reduces target's <color=#6495ED>DEF by 30%</color> for <color=#6495ED>8s</color>.	2220105		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon1.png
4	2	Tank - Shade	TANK2	Assets/Product/Texture/Image/IconType/IconCharacter1.png	1. Commands a teammate to trigger a <color=#6495ED>Yellow Orb 3-Ping</color> and <color=#6495ED>Matrix</color> before the target.\n2. All team members gain <color=#6495ED>80% DMG Reduction</color> and a <color=#6495ED>Shield equal to 50% max HP</color> for <color=#6495ED>10s</color>.	2220106		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon2.png
5	3	Support - Breakthrough	SUPPORT1	Assets/Product/Texture/Image/IconType/IconCharacter2.png	1. Commands a teammate to trigger a <color=#6495ED>Blue Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. <color=#6495ED>Dispels all teammates' Speed-Down</color>, and in the next <color=#6495ED>5s</color>, <color=#6495ED>all Pings will be counted as 3-Pings</color>.	2220107		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon1.png
6	3	Support - Final Radiance	SUPPORT2	Assets/Product/Texture/Image/IconType/IconCharacter2.png	1. Commands a teammate to trigger a <color=#6495ED>Blue Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. <color=#6495ED>Dispels all teammates' Speed-Down</color> and restores <color=#6495ED> their HP to full</color>.	2220108		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon2.png
7	4	Vanguard - Sharp Blade	POINEER1	Assets/Product/Texture/Image/IconType/IconCharacter4.png	1. Commands a teammate to trigger a <color=#6495ED>Red Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. All team members gain <color=#6495ED>Super Armor</color> and deals <color=#6495ED>30%</color> more damage for <color=#6495ED>10s</color>.	2220109		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon1.png
8	4	Vanguard - Life Devourer	POINEER2	Assets/Product/Texture/Image/IconType/IconCharacter4.png	1. Commands a teammate to trigger a <color=#6495ED>Red Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. All team members gain <color=#6495ED>Super Armor</color> and <color=#6495ED>5% ATK Blood Draining</color> for <color=#6495ED>10s</color>.	2220110		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon2.png
9	5	Amplifier - Breakthrough	AMPLIFIER1	Assets/Product/Texture/Image/IconType/IconCharacter5.png	1. Commands a teammate to trigger a <color=#6495ED>Blue Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. <color=#6495ED>Dispels all teammates' Speed-Down</color>, and in the next <color=#6495ED>5s</color>, <color=#6495ED>all Pings will be counted as 3-Pings</color>.	2220111		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon1.png
10	5	Amplifier - Final Radiance	AMPLIFIER2	Assets/Product/Texture/Image/IconType/IconCharacter5.png	1. Commands a teammate to trigger a <color=#6495ED>Blue Orb 3-Ping</color> and <color=#6495ED>Matrix</color> behind the target.\n2. <color=#6495ED>Dispels all teammates' Speed-Down</color> and restores <color=#6495ED> their HP to full</color>.	2220112		Assets/Product/Texture/Atlas/UiCoupleCombat/UiCoupleCombatIcon2.png
