Id	OpenDay	Intro[1]	Intro[2]	Intro[3]	Intro[4]	Intro[5]	Intro[6]	Feature[1]	Feature[2]	ShowFightEventIds[1]	ShowFightEventIds[2]	ShowFightEventIds[3]	GridBg	IndexText	IsLastOne
30162402	0	1. All characters are deployed simultaneously	2. There is no special mechanism in this stage	3. Deployed characters are locked in this stage upon clear. Reset to unlock them						110004	33062		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161101	0	1. All characters are deployed simultaneously	2. There is no special mechanism in this stage	3. Deployed characters are locked in this stage upon clear. Reset to unlock them						110004	33062		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161102	0	1. All characters are deployed simultaneously	2. In this stage, all your members will take True DMG equal to 2% of max HP every second	3. Recommend bringing Omniframes with the "Health Recovery" feature	4. Deployed characters are locked upon clear. Reset to unlock them			4		33101	32042		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161103	0	1. All characters are deployed simultaneously	2. In this stage, DMG taken by enemies increases by 100% when they are stunned and 50% when not	3. Recommend bringing Omniframes with the "Control" feature	4. Deployed characters are locked upon clear. Reset to unlock them			9		32131	32043		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161104	0	1. All characters are deployed simultaneously	2. In this stage, the enemy has a high-valued Super Armor bar that can slowly recover. When the Super Armor bar exists, DMG taken by the enemy reduces by 80%; when the bar is gone, DMG taken by the enemy increases by 150%. The Super Armor bar refreshes 10s after it is destroyed	3. Recommend bringing Omniframes with the "Destroy Super Armor" feature	4. Deployed characters are locked upon clear. Reset to unlock them			13		32101	33123		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161105	0	1. All characters are deployed simultaneously	2. In this stage, all your members' CRIT DMG increases by 100%, and the DMG dealt to the enemy from behind increases by 100%	3. Recommend bringing Omniframes with the "Critical" and "Enmity Vortex" features	4. Deployed characters are locked upon clear. Reset to unlock them			6	12	32112	110002		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161106	0	1. All characters are deployed simultaneously	2. In this stage, the enemy has a special affix Rigid Body. The affix is destroyed when the enemy is hit 100 times, causing the enemy to lose 20% of max HP. The affix Rigid Body refreshes 10s after being destroyed	3. Recommend bringing Omniframes with the "High Frequency Attack" feature	4. Deployed characters are locked upon clear. Reset to unlock them			2		110001	110003		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161107	0	1. All characters are deployed simultaneously	2. In this stage, there is a dying device on the field which you can heal. When the device's HP is full, your units will get 300% Extra DMG bonus	3. Recommend bringing Omniframes with the "Health Recovery" feature	4. Deployed characters are locked upon clear. Reset to unlock them			4		32071	32082		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161108	0	1. All characters are deployed simultaneously	2. In this stage, the enemies will obtain the corresponding mark when they receive elemental DMG. While the mark exists, dealing damage of a different element will remove the mark and deal True Damage equal to 2% of the enemy's max HP	3. Recommend bringing Omniframes with the "Elemental Damage" feature	4. Deployed characters are locked upon clear. Reset to unlock them			1		32072	32083		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel1.png		
30161109	0	1. All characters are deployed simultaneously	2. In this stage, you will gain special enhance effect when obtaining the buff effect provided by Support Omniframes. Each level will have the character's Extra DMG bonus increased by 10% for 10s. Buff duration will be refreshed when the buff stacks	3. Recommend bringing Omniframes with the "Enhance" feature	4. Deployed characters are locked upon clear. Reset to unlock them			11		32073	110005		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161110	0	1. All characters are deployed simultaneously	2. In this stage, the enemy will trigger a special skill every minute, dealing huge damage to the enemy and you at the same time in 10s	3. Recommend bringing Omniframes with the "Health Recovery" and "DMG Reduction" features	4. Deployed characters are locked upon clear. Reset to unlock them			4	8	32031	110006		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161121	0	1. All characters are deployed simultaneously	2. In this stage, all your members will take True DMG equal to 4% of max HP every second	3. Recommend bringing Omniframes with the "Health Recovery" feature	4. Deployed characters are locked upon clear. Reset to unlock them			4		32032	110009		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161122	0	1. All characters are deployed simultaneously	2. In this stage, the enemies will obtain the corresponding mark when they receive elemental DMG. While the mark exists, dealing damage of a different element will remove the mark and deal True Damage equal to 1% of the enemy's max HP	3. Recommend bringing Omniframes with the "Elemental Damage" feature	4. Deployed characters are locked upon clear. Reset to unlock them			1		32033	110010		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
30161123	0	1. All characters are deployed simultaneously	2. In this stage, DMG taken by enemies increases by 100% when they are stunned and 50% when not	3. Recommend bringing Omniframes with the "Control" feature	4. Deployed characters are locked upon clear. Reset to unlock them			9		32011	110011		Assets/Product/Texture/Image/UiCoupleCombat/CoupleCombatLevel2.png		
