Id	Name	Type	Des	Power	IsPercent	DescEn
1001	Life	1	HP	0.2	0	HEALTH
1002	Attack	1	Attack	1	0	DAMAGE
1003	AttackIntensity	1	Attack Boost	0	0	
1004	Defense	1	DEF	0.5	0	DEFENCE
1005	DefensePierceP	1	Defense Piercing	0	1	
2001	CritP	2	CRIT Rate	0	1	
2002	CritResistanceP	2	CRIT Resistance	0	1	
2003	CritDmgRateP	2	CRIT DMG Rate	0	1	
2004	CritDmgRateReductionP	2	CRIT DMG Rate Reduction	0	1	
3001	ShieldEfficiencyP	3	Shield Efficiency	0	1	
3002	ShieldAmpP	3	Shield Bonus	0	1	
3003	ShieldReductionP	3	Shield Reduction	0	1	
3004	ShieldGainBonusP	3	Shield Bonus Received	0	1	
3005	ShieldGainReductionP	3	Shield Reduction Received	0	1	
4001	PhysicalAmpP	4	Physical DMG Increase	0	1	
4002	Element1AmpP	4	Fire DMG Increase	0	1	
4003	Element2AmpP	4	Lightning DMG Increase	0	1	
4004	Element3AmpP	4	Ice DMG Increase	0	1	
4005	Element4AmpP	4	Dark DMG Increase	0	1	
4006	PhysicalReductionP	4	Physical DMG Reduction	0	1	
4007	Element1ReductionP	4	Fire DMG Reduction	0	1	
4008	Element2ReductionP	4	Lightning DMG Reduction	0	1	
4009	Element3ReductionP	4	Ice DMG Reduction	0	1	
4010	Element4ReductionP	4	Dark DMG Reduction	0	1	
4011	PhysicalPierceP	4	Piercing Physical DMG	0	1	
4012	Element1PierceP	4	Piercing Fire DMG	0	1	
4013	Element2PierceP	4	Piercing Lightning DMG	0	1	
4014	Element3PierceP	4	Piercing Ice DMG	0	1	
4015	Element4PierceP	4	Piercing Dark DMG	0	1	
5001	SignalSkillDmgAmpP	5	Signal Orb Skill DMG Bonus	0	1	
5002	SpecialSkillDmgAmpP	5	Special Skill DMG Bonus	0	1	
5003	NormalAtkDmgAmpP	5	Basic Attack Skill DMG Bonus	0	1	
5004	ExSkillDmgAmpP	5	Signature Move DMG Bonus	0	1	
5005	HuntSkillDmgAmpP	5	Spear Skill DMG Bonus	0	1	
5006	SignalSkillDmgReductionP	5	Signal Orb Skill DMG Reduction	0	1	
5007	SpecialSkillDmgReductionP	5	Special Skill DMG Reduction	0	1	
5008	NormalAtkDmgReductionP	5	Basic Attack Skill DMG Reduction	0	1	
5009	ExSkillDmgReductionP	5	Signature Move DMG Reduction	0	1	
5010	HuntSkillDmgReductionP	5	Spear Skill DMG Reduction	0	1	
6001	ThreatRate	6	Aggro converted from DMG	0	1	
6002	CharacterValue	6	Character Value	0	0	
6003	ExSkillPoint	6	Signature Points	0	0	
6004	IdleSpinningSpeed	6	Standby Turn Rate	0	0	
6005	RunSpinningSpeed	6	Running Turn Rate	0	0	
6006	DodgeEnergy	6	Dodge Energy	0	0	
6007	JumpEnergy	6	Jump Energy	0	0	
6008	DodgeEnergyRegen	6	Dodge Energy Regeneration	0	0	
6009	JumpEnergyRegen	6	Jump Energy Regeneration	0	0	
6010	CustomEnergyGroup1	6	Custom Energy Set 1	0	0	
6011	CustomEnergyGroup2	6	Custom Energy Set 2	0	0	
6012	CustomEnergyGroup3	6	Custom Energy Set 3	0	0	
6013	CustomEnergyGroup4	6	Custom Energy Set 4	0	0	
