Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame
995199		0											5						-1					Root	FxMo1BioMd010141Death		-1			1																																										1																							
903799		0											5						-1					Root	FxMe1BioMd004050Death		-1			1																																										1																							
904499		0											5						-1					Root	FxMe1CamouflageMd001002Death		-1			1																																										1																							
903399		0											5						-1					Root	FxMe1BioMd004020Death		-1			1																																										1																							
903499		0											5						-1					Root	FxMe1BioMd004010Death		-1			1																																										1																							
902699		0											5						-1					Root	FxMo1JgrcMd000002Death		-1			1																																										1																							
995899		0											5						-1					Root	FxMb1XiuMd010001Death		-1			1																																										1																							
995499		0											5						-1					Root	FxMb1XiuMd010001Death		-1			1																																										1																							
995599		0											5						-1					Root	FxMb1LuxiyaMd000003Death		-1			1																																										1																							
996099		0											5						-1					Root	FxMe1GouzaotiMd10001Death		-1			1																																										1																							
902299		0											5						-1					Root	FxMe1BioMd004060Death		-1			1																																										1																							
904399		0											5						-1						FxDeath01		-1			1																																										1																							
975199		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975299		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975399		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975499		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975599		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975699		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975799		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975899		0											5						-1					Root	FxJianZuBaoZha		-1			1																																										1																							
975999		0											5						-1					Root	FxMb1CubeMd060002Death		-1			1																																										1																							
874399		0											5						-1						FxMb1CubeMd010001Death		-1			1																																										1																							
874499		0											5						-1						FxMb1CubeMd010001KangtiDeath		-1			1																																										1																							
