Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType	FollowHeightJoint	BindLauncherFrame	BindSkillFrame	SlopeTargetJoint
96010900	构造体自爆范围预警	2	8				0			1			1						-1						FxYujing1M10S		-1			1					0	0	0										0							0	1					900023									0	HitCase	1	0		1				0																		
96010901	构造体自爆-伤害子弹	2	8				0			6			0.1						-1		FxMo1BraveMd010101Attack01Shouji						-1			1					0	0	0										0							0	3				960109011	744007	816003								0	HitCase		0		1				1																		
96010902	emp爆炸特效1	2	8				0			1			3						-1						FxScene01803Boom01		-1			1					0	0	0										0							0	1														0	HitCase		0		0				0																		
96010903	emp爆炸buff-对怪物	2	8				0			4			0.1						-1								-1			1					0	0	0										0							0	1					744009	700208	700249	744014						0	HitCase		0						0																		
96010904	流光qte-对队友加血	2	6				0			2			5						-1	1	FxTongyongCureshouji		1		FxR2LifuLuoleiEx		-1			1					0	0	0										0							0	1					700105									0	HitCase		0						0																		
96010905	流光qte-队友免疫爆炸	2	6				0			2			1						-1								-1			1					0	0	0										0							0	1					744010									0	HitCase		0						0																		
96010906	萌战库洛洛消失特效	2	10				0			1			1		1				-1						FxDrop02BeHit		-1			1					0	0	0										0							0	1														0	HitCase		0		0				0																		
96010907	萌战蚀暗-击退	2	10				0			4			1		1				-1				0.5				-1			1					0	0	0										0							0	1					744049									0	HitCase		0		0				0																		
96010908	萌战艾拉聚怪-吸附	2	100				0			4			1		1				-1	1			0.05				-1			1					0	0	0										0							0	1					744029									0	HitCase		0		0				0																		
96010909	阻断墙，8倍平行Y轴	1	8	2			0		90	4			9999						-1						FxFlashWallloop		-1			1					0	0	0										3							4	1														0	HitCase	1	0			1			0																		
