Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	NpcSearcherId	TrackTarget	LiveTime	FillTime	DeadExplosion	MoveExcludeObstacle	ActsExcludeObstacle	ExplosionOnCollideObstacle	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	LineParams[8]	LineParams[9]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[2]	MagicLauncherNpc[3]	MagicLauncherNpc[4]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	DeathWithNpc	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	BindBornNpc	SingleClientEffect	TimeScale	TimeScaleDuration	ReboundTimes	ReboundType	CollideFilterType	BuffFilter	NpcHitCount	ShakeMagic	CollideMissileType
909399		0											5						-1					Root	FxMoCaMd030010AttackDeath		-1			1																																										1																				
909499		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																										1																				
845099		0											5						-1						FxMb1VoodooDeath		-1			1																																										1																				
845199		0											5						-1						FxMb1Voodoo2Death		-1			1																																										1																				
845299		0											5						-1						FxMb1VoodooDeath		-1			1																																										1																				
848199		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																										1																				
848099		0											5						-1						FxMb1PunishdataHcDandaoHit02		-1			1																																										1																				
822099		0											5						-1					Root	FxHeiBangDeath		-1			1																																										1																				
822199		0											5						-1					Root	FxHeiBangDeath		-1			1																																										1																				
822299		0											5						-1					Root	FxHeiBangDeath		-1			1																																										1																				
822399		0											5						-1					Root	FxHeiBangDeath		-1			1																																										1																				
822999		0											5						-1					Root	FxHeiBangDeath		-1			1																																										1																				
854099		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																										1																				
854199		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																										1																				
854299		0											5						-1						FxMb1HuoshaMd010002Atk31Rushui		-1			1																																										1																				
854399		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																										1																				
854499		0											5						-1					Root	FxMe1BioMd007030Death		-1			1																																										1																				
854599		0											5						-1					Root	FxMb1HuoshaMd010002Atk13Hit		-1			1																																										1																				
