Id	CharacterId	MoodMinValue	MoodMaxValue	State	Content[1]	Time[1]	Content[2]	Time[2]	Content[3]	Time[3]	Content[4]	Time[4]	Content[5]	Time[5]	Content[6]	Time[6]
1	1021001	0	10	IDLE	I don't feel like moving.	2000										
2	1021001	0	10	IDLE	Where's my frog plush?	2000										
3	1021001	0	10	IDLE	Can you not... stare at me?	2000										
4	1021001	0	10	IDLE	Don't annoy me or you'll get a beating.	2000										
5	1021001	0	30	IDLE	Resting is good for you.	2000										
6	1021001	0	30	IDLE	I'll carry out all your orders, including staying here.	2000										
7	1021001	0	30	IDLE	I don't mind being a little crowded. I'm used to it.	2000										
8	1021001	0	30	IDLE	My M.I.N.D. is calming down.	2000										
9	1021001	0	30	IDLE	A few pots of red flowers would be nice.	2000										
10	1021001	0	50	IDLE	Resting is good for you.	2000										
11	1021001	0	50	IDLE	I'll carry out all your orders, including staying here.	2000										
12	1021001	0	50	IDLE	I don't mind being a little crowded. I'm used to it.	2000										
13	1021001	0	50	IDLE	My M.I.N.D. is calming down.	2000										
14	1021001	0	50	IDLE	A few pots of red flowers would be nice.	2000										
15	1021001	0	80	IDLE	Yes, quite reassuring.	2000										
16	1021001	0	80	IDLE	Is this what a home feels like?	2000										
17	1021001	0	80	IDLE	Finally, some quietude. Usually, it's death cries and Lee arguing with Kamui...	2000										
18	1021001	0	80	IDLE	I usually hate cramped places, but I don't really mind them when you're with me.	2000										
19	1021001	0	100	IDLE	Yes, quite reassuring.	2000										
20	1021001	0	100	IDLE	Is this what a home feels like?	2000										
21	1021001	0	100	IDLE	Finally, some quietude. Usually, it's death cries and Lee arguing with Kamui...	2000										
22	1021001	0	100	IDLE	I usually hate cramped places, but I don't really mind them when you're with me.	2000										
23	1021001	0	100	IDLE	It's safe here, so... may I feel you?	2000										
24	1021001	0	30	IDLE	...	2000										
25	1021001	0	30	IDLE	Roger...	2000										
26	1021001	0	30	IDLE	Let's see.	2000										
27	1021001	0	30	IDLE	Looking for me?	2000										
28	1021001	0	30	IDLE	=-=	2000										
29	1021001	0	50	IDLE	?—	2000										
30	1021001	0	50	IDLE	∑0-0	2000										
31	1021001	0	50	IDLE	Let's see.	2000										
32	1021001	0	50	IDLE	Looking for me?	2000										
33	1021001	0	50	IDLE	=-=	2000										
34	1021001	0	80	IDLE	0v0	2000										
35	1021001	0	80	IDLE	Hm?	2000										
36	1021001	0	80	IDLE	You came?	2000										
37	1021001	0	100	IDLE	0v0	2000										
38	1021001	0	100	IDLE	Hm?	2000										
39	1021001	0	100	IDLE	Boy!	2000										
40	1021001	0	100	IDLE	You came?	2000										
41	1021001	0	100	IDLE	(,,??ω?)ノ"	2000										
