Id	Path	Hight	Bind
1	Assets/Product/Effect/Prefab/FxSushe/FxQAngry.prefab	-1	0
2	Assets/Product/Effect/Prefab/FxSushe/FxQHappy01.prefab	-1	0
3	Assets/Product/Effect/Prefab/FxSushe/FxQMed01.prefab	-1	0
4	Assets/Product/Effect/Prefab/FxSushe/FxQTired.prefab	-1	0
5	Assets/Product/Effect/Prefab/FxSushe/FxQAnnoyyance.prefab	-1	0
6	Assets/Product/Effect/Prefab/FxSushe/FxQCabinet.prefab	-1	0
7	Assets/Product/Effect/Prefab/FxSushe/FxQClick.prefab	-1	0
8	Assets/Product/Effect/Prefab/FxSushe/FxQKiss.prefab	-1	0
9	Assets/Product/Effect/Prefab/FxSushe/FxQLazy.prefab	-1	0
10	Assets/Product/Effect/Prefab/FxSushe/FxQLove.prefab	-1	0
11	Assets/Product/Effect/Prefab/FxSushe/FxQMed01.prefab	-1	0
12	Assets/Product/Effect/Prefab/FxSushe/FxQQiumo.prefab	-1	0
13	Assets/Product/Effect/Prefab/FxSushe/FxQSleep.prefab	-1	0
14	Assets/Product/Effect/Prefab/FxSushe/FxQTiliHuifu.prefab	-1	0
15	Assets/Product/Effect/Prefab/FxSushe/FxQXiangsi.prefab	-1	0
16	Assets/Product/Effect/Prefab/FxSushe/FxQXinqingHuifu.prefab	-1	0
17	Assets/Product/Effect/Prefab/FxSushe/FxQXinqingTisheng.prefab	-1	0
18	Assets/Product/Effect/Prefab/FxSushe/FxQGift.prefab	-1	0
19	Assets/Product/Effect/Prefab/FxSushe/FxQClick01.prefab	-0.4	0
20	Assets/Product/Effect/Prefab/FxSushe/FxQNiuqu.prefab	-1	0
21	Assets/Product/Effect/Prefab/FxSushe/FxQSmoke.prefab	-1	0
22	Assets/Product/Effect/Prefab/FxSushe/FxQMindBed.prefab	-1	0
23	Assets/Product/Effect/Prefab/FxSushe/FxQMindCabinet.prefab	-1	0
24	Assets/Product/Effect/Prefab/FxSushe/FxQMindFondle.prefab	-1	0
25	Assets/Product/Effect/Prefab/FxSushe/FxQMindPoint.prefab	-1	0
26	Assets/Product/Effect/Prefab/FxSushe/FxQMindSofa.prefab	-1	0
27	Assets/Product/Effect/Prefab/FxSushe/FxQPoint.prefab	-1	0
28	Assets/Product/Effect/Prefab/FxSushe/FxQShijianWancheng.prefab	-1	0
29	Assets/Product/Effect/Prefab/FxSushe/FxQiziShanguang01.prefab	-1	0
30	Assets/Product/Effect/Prefab/FxSushe/FxQiziShanguang02.prefab	-1	0
31	Assets/Product/Effect/Prefab/FxSushe/FxLuoshui.prefab	-1	0
32	Assets/Product/Effect/Prefab/FxSushe/FxSusheHalloweenCarpeGiftBGox.prefab	-1	0
33	Assets/Product/Effect/Prefab/FxSushe/FxBaimaoSusheAtk.prefab	0	0
34	Assets/Product/Effect/Prefab/FxSushe/FxBaimaoSusheSmoke02.prefab	0	0
35	Assets/Product/Effect/Prefab/FxSushe/FxBaimaoSusheSmoke03.prefab	0	0
36	Assets/Product/Effect/Prefab/FxSushe/FxQR3LifuGlow.prefab	-1	1
37	Assets/Product/Effect/Prefab/FxSushe/FxQR3LifuXiaoshi.prefab	-1	1
38	Assets/Product/Effect/Prefab/FxSushe/FxTakephotoFemale.prefab	-1	0
39	Assets/Product/Effect/Prefab/FxSushe/FxQR3LifuGlow.prefab	-1	1
40	Assets/Product/Effect/Prefab/FxSushe/FxTakephotoMale.prefab	-1	0
41	Assets/Product/Effect/Prefab/Fxtest/Fxtest.prefab	0	2
