Id	SuitName
1	All
2	Cafe
3	Sakura Romance
4	Basic Set
5	Cyberpunk
6	Christmas Cabin
7	Teatime
8	Snowy Church
9	Chess Game
10	Island Holiday
11	Frost Cottage
12	Astrology Night
13	Dream Workshop
14	Theater Room
15	Forest Wonderland
16	Starry Dreams
17	Tactical Area
18	Personal Belongings
19	School Summer Festival
20	Moonlit Magpies Bridge
21	Life's Luminance
22	Kuroro Disco
23	Sicily Stronghold
24	Dew House
25	Memory Lane
26	Knight Pavilion
27	Breezy Pastures
28	Tea Party Set
29	Detective Set
30	Burning Words
31	Verdant Cabin
32	Vapor Tide
33	Others
