Id	ThemeId	StageId	OpenTimeId	RewardId[1]	RewardId[2]	RewardId[3]	RewardDes	BaseBuffId[1]	BaseBuffId[2]	BaseBuffId[3]	BaseBuffId[4]	BaseBuffId[5]	BaseBuffId[6]	BaseBuffId[7]
1	1	20000601		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32148	32149	32150	32151	32152		
2	1	20000602		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32153	32154	32155	32156	32157	32158	
3	1	20000603		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32159	32160	32161	32162			
4	1	20000604		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32163	32150	32151	32155	32156	32157	32164
5	1	20000605		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32165	32155	32156	32157	32160	32161	32166
6	1	20000606		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32167	32150	32151	32160	32161	32168	
7	1	20000607		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32163	32150	32151	32155	32156	32157	32164
8	1	20000608		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32165	32155	32156	32157	32160	32161	32166
9	1	20000609		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32167	32150	32151	32160	32161	32168	
10	2	20000632		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32173	32174					
11	2	20000633		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32175	32176	32177				
12	2	20000634		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32173	32174	32176	32177			
13	2	20000635		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32174	32176	32177				
14	2	20000636		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32174	32176	32177				
15	2	20000637		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32174	32176	32177				
16	2	20000638		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32174	32176	32177				
17	2	20000639		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32174	32176	32177				
18	2	20000640		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32174	32176	32177				
19	3	20000661		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32179	32180					
20	3	20000662		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32181	32182	32183				
21	3	20000663		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32184	32185	32186				
22	3	20000664		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32180	32182	32183	32185	32186		
23	3	20000665		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32180	32182	32183	32185	32186		
24	3	20000666		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32180	32182	32183	32185	32186		
25	3	20000667		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32180	32182	32183	32185	32186		
26	3	20000668		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32180	32182	32183	32185	32186		
27	3	20000669		555043	555044	555045	Achieve the goal(s) to obtain the following reward(s)	32180	32182	32183	32185	32186		
