Id	Name	Title	NameplateQuality	Group	Description	NameplateGameplayType	Hint[1]	Hint[2]	Hint[3]	Hint[4]	NameplateGetWay	NameplateUpgradeType	Params[0]	Params[1]	DecomposeExp	UpgradeExp	ConvertItemId	ConvertItemCount	ExpireTimeStr	Duration	IconType	Icon	BackBoard	OutLineColor	QualityIcon	EffectRes	IsNewTextureIcon
17000001	Test Nameplate 1	Nameplate 1	1	1	Repeated Replaceable - Test Nameplate	Test Mode 1	Higher ranks replaces low ranks				Mode Rewards	1								604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303030FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel10.png		
17000002	Test Nameplate 2	Nameplate 2	2	1	Repeated Replaceable - Test Nameplate	Test Mode 1	Higher ranks replaces low ranks				Mode Rewards	1								604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303031FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel11.png		
17000003	Test Nameplate 3	Nameplate 3	3	1	Repeated Replaceable - Test Nameplate	Test Mode 1	Higher ranks replaces low ranks				Mode Rewards	1								604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303032FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel20.png		
17000004	Test Nameplate 4	Nameplate 4	1	2	Requirement Upgrade - Test Nameplate	Test Mode 2	Voted on Candidate No. 1 for 30 Cheer, increases to Rank 2	Voted on Candidate No. 1 for 50 Cheer, increases to Rank 3			Mode Rewards	2	1	20						604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303033FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel21.png		
17000005	Test Nameplate 5	Nameplate 5	2	2	Requirement Upgrade - Test Nameplate	Test Mode 2	Voted on Candidate No. 1 for 30 Cheer, increases to Rank 2	Voted on Candidate No. 1 for 50 Cheer, increases to Rank 3			Mode Rewards	2	1	50						604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303034FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel22.png		
17000006	Test Nameplate 6	Nameplate 6	3	2	Requirement Upgrade - Test Nameplate	Test Mode 2	Voted on Candidate No. 1 for 30 Cheer, increases to Rank 2	Voted on Candidate No. 1 for 50 Cheer, increases to Rank 3			Mode Rewards	2								604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303035FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel30.png		
17000007	Test Nameplate 7	Nameplate 7	1	3	EXP Upgrade - Test Nameplate	Test Mode 3	Converts to 50 EXP				Mode Rewards	3			50	200				604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303036FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png		
17000008	Test Nameplate 8	Nameplate 8	2	3	EXP Upgrade - Test Nameplate	Test Mode 3	Converts to 100 EXP				Mode Rewards	3			100	300				604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303037FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png		
17000009	Test Nameplate 9	Nameplate 9	3	3	EXP Upgrade - Test Nameplate	Test Mode 3	Converts to 150 EXP				Mode Rewards	3			150	500				604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303038FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png		
17000010	Test Nameplate 10	Nameplate 10	1	4	Item Conversion - Test Nameplate	Test Mode 4	Converts to 500 Cogs				Mode Rewards	4					1	500		604800	2	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	303039FF	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel10.png		
