Id	PluginList[1]	PluginList[2]	PluginList[3]	PluginList[4]	LuckPluginList[1]	LuckPluginList[2]	LuckPluginList[3]
1	1				1	2	3
2	1				1	2	3
3	1				1	2	3
4	1				1	2	3
5	1				1	2	3
6	1	2			1	2	3
7	1	2			1	2	3
8	1	2			1	2	3
9	1	2			1	2	3
10	1	2			1	2	3
11	1	2	3		1	2	3
12	1	2	3		1	2	3
13	1	2	3		1	2	3
14	1	2	3		1	2	3
15	1	2	3		1	2	3
16	1	2	3		1	2	3
17	1	2	3		1	2	3
18	1	2	3		1	2	3
19	1	2	3		1	2	3
20	1	2	3		1	2	3
21	1	2	3	4	2	3	4
22	1	2	3	4	2	3	4
23	1	2	3	4	2	3	4
24	1	2	3	4	2	3	4
25	1	2	3	4	2	3	4
26	1	2	3	4	2	3	4
27	1	2	3	4	2	3	4
28	1	2	3	4	2	3	4
29	1	2	3	4	2	3	4
30	1	2	3	4	2	3	4
31	1	2	3	4	2	3	4
32	1	2	3	4	2	3	4
33	1	2	3	4	2	3	4
34	1	2	3	4	2	3	4
35	1	2	3	4	2	3	4
36	1	2	3	4	2	3	4
37	1	2	3	4	2	3	4
38	1	2	3	4	2	3	4
39	1	2	3	4	2	3	4
40	1	2	3	4	2	3	4
41	1	2	3	4	2	3	4
42	1	2	3	4	2	3	4
43	1	2	3	4	2	3	4
44	1	2	3	4	2	3	4
45	1	2	3	4	2	3	4
46	1	2	3	4	2	3	4
47	1	2	3	4	2	3	4
48	1	2	3	4	2	3	4
49	1	2	3	4	2	3	4
50	1	2	3	4	2	3	4
51	1	2	3	4	2	3	4
52	1	2	3	4	2	3	4
53	1	2	3	4	2	3	4
54	1	2	3	4	2	3	4
55	1	2	3	4	2	3	4
56	1	2	3	4	2	3	4
57	1	2	3	4	2	3	4
58	1	2	3	4	2	3	4
59	1	2	3	4	2	3	4
60	1	2	3	4	2	3	4
61	1	2	3	4	2	3	4
62	1	2	3	4	2	3	4
63	1	2	3	4	2	3	4
64	1	2	3	4	2	3	4
65	1	2	3	4	2	3	4
66	1	2	3	4	2	3	4
67	1	2	3	4	2	3	4
68	1	2	3	4	2	3	4
69	1	2	3	4	2	3	4
70	1	2	3	4	2	3	4
71	1	2	3	4	3	4	
72	1	2	3	4	3	4	
73	1	2	3	4	3	4	
74	1	2	3	4	3	4	
75	1	2	3	4	3	4	
76	1	2	3	4	3	4	
77	1	2	3	4	3	4	
78	1	2	3	4	3	4	
79	1	2	3	4	3	4	
80	1	2	3	4	3	4	
81	1	2	3	4	3	4	
82	1	2	3	4	3	4	
83	1	2	3	4	3	4	
84	1	2	3	4	3	4	
85	1	2	3	4	3	4	
86	1	2	3	4	3	4	
87	1	2	3	4	3	4	
88	1	2	3	4	3	4	
89	1	2	3	4	3	4	
90	1	2	3	4	3	4	
91	1	2	3	4	3	4	
92	1	2	3	4	3	4	
93	1	2	3	4	3	4	
94	1	2	3	4	3	4	
95	1	2	3	4	3	4	
96	1	2	3	4	3	4	
97	1	2	3	4	3	4	
98	1	2	3	4	3	4	
99	1	2	3	4	3	4	
100	1	2	3	4	3	4	
101	1	2	3	4	3	4	
102	1	2	3	4	3	4	
103	1	2	3	4	3	4	
104	1	2	3	4	3	4	
105	1	2	3	4	3	4	
106	1	2	3	4	3	4	
107	1	2	3	4	3	4	
108	1	2	3	4	3	4	
109	1	2	3	4	3	4	
110	1	2	3	4	3	4	
111	1	2	3	4	3	4	
112	1	2	3	4	3	4	
113	1	2	3	4	3	4	
114	1	2	3	4	3	4	
115	1	2	3	4	3	4	
116	1	2	3	4	3	4	
117	1	2	3	4	3	4	
118	1	2	3	4	3	4	
119	1	2	3	4	3	4	
120	1	2	3	4	3	4	
