Role	Layer	State	Target	TransitionDuration
Mb1LostwomenMd010001	0		Born	0
Mb1LostwomenMd010001	0		Stand1	0.1
Mb1LostwomenMd010001	0		Stand2	0.1
Mb1LostwomenMd010001	0		Stand3	0.1
Mb1LostwomenMd010001	0		Death	0.1
Mb1LostwomenMd010001	0		Standchange	0.1
Mb1LostwomenMd010001	0		Run	0.1
Mb1LostwomenMd010001	0		Walk	0.1
Mb1LostwomenMd010001	0		Runb	0.2
Mb1LostwomenMd010001	0		Runl	0.2
Mb1LostwomenMd010001	0		Runr	0.2
Mb1LostwomenMd010001	0		Walkb	0.1
Mb1LostwomenMd010001	0		Walkl	0.1
Mb1LostwomenMd010001	0		Walkr	0.1
Mb1LostwomenMd010001	0		TurnLeft	0.1
Mb1LostwomenMd010001	0		TurnRight	0.1
Mb1LostwomenMd010001	0		Move1	0.1
Mb1LostwomenMd010001	0		Move2	0.1
Mb1LostwomenMd010001	0		Move3	0.1
Mb1LostwomenMd010001	0		RunStart	0.1
Mb1LostwomenMd010001	0		RunStartEnd01	0.1
Mb1LostwomenMd010001	0		Hit1	0.05
Mb1LostwomenMd010001	0		Hit2	0.05
Mb1LostwomenMd010001	0		Hit3	0.05
Mb1LostwomenMd010001	0		Hit4	0.05
Mb1LostwomenMd010001	0		Behitfly	0.05
Mb1LostwomenMd010001	0		Hoverhit	0.05
Mb1LostwomenMd010001	0		Falldown	0.1
Mb1LostwomenMd010001	0		Hitdown	0.05
Mb1LostwomenMd010001	0		Lieonfloor	0.1
Mb1LostwomenMd010001	0		Standup	0.1
Mb1LostwomenMd010001	0		Straight	0.1
Mb1LostwomenMd010001	0		Stun	0.1
Mb1LostwomenMd010001	0		StraightBefore	0.1
Mb1LostwomenMd010001	0		StraightAfter	0.1
Mb1LostwomenMd010001	0		Win	0
Mb1LostwomenMd010001	0		Win2	0.1
Mb1LostwomenMd010001	0		Stop	0.1
Mb1LostwomenMd010001	0		Fail	0.1
Mb1LostwomenMd010001	0		Save	0.1
Mb1LostwomenMd010001	0		AttackQte	0
Mb1LostwomenMd010001	0		Caught	0.1
Mb1LostwomenMd010001	0		Squatdown	0.1
Mb1LostwomenMd010001	0		StopR	0.1
Mb1LostwomenMd010001	0		Attack01	0.1
Mb1LostwomenMd010001	0		Attack03	0.1
Mb1LostwomenMd010001	0		Attack04	0.1
Mb1LostwomenMd010001	0		Attack05	0.1
Mb1LostwomenMd010001	0		Attack06	0.1
Mb1LostwomenMd010001	0		Attack07	0.1
Mb1LostwomenMd010001	0		Attack08	0.1
Mb1LostwomenMd010001	0		Attack09	0.1
Mb1LostwomenMd010001	0		Attack11	0.1
Mb1LostwomenMd010001	0		Attack12	0.1
Mb1LostwomenMd010001	0		Attack13	0.1
Mb1LostwomenMd010001	0		Attack15	0.1
Mb1LostwomenMd010001	0		Attack27	0.1
Mb1LostwomenMd010001	0		Attack28	0.1
Mb1LostwomenMd010001	0		Attack29	0.1
Mb1LostwomenMd010001	0	Stand1	Run	0.2
Mb1LostwomenMd010001	0	Stand1	Walk	0.1
Mb1LostwomenMd010001	0	Stand2	Standchange	0.1
Mb1LostwomenMd010001	0	Stand2	Run	0.2
Mb1LostwomenMd010001	0	Stand2	Walk	0.3
Mb1LostwomenMd010001	0	Stand2	Walkb	0.3
Mb1LostwomenMd010001	0	Stand2	Walkl	0.3
Mb1LostwomenMd010001	0	Stand2	Walkr	0.3
Mb1LostwomenMd010001	0	Stand2	Stand2	0.1
Mb1LostwomenMd010001	0	Standchange	Stand1	0.1
Mb1LostwomenMd010001	0	Standchange	Run	0.1
Mb1LostwomenMd010001	0	Standchange	Walk	0.1
Mb1LostwomenMd010001	0	Run	Stop	0.2
Mb1LostwomenMd010001	0	Run	Stand2	0.2
Mb1LostwomenMd010001	0	Run	Runb	0.2
Mb1LostwomenMd010001	0	Run	Runl	0.2
Mb1LostwomenMd010001	0	Run	Runr	0.2
Mb1LostwomenMd010001	0	Walk	Stand2	0.1
Mb1LostwomenMd010001	0	Runb	Stand2	0.2
Mb1LostwomenMd010001	0	Runb	Run	0.2
Mb1LostwomenMd010001	0	Runb	Runl	0.2
Mb1LostwomenMd010001	0	Runb	Runr	0.2
Mb1LostwomenMd010001	0	Runl	Stand2	0.2
Mb1LostwomenMd010001	0	Runl	Run	0.2
Mb1LostwomenMd010001	0	Runl	Runb	0.2
Mb1LostwomenMd010001	0	Runl	Runr	0.2
Mb1LostwomenMd010001	0	Runr	Stand2	0.2
Mb1LostwomenMd010001	0	Runr	Run	0.2
Mb1LostwomenMd010001	0	Runr	Runb	0.2
Mb1LostwomenMd010001	0	Runr	Runl	0.2
Mb1LostwomenMd010001	0	Walkb	Stand2	0.1
Mb1LostwomenMd010001	0	Walkb	Walk	0.2
Mb1LostwomenMd010001	0	Walkb	Walkl	0.1
Mb1LostwomenMd010001	0	Walkb	Walkr	0.1
Mb1LostwomenMd010001	0	Walkl	Stand2	0.1
Mb1LostwomenMd010001	0	Walkl	Walk	0.1
Mb1LostwomenMd010001	0	Walkl	Walkb	0.1
Mb1LostwomenMd010001	0	Walkl	Walkr	0.2
Mb1LostwomenMd010001	0	Walkr	Stand2	0.1
Mb1LostwomenMd010001	0	Walkr	Walk	0.1
Mb1LostwomenMd010001	0	Walkr	Walkb	0.1
Mb1LostwomenMd010001	0	Walkr	Walkl	0.2
Mb1LostwomenMd010001	0	TurnLeft	Stand2	0.1
Mb1LostwomenMd010001	0	TurnRight	Stand2	0.1
Mb1LostwomenMd010001	0	RunStart	Run	0.1
Mb1LostwomenMd010001	0	RunStart	RunStartEnd01	0.1
Mb1LostwomenMd010001	0	Hit1	Stand2	0
Mb1LostwomenMd010001	0	Hit2	Stand2	0
Mb1LostwomenMd010001	0	Hit3	Stand2	0
Mb1LostwomenMd010001	0	Hit4	Stand2	0
Mb1LostwomenMd010001	0	Behitfly	Hoverhit	0.1
Mb1LostwomenMd010001	0	Behitfly	Falldown	0.1
Mb1LostwomenMd010001	0	Hoverhit	Falldown	0.1
Mb1LostwomenMd010001	0	Falldown	Lieonfloor	0.1
Mb1LostwomenMd010001	0	Hitdown	Lieonfloor	0.1
Mb1LostwomenMd010001	0	Standup	Stand2	0.1
Mb1LostwomenMd010001	0	Straight	Stand2	0.1
Mb1LostwomenMd010001	0	Stun	Stand2	0.1
Mb1LostwomenMd010001	0	Win	Win2	0.1
Mb1LostwomenMd010001	0	Stop	Stand2	0.1
Mb1LostwomenMd010001	0	Caught	Stand2	0.1
Mb1LostwomenMd010001	1		Born	0
Mb1LostwomenMd010001	1		Stand1	0.1
Mb1LostwomenMd010001	1		Stand2	0.1
Mb1LostwomenMd010001	1		Stand3	0.1
Mb1LostwomenMd010001	1		Death	0.1
Mb1LostwomenMd010001	1		Standchange	0.1
Mb1LostwomenMd010001	1		Run	0.1
Mb1LostwomenMd010001	1		Walk	0.1
Mb1LostwomenMd010001	1		Runb	0.2
Mb1LostwomenMd010001	1		Runl	0.2
Mb1LostwomenMd010001	1		Runr	0.2
Mb1LostwomenMd010001	1		Walkb	0.1
Mb1LostwomenMd010001	1		Walkl	0.1
Mb1LostwomenMd010001	1		Walkr	0.1
Mb1LostwomenMd010001	1		TurnLeft	0.1
Mb1LostwomenMd010001	1		TurnRight	0.1
Mb1LostwomenMd010001	1		Move1	0.1
Mb1LostwomenMd010001	1		Move2	0.1
Mb1LostwomenMd010001	1		Move3	0.1
Mb1LostwomenMd010001	1		RunStart	0.1
Mb1LostwomenMd010001	1		RunStartEnd01	0.1
Mb1LostwomenMd010001	1		Hit1	0.05
Mb1LostwomenMd010001	1		Hit2	0.05
Mb1LostwomenMd010001	1		Hit3	0.05
Mb1LostwomenMd010001	1		Hit4	0.05
Mb1LostwomenMd010001	1		Behitfly	0.05
Mb1LostwomenMd010001	1		Hoverhit	0.05
Mb1LostwomenMd010001	1		Falldown	0.1
Mb1LostwomenMd010001	1		Hitdown	0.05
Mb1LostwomenMd010001	1		Lieonfloor	0.1
Mb1LostwomenMd010001	1		Standup	0.1
Mb1LostwomenMd010001	1		Straight	0.1
Mb1LostwomenMd010001	1		Stun	0.1
Mb1LostwomenMd010001	1		StraightBefore	0.1
