Role	State	Target	TransitionDuration
R3LifuMd019221		Born	0
R3LifuMd019221		Stand2	0.1
R3LifuMd019221		Stand1	0.1
R3LifuMd019221		Stand3	0.1
R3LifuMd019221		Standchange	0.1
R3LifuMd019221		Run	0.1
R3LifuMd019221		Walk	0.1
R3LifuMd019221		Death	0.1
R3LifuMd019221		Hit1	0.05
R3LifuMd019221		Hit2	0.05
R3LifuMd019221		Behitfly	0.05
R3LifuMd019221		Hoverhit	0.05
R3LifuMd019221		Falldown	0.1
R3LifuMd019221		Hitdown	0.1
R3LifuMd019221		Lieonfloor	0.1
R3LifuMd019221		Standup	0.1
R3LifuMd019221		Straight	0.1
R3LifuMd019221		Stun	0.1
R3LifuMd019221		TurnLeft	0.1
R3LifuMd019221		TurnRight	0.1
R3LifuMd019221		StraightBefore	0.1
R3LifuMd019221		StraightAfter	0.1
R3LifuMd019221		UiStand1	0.1
R3LifuMd019221		Win	0
R3LifuMd019221		Win2	0.1
R3LifuMd019221		Runb	0.2
R3LifuMd019221		Runl	0.2
R3LifuMd019221		Runr	0.2
R3LifuMd019221		Stop	0.1
R3LifuMd019221		Walkb	0.1
R3LifuMd019221		Walkl	0.1
R3LifuMd019221		Walkr	0.1
R3LifuMd019221		Fail	0.1
R3LifuMd019221		Save	0.1
R3LifuMd019221		Hit3	0.05
R3LifuMd019221		Hit4	0.05
R3LifuMd019221		RunStart	0.1
R3LifuMd019221		RunStartEnd01	0.1
R3LifuMd019221		Attack01	0.1
R3LifuMd019221		Attack02	0.1
R3LifuMd019221		Attack03	0.1
R3LifuMd019221		Attack04	0.1
R3LifuMd019221		Attack11	0.1
R3LifuMd019221		Attack21	0.1
R3LifuMd019221		Attack31	0.1
R3LifuMd019221		Attack51	0.1
R3LifuMd019221		Move1	0.1
R3LifuMd019221		Move2	0.1
R3LifuMd019221		Move3	0.1
R3LifuMd019221		AttackQte	0
R3LifuMd019221	Stand2	Standchange	0.1
R3LifuMd019221	Stand2	Run	0.2
R3LifuMd019221	Stand2	Walk	0.3
R3LifuMd019221	Stand2	Walkb	0.3
R3LifuMd019221	Stand2	Walkl	0.3
R3LifuMd019221	Stand2	Walkr	0.3
R3LifuMd019221	Stand1	Run	0.2
R3LifuMd019221	Stand1	Walk	0.1
R3LifuMd019221	Standchange	Stand1	0.1
R3LifuMd019221	Standchange	Run	0.1
R3LifuMd019221	Standchange	Walk	0.1
R3LifuMd019221	Run	Stop	0.2
R3LifuMd019221	Run	Stand2	0.2
R3LifuMd019221	Run	Runb	0.2
R3LifuMd019221	Run	Runl	0.2
R3LifuMd019221	Run	Runr	0.2
R3LifuMd019221	Walk	Stand2	0.1
R3LifuMd019221	Hit1	Stand2	0
R3LifuMd019221	Hit2	Stand2	0
R3LifuMd019221	Behitfly	Hoverhit	0.1
R3LifuMd019221	Behitfly	Falldown	0.1
R3LifuMd019221	Hoverhit	Falldown	0.1
R3LifuMd019221	Falldown	Lieonfloor	0.1
R3LifuMd019221	Hitdown	Lieonfloor	0.1
R3LifuMd019221	Standup	Stand2	0.1
R3LifuMd019221	Straight	Stand2	0.1
R3LifuMd019221	Stun	Stand2	0.1
R3LifuMd019221	TurnLeft	Stand2	0.1
R3LifuMd019221	TurnRight	Stand2	0.1
R3LifuMd019221	Win	Win2	0.1
R3LifuMd019221	Runb	Stand2	0.2
R3LifuMd019221	Runb	Run	0.2
R3LifuMd019221	Runb	Runl	0.2
R3LifuMd019221	Runb	Runr	0.2
R3LifuMd019221	Runl	Stand2	0.2
R3LifuMd019221	Runl	Run	0.2
R3LifuMd019221	Runl	Runb	0.2
R3LifuMd019221	Runl	Runr	0.2
R3LifuMd019221	Runr	Stand2	0.2
R3LifuMd019221	Runr	Run	0.2
R3LifuMd019221	Runr	Runb	0.2
R3LifuMd019221	Runr	Runl	0.2
R3LifuMd019221	Stop	Stand2	0.1
R3LifuMd019221	Walkb	Stand2	0.1
R3LifuMd019221	Walkb	Walk	0.2
R3LifuMd019221	Walkb	Walkl	0.1
R3LifuMd019221	Walkb	Walkr	0.1
R3LifuMd019221	Walkl	Stand2	0.1
R3LifuMd019221	Walkl	Walk	0.1
R3LifuMd019221	Walkl	Walkb	0.1
R3LifuMd019221	Walkl	Walkr	0.2
R3LifuMd019221	Walkr	Stand2	0.1
R3LifuMd019221	Walkr	Walk	0.1
R3LifuMd019221	Walkr	Walkb	0.1
R3LifuMd019221	Walkr	Walkl	0.2
R3LifuMd019221	Hit3	Stand2	0
R3LifuMd019221	Hit4	Stand2	0
R3LifuMd019221	RunStart	Run	0
R3LifuMd019221	RunStart	RunStartEnd01	0.1
