Role	Layer	State	Target	TransitionDuration
R4LuxiyaMd010011	0		Born	0
R4LuxiyaMd010011	0		Stand1	0.1
R4LuxiyaMd010011	0		Stand2	0.1
R4LuxiyaMd010011	0		Stand3	0.1
R4LuxiyaMd010011	0		Death	0.1
R4LuxiyaMd010011	0		Standchange	0.1
R4LuxiyaMd010011	0		Run	0.1
R4LuxiyaMd010011	0		Walk	0.1
R4LuxiyaMd010011	0		Runb	0.2
R4LuxiyaMd010011	0		Runl	0.2
R4LuxiyaMd010011	0		Runr	0.2
R4LuxiyaMd010011	0		Walkb	0.1
R4LuxiyaMd010011	0		Walkl	0.1
R4LuxiyaMd010011	0		Walkr	0.1
R4LuxiyaMd010011	0		TurnLeft	0.1
R4LuxiyaMd010011	0		TurnRight	0.1
R4LuxiyaMd010011	0		Move1	0.1
R4LuxiyaMd010011	0		Move2	0.1
R4LuxiyaMd010011	0		Move3	0.1
R4LuxiyaMd010011	0		RunStart	0.1
R4LuxiyaMd010011	0		RunStartEnd01	0.1
R4LuxiyaMd010011	0		Hit1	0.05
R4LuxiyaMd010011	0		Hit2	0.05
R4LuxiyaMd010011	0		Hit3	0.05
R4LuxiyaMd010011	0		Hit4	0.05
R4LuxiyaMd010011	0		Behitfly	0.05
R4LuxiyaMd010011	0		Hoverhit	0.05
R4LuxiyaMd010011	0		Falldown	0.1
R4LuxiyaMd010011	0		Hitdown	0.05
R4LuxiyaMd010011	0		Lieonfloor	0.1
R4LuxiyaMd010011	0		Standup	0.1
R4LuxiyaMd010011	0		Straight	0.1
R4LuxiyaMd010011	0		Stun	0.1
R4LuxiyaMd010011	0		StraightBefore	0.1
R4LuxiyaMd010011	0		StraightAfter	0.1
R4LuxiyaMd010011	0		Win	0
R4LuxiyaMd010011	0		Win2	0.1
R4LuxiyaMd010011	0		Stop	0.1
R4LuxiyaMd010011	0		Fail	0.1
R4LuxiyaMd010011	0		Save	0.1
R4LuxiyaMd010011	0		AttackQte	0
R4LuxiyaMd010011	0		Caught	0.1
R4LuxiyaMd010011	0		Squatdown	0.1
R4LuxiyaMd010011	0		Squatup	0.1
R4LuxiyaMd010011	0		Squat	0.1
R4LuxiyaMd010011	0		Squatrun	0.1
R4LuxiyaMd010011	0		Squatrunstart	0.1
R4LuxiyaMd010011	0		Squatrunstop	0.1
R4LuxiyaMd010011	0		RunStartEnd02	0.1
R4LuxiyaMd010011	0		StopR	0.1
R4LuxiyaMd010011	0		Attack01	0.1
R4LuxiyaMd010011	0		Attack02	0.1
R4LuxiyaMd010011	0		Attack03	0.1
R4LuxiyaMd010011	0		Attack04	0.1
R4LuxiyaMd010011	0		Attack05	0.1
R4LuxiyaMd010011	0		Attack10	0.1
R4LuxiyaMd010011	0		Attack11	0.1
R4LuxiyaMd010011	0		Attack21	0.1
R4LuxiyaMd010011	0		Attack31	0.1
R4LuxiyaMd010011	0		Attack51	0.1
R4LuxiyaMd010011	0		Attack52	0.1
R4LuxiyaMd010011	0		Attack53	0.1
R4LuxiyaMd010011	0		Attack55	0.1
R4LuxiyaMd010011	0		Attack56	0.1
R4LuxiyaMd010011	0		Attack57	0.1
R4LuxiyaMd010011	0		Attack58	0.1
