Role	State	Target	TransitionDuration
S02307_jiuhuche_Ani	AnyState	Born	0
S02307_jiuhuche_Ani	AnyState	Stand2	0.1
S02307_jiuhuche_Ani	AnyState	Stand1	0.1
S02307_jiuhuche_Ani	AnyState	Stand3	0.1
S02307_jiuhuche_Ani	AnyState	Standchange	0.1
S02307_jiuhuche_Ani	AnyState	Run	0.1
S02307_jiuhuche_Ani	AnyState	Walk	0.1
S02307_jiuhuche_Ani	AnyState	Death	0.1
S02307_jiuhuche_Ani	AnyState	Hit1	0.1
S02307_jiuhuche_Ani	AnyState	Hit2	0.1
S02307_jiuhuche_Ani	AnyState	Behitfly	0.1
S02307_jiuhuche_Ani	AnyState	Hoverhit	0.1
S02307_jiuhuche_Ani	AnyState	Falldown	0.1
S02307_jiuhuche_Ani	AnyState	Hitdown	0.1
S02307_jiuhuche_Ani	AnyState	Lieonfloor	0.1
S02307_jiuhuche_Ani	AnyState	Standup	0.1
S02307_jiuhuche_Ani	AnyState	Straight	0.1
S02307_jiuhuche_Ani	AnyState	Stun	0.1
S02307_jiuhuche_Ani	AnyState	TurnLeft	0.1
S02307_jiuhuche_Ani	AnyState	TurnRight	0.1
S02307_jiuhuche_Ani	AnyState	StraightBefore	0.1
S02307_jiuhuche_Ani	AnyState	StraightAfter	0.1
S02307_jiuhuche_Ani	AnyState	UiStand1	0.1
S02307_jiuhuche_Ani	AnyState	Win	0
S02307_jiuhuche_Ani	AnyState	Win2	0.1
S02307_jiuhuche_Ani	AnyState	Runb	0.2
S02307_jiuhuche_Ani	AnyState	Runl	0.2
S02307_jiuhuche_Ani	AnyState	Runr	0.2
S02307_jiuhuche_Ani	AnyState	Stop	0.1
S02307_jiuhuche_Ani	AnyState	Walkb	0.1
S02307_jiuhuche_Ani	AnyState	Walkl	0.1
S02307_jiuhuche_Ani	AnyState	Walkr	0.1
S02307_jiuhuche_Ani	AnyState	Fail	0.1
S02307_jiuhuche_Ani	AnyState	Save	0.1
S02307_jiuhuche_Ani	AnyState	Hit3	0.1
S02307_jiuhuche_Ani	AnyState	Hit4	0.1
S02307_jiuhuche_Ani	AnyState	RunStart	0.1
S02307_jiuhuche_Ani	AnyState	RunStartEnd01	0.1
S02307_jiuhuche_Ani	AnyState	Attack01	0.1
S02307_jiuhuche_Ani	AnyState	Attack02	0.1
S02307_jiuhuche_Ani	AnyState	Attack03	0.1
