Role	State	Target	TransitionDuration
S02103_TuicheAni	AnyState	Born	0
S02103_TuicheAni	AnyState	Stand2	0.1
S02103_TuicheAni	AnyState	Stand1	0.1
S02103_TuicheAni	AnyState	Stand3	0.1
S02103_TuicheAni	AnyState	Standchange	0.1
S02103_TuicheAni	AnyState	Run	0.1
S02103_TuicheAni	AnyState	Walk	0.1
S02103_TuicheAni	AnyState	Death	0.1
S02103_TuicheAni	AnyState	Hit1	0.1
S02103_TuicheAni	AnyState	Hit2	0.1
S02103_TuicheAni	AnyState	Behitfly	0.1
S02103_TuicheAni	AnyState	Hoverhit	0.1
S02103_TuicheAni	AnyState	Falldown	0.1
S02103_TuicheAni	AnyState	Hitdown	0.1
S02103_TuicheAni	AnyState	Lieonfloor	0.1
S02103_TuicheAni	AnyState	Standup	0.1
S02103_TuicheAni	AnyState	Straight	0.1
S02103_TuicheAni	AnyState	Stun	0.1
S02103_TuicheAni	AnyState	TurnLeft	0.1
S02103_TuicheAni	AnyState	TurnRight	0.1
S02103_TuicheAni	AnyState	StraightBefore	0.1
S02103_TuicheAni	AnyState	StraightAfter	0.1
S02103_TuicheAni	AnyState	UiStand1	0.1
S02103_TuicheAni	AnyState	Win	0
S02103_TuicheAni	AnyState	Win2	0.1
S02103_TuicheAni	AnyState	Runb	0.2
S02103_TuicheAni	AnyState	Runl	0.2
S02103_TuicheAni	AnyState	Runr	0.2
S02103_TuicheAni	AnyState	Stop	0.1
S02103_TuicheAni	AnyState	Walkb	0.1
S02103_TuicheAni	AnyState	Walkl	0.1
S02103_TuicheAni	AnyState	Walkr	0.1
S02103_TuicheAni	AnyState	Fail	0.1
S02103_TuicheAni	AnyState	Save	0.1
S02103_TuicheAni	AnyState	Hit3	0.1
S02103_TuicheAni	AnyState	Hit4	0.1
S02103_TuicheAni	AnyState	RunStart	0.1
S02103_TuicheAni	AnyState	RunStartEnd01	0.1
S02103_TuicheAni	AnyState	Attack01	0.1
S02103_TuicheAni	AnyState	Attack02	0.1
S02103_TuicheAni	AnyState	Attack03	0.1
S02103_TuicheAni	AnyState	Attack04	0.1
S02103_TuicheAni	AnyState	Move1	0.1
S02103_TuicheAni	AnyState	Move2	0.1
S02103_TuicheAni	AnyState	Move3	0.1
S02103_TuicheAni	Stand2	Standchange	0.1
S02103_TuicheAni	Stand2	Run	0.2
S02103_TuicheAni	Stand2	Walk	0.3
S02103_TuicheAni	Stand2	Walkb	0.3
S02103_TuicheAni	Stand2	Walkl	0.3
S02103_TuicheAni	Stand2	Walkr	0.3
S02103_TuicheAni	Stand1	Run	0.2
S02103_TuicheAni	Stand1	Walk	0.1
S02103_TuicheAni	Standchange	Stand1	0.1
S02103_TuicheAni	Standchange	Run	0.1
S02103_TuicheAni	Standchange	Walk	0.1
S02103_TuicheAni	Run	Stop	0.2
S02103_TuicheAni	Run	Stand2	0.2
S02103_TuicheAni	Run	Runb	0.2
S02103_TuicheAni	Run	Runl	0.2
S02103_TuicheAni	Run	Runr	0.2
S02103_TuicheAni	Walk	Stand2	0.1
S02103_TuicheAni	Hit1	Stand2	0
S02103_TuicheAni	Hit2	Stand2	0
S02103_TuicheAni	Behitfly	Hoverhit	0.1
S02103_TuicheAni	Behitfly	Falldown	0.1
S02103_TuicheAni	Hoverhit	Falldown	0.1
S02103_TuicheAni	Falldown	Lieonfloor	0.1
S02103_TuicheAni	Hitdown	Lieonfloor	0.1
S02103_TuicheAni	Standup	Stand2	0.1
S02103_TuicheAni	Straight	Stand2	0.1
S02103_TuicheAni	Stun	Stand2	0.1
S02103_TuicheAni	TurnLeft	Stand2	0.1
S02103_TuicheAni	TurnRight	Stand2	0.1
S02103_TuicheAni	Win	Win2	0.1
S02103_TuicheAni	Runb	Stand2	0.2
S02103_TuicheAni	Runb	Run	0.2
S02103_TuicheAni	Runb	Runl	0.2
S02103_TuicheAni	Runb	Runr	0.2
S02103_TuicheAni	Runl	Stand2	0.2
S02103_TuicheAni	Runl	Run	0.2
S02103_TuicheAni	Runl	Runb	0.2
S02103_TuicheAni	Runl	Runr	0.2
S02103_TuicheAni	Runr	Stand2	0.2
S02103_TuicheAni	Runr	Run	0.2
S02103_TuicheAni	Runr	Runb	0.2
S02103_TuicheAni	Runr	Runl	0.2
S02103_TuicheAni	Stop	Stand2	0.1
S02103_TuicheAni	Walkb	Stand2	0.1
S02103_TuicheAni	Walkb	Walk	0.2
S02103_TuicheAni	Walkb	Walkl	0.1
S02103_TuicheAni	Walkb	Walkr	0.1
S02103_TuicheAni	Walkl	Stand2	0.1
S02103_TuicheAni	Walkl	Walk	0.1
S02103_TuicheAni	Walkl	Walkb	0.1
S02103_TuicheAni	Walkl	Walkr	0.2
S02103_TuicheAni	Walkr	Stand2	0.1
S02103_TuicheAni	Walkr	Walk	0.1
S02103_TuicheAni	Walkr	Walkb	0.1
S02103_TuicheAni	Walkr	Walkl	0.2
S02103_TuicheAni	Hit3	Stand2	0
S02103_TuicheAni	Hit4	Stand2	0
S02103_TuicheAni	RunStart	Run	0
S02103_TuicheAni	RunStart	RunStartEnd01	0.1
