Id	TemplateId	Count	Params[0]	Params[1]	Params[2]
500000	200	24			
500010	200	21			
500020	200	18			
500030	200	15			
500040	200	12			
510000	200	36			
510010	200	31			
510020	200	27			
510030	200	22			
510040	200	18			
520000	200	48			
520010	200	42			
520020	200	36			
520030	200	30			
520040	200	24			
560000	200	56			
560010	200	50			
560020	200	44			
560030	200	38			
560040	200	32			
500001	1	20000			
500011	1	16000			
500021	1	12000			
500031	1	8000			
500041	1	4000			
510001	1	20000			
510011	1	16000			
510021	1	12000			
510031	1	8000			
510041	1	4000			
520001	1	20000			
520011	1	16000			
520021	1	12000			
520031	1	8000			
520041	1	4000			
560001	70001	96			
560011	70001	84			
560021	70001	72			
560031	70001	60			
560041	70001	48			
560002	17050113	1			
560012	17050114	1			
560022	17050115	1			
530000	3	50			
530010	3	50			
530020	3	50			
530030	3	50			
530040	3	50			
540000	3	50			
540010	3	50			
540020	3	50			
540030	3	50			
540040	3	50			
550000	3	50			
550010	3	50			
550020	3	50			
550030	3	50			
550040	3	50			
530001	12	1			
530011	1	10000			
530021	12	2			
530031	1	20000			
530041	12	3			
540001	12	1			
540011	1	10000			
540021	12	2			
540031	1	20000			
540041	12	3			
550001	12	1			
550011	1	10000			
550021	12	2			
550031	1	20000			
550041	12	3			
600000	17050101	1			
600010	17050104	2			
600020	17050104	2			
600030	17050104	1			
600040	17050101	1			
600050	17050107	2			
600060	17050107	2			
600070	17050107	1			
600080	17050101	1			
600090	17050110	2			
600100	17050110	2			
600110	17050110	1			
200000	100	20			
200010	100	40			
200020	100	60			
200030	100	90			
200040	100	120			
200050	100	160			
200060	100	200			
200070	100	20			
200080	100	40			
200090	100	60			
200100	100	90			
200110	100	120			
200120	100	160			
200130	100	200			
200001	90108	1			
200011	90108	1			
200021	90108	1			
200031	90108	2			
200041	90108	2			
200051	90108	2			
200061	90108	3			
200071	90108	1			
200081	90108	1			
200091	90108	1			
200101	90108	2			
200111	90108	2			
200121	90108	2			
200131	90108	3			
200002	1	30000			
200012	1	45000			
200022	1	60000			
200032	1	75000			
200042	1	90000			
200052	1	105000			
200062	1	120000			
200072	1	30000			
200082	1	45000			
200092	1	60000			
200102	1	75000			
200112	1	90000			
200122	1	105000			
200132	1	120000			
999	7	99999			
998	12	999			
30000	1	10000			
30001	1	20000			
30002	1	30000			
30003	1	40000			
30004	11000015	1			
30005	11000014	1			
30006	11000013	1			
30007	11000012	1			
30008	11000011	1			
900000	1	500000			
900001	30013	6			
900002	2994001	10	1	0	
900003	3924001	10	1	0	
900010	2	60			
900020	32	6			
900030	4	30			
900031	1	20000			
900032	2994001	10	1	0	
900040	4	30			
900041	1	20000			
900042	3924001	10	1	0	
900050	50000	250			
900051	90031	1			
900052	90032	1			
900053	1	100000			
900520	90031	1			
900521	1	30000			
900530	50007	250			
900540	50009	250			
900550	50009	250			
900551	30113	3			
900552	40301	5			
900560	3	100			
900561	90030	2			
900562	40301	20			
900570	50005	50			
900571	90030	1			
900572	1	50000			
900580	50005	125			
900581	90030	2			
900582	1	100000			
900590	50005	50			
900591	90030	1			
900592	1	50000			
900600	50005	125			
900601	90030	2			
900602	1	100000			
900610	50005	250			
900620	50005	50			
900621	90030	2			
900630	50003	100			
900631	96004	1			
900640	90030	2			
900641	31204	5			
900642	1	110000			
900650	50005	250			
900660	3	75			
900661	90030	1			
900662	1	50000			
900670	50005	250			
900680	50005	50			
900681	50003	50			
900690	3	750			
900700	50005	250			
900710	50005	250			
900711	90030	2			
900712	1	100000			
900720	50005	50			
900721	50003	50			
900730	50005	250			
900740	3	750			
900750	50005	250			
900751	90030	2			
900752	1	100000			
900760	50005	250			
900761	90030	2			
900770	50005	250			
900771	90030	2			
900780	3	100			
900781	90030	2			
900790	50005	250			
3702000	1	100000			
3702010	1	80000			
3702020	1	60000			
3702030	1	40000			
3702040	1	20000			
3702001	70001	48			
3702011	70001	45			
3702021	70001	42			
3702031	70001	39			
3702041	70001	36			
3702002	70002	8			
3702012	70002	7			
3702022	70002	7			
3702032	70002	6			
3702042	70002	6			
3702003	13005202	1			
3702013	13005201	1			
3702023	13005200	1			
4010001	40693	1			
4010002	40693	1			
4010003	40693	1			
4010004	40693	1			
4010005	40693	1			
4010006	40693	1			
4010007	40693	2			
4010008	40693	2			
4010009	40693	2			
4010010	40693	2			
4010011	40693	2			
4010012	40693	2			
4010013	40693	3			
4010014	40693	3			
4010015	40693	3			
4010016	40693	3			
4010017	40693	3			
4010018	40693	3			
4010019	40693	4			
4010020	40693	4			
4010021	40693	4			
4010022	40693	4			
4010023	40693	4			
4010024	40693	4			
4010025	40693	5			
4010026	40693	5			
4010027	40693	5			
4010028	40693	5			
4010029	40693	5			
