Id	ClassId	TalentType	Level	NextLevel	IsHighLevel	Icon
1	1	1	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png
2	1	1	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png
3	1	1	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png
4	1	1	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png
5	1	1	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png
6	1	1	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon1.png
7	1	2	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png
8	1	2	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png
9	1	2	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png
10	1	2	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png
11	1	2	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png
12	1	2	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerNewBookIcon6.png
13	1	3	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png
14	1	3	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png
15	1	3	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png
16	1	3	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png
17	1	3	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png
18	1	3	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png
19	1	4	0	1	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType3.png
20	1	4	1	2	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType3.png
21	1	4	2	3	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType3.png
22	1	4	3		1	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType3.png
23	2	1	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10031.png
24	2	1	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10031.png
25	2	1	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10031.png
26	2	1	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10031.png
27	2	1	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10031.png
28	2	1	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10031.png
29	2	2	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png
30	2	2	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png
31	2	2	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png
32	2	2	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png
33	2	2	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png
34	2	2	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png
35	2	3	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
36	2	3	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
37	2	3	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
38	2	3	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
39	2	3	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
40	2	3	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png
41	2	4	0	1	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType1.png
42	2	4	1	2	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType1.png
43	2	4	2	3	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType1.png
44	2	4	3		1	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType1.png
45	3	1	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png
46	3	1	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png
47	3	1	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png
48	3	1	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png
49	3	1	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png
50	3	1	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png
51	3	2	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png
52	3	2	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png
53	3	2	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png
54	3	2	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png
55	3	2	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png
56	3	2	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21051.png
57	3	3	0	1	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png
58	3	3	1	2	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png
59	3	3	2	3	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png
60	3	3	3	4	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png
61	3	3	4	5	0	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png
62	3	3	5		1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png
63	3	4	0	1	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType2.png
64	3	4	1	2	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType2.png
65	3	4	2	3	0	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType2.png
66	3	4	3		1	Assets/Product/Texture/Image/UiMultiDim/UiMultiDimIconType2.png
