Id	Type	Name	Description	BgPath	PracticeContentPrefab	PracticeGridPrefab	SubTag
1	1	Basic Battle	Can learn the basic combat controls.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg01B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesBasics.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle.prefab	
2	2	Advanced Battle	Advanced Battle Info	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesAdvanced.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeSquare.prefab	
3	3	Member Battle					
4	3	S-Rank Omniframe	Learn the basic control of each character. Uniframes are only unlocked after Lv.52.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
5	3	A/B-Rank Omniframe	Learn the basic control of each character. Uniframes are only unlocked after Lv.52.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
6	3	Uniframe	Learn the basic control of each character. Uniframes are only unlocked after Lv.52.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
7	3	Collab Frame	Learn the basic control of each character. Uniframes are only unlocked after Lv.52.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg03B.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/FubenPracticeStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagePracticeRectangle2.prefab	3
8	4	Simulated Trial					
9	4	Boss	1. Each stage can be challenged repeatedly with customizable difficulty levels.\n2. Only enemies that have already been unlocked in the Enemy Codex can be challenged.	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingBoss.prefab	8
10	4	Elite	1. Each stage can be challenged repeatedly with customizable difficulty levels.\n2. Only enemies that have already been unlocked in the Enemy Codex can be challenged.	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingInfernalMobs.prefab	8
11	4	Boss (Uniframe)	1. Each stage can be challenged repeatedly with customizable difficulty levels.\n2. Only enemies that have already been unlocked in the Enemy Codex can be challenged.	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingBoss.prefab	8
12	4	Elite (Uniframe)	1. Each stage can be challenged repeatedly with customizable difficulty levels.\n2. Only enemies that have already been unlocked in the Enemy Codex can be challenged.	Assets/Product/Texture/Image/UiLivRealisticTraining/UiLivRealisticTrainingBg.png	Assets/Product/Ui/ComponentPrefab/FubenPracticeStages/UiLivRealisticTrainingStagesCharacter.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageRealisticTrainingInfernalMobs.prefab	8
