StageId	Title	Description	Icon	PhaseDescription
30100101	Dodge Training	Basic Battle Info	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Dodge Tutorial
30100102	Advanced Battle	Advanced Battle Info	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	
30100103	Omniframe Battle	Omniframe Battle Info	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	
30100801	Lotus - Dual Blades	Pinging a Red Orb within 4 seconds after any 3-Ping will make Lucia Burst. Lucia then replaces Basic Attacks with Dual Blades.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1luxiya01.png	Construct Tutorial
30100802	Laser Cluster	After any 3-Ping, the next Red Orb skill carries out laser beams.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Lifu01.png	Construct Tutorial
30100803	EX - Slash Storm	When pinging a Yellow Orb after a 3-Ping, Nanami will use EX - Slash Storm and launch 8 consecutive attacks at nearby targets, dealing a certain amount of Physical DMG per attack.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR1Qishi01.png	Construct Tutorial
30100804	Controlling Bullet	After pinging a Yellow Orb, the next Red Orb bullet will inflict Blast. Blast: Bullet explodes after hitting the target, dealing * Fire DMG to enemies in the area	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Li01.png	Construct Tutorial
30100805	Burst Mode	Core Passive: Karenina will Burst after 3 times of 3-Ping. The next Basic Attack will turn into a ranged artillery attack for 3 seconds and deals * Physical DMG per shot.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Kalie01.png	Construct Tutorial
30100806	Quiver Of Mercy	Core Passive: 1 energy arrow will be stored in the quiver after a 3-Ping. The quiver can store up to 3 arrows. All arrows will be released when performing the next Signature Move and each arrow deals a certain amount of Physical DMG.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Bianka02.png	Construct Tutorial
30100807	Fleeting Phantom	Enemies will be marked when hit by the last hit of a 3-Ping skill. If a marked enemy is hit by the last hit of a 3-Ping skill, 5 energy clones will be generated for 5 seconds. Clones will attack once with each Basic Attack. Each clone attack deals a certain amount of Physical DMG.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Dubian01.png	Construct Tutorial
30100808	Offence-Defense Rhythm	Counterattacks and unleashes sword waves after a successful block, dealing Physical DMG to the enemy.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Shenwei02.png	Construct Tutorial
30100809	Lotus - Dance of Lightning	Lightning Lure: When launching a lightning attack at an enemy marked by Lucia, it has a chance to summon lightning bolts that deal Lightning DMG to the target.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Luxiya01.png	Construct Tutorial
30100810	Reversed Egretfield	Hitting a marked enemy with Basic Attacks has a chance to trigger Lightning Lure that deals Lightning DMG. Red Orb has 30%, 60% and 100% of chance to trigger Lightning Lure. When triggered for the 5th time, the next Lightning Lure will carry out Ex - Lightning Lure, dealing Lightning DMG to enemies and healing allies in the area.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR2Lifu01.png	Construct Tutorial
30100811	Fighting Will	Perform a 3-Ping for 10 Energy. Gains increased Physical and Dark Resistance when in Dark Form.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Shenwei01.png	Construct Tutorial
30100812	Goddess Connection System	Hitting a marked enemy has a 20% chance to trigger Light Penalty that deals Physical DMG. After a 3-Ping or triggering 5 times of Light Penalty, heals nearby allies for a certain amount of HP.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Lifu02.png	Construct Tutorial
30100813	Space Lord	Core Passive: After a 3-Ping, pinging the next Red Orb will carry out consecutive shots that deals * Physical DMG per shot.	Assets/Product/Texture/Image/UiFightTips/UiFightTipsJiaoxueR3Li01.png	Construct Tutorial
