Id	EventId[1]	EventId[2]	EventId[3]	EventId[4]
30180261	70001	70041		
30180262	70002	70042		
30180263	70003	70043		
30180264	70004	70044		
30180265	70005	70045		
30180266	70013	70053		
30180267	70007	70047		
30180268	70008	70048		
30180231	70008	70048		
30180232	70010	70050		
30180233	70011	70051		
30180234	70012	70052		
30180235	70036	70076		
30180236	70030	70070		
30180237	70015	70055		
30180238	70016	70056		
30180241	70023	70063		
30180242	70003	70043		
30180243	70019	70059		
30180244	70020	70060		
30180245	70021	70061		
30180246	70022	70062		
30180247	70017	70057		
30180248	70024	70064		
30180251	70025	70065		
30180252	70026	70066		
30180253	70027	70067		
30180254	70028	70068		
30180255	70029	70069		
30180256	70030	70070		
30180257	70031	70071		
30180258	70032	70072		
30180221	70033	70073		
30180222	70011	70051		
30180223	70035	70075		
30180224	70036	70076		
30180225	70037	70077		
30180226	70003	70043		
30180227	70039	70079		
30180228	70040	70080		
