Id	LevelId	MinRank	MaxRank	MailId	RankIcon
1	1	0	0.01	17001	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo1.png
2	1	0.01	0.05	17002	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo2.png
3	1	0.05	0.1	17003	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo3.png
4	1	0.1	0.3	17004	
5	1	0.3	0.95	17005	
6	2	0	0.01	17001	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo1.png
7	2	0.01	0.05	17002	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo2.png
8	2	0.05	0.1	17003	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo3.png
9	2	0.1	0.3	17004	
10	2	0.3	0.95	17005	
11	3	0	0.01	17001	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo1.png
12	3	0.01	0.05	17002	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo2.png
13	3	0.05	0.1	17003	Assets/Product/Texture/Image/UiFubenChallengeMapBoss/BossSingleNo3.png
14	3	0.1	0.3	17004	
15	3	0.3	0.95	17005	
