Id	TimeId	BoxRewardId	KillBossCount	UnlockBossStageLimit	EventStageLimit	SingleFightTime	BaseRankNum	BossStage	TrialUseShare	BossId	BossTotalHp	TrialStage	EventStageId[1]	EventStageId[2]	EventStageId[3]	EventStageId[4]	EventStageId[5]	EventStageId[6]	EventStageId[7]	EventStageId[8]
1		370100	3	2	4	1800	10000	30180269	1	82151	1000	30180270	30180267	30180268	30180262	30180263	30180264	30180261	30180265	30180266
2		370100	3	2	4	1800	10000	30180269	1	82151	1000	30180270	30180267	30180268	30180262	30180263	30180264	30180261	30180265	30180266
3		370100	3	2	4	1800	10000	30180239	1	83101	1000	30180240	30180237	30180238	30180232	30180233	30180234	30180231	30180235	30180236
4		370100	3	2	4	1800	10000	30180239	0	83101	1000	30180240	30180237	30180238	30180232	30180233	30180234	30180231	30180235	30180236
5		370100	3	2	4	1800	10000	30180249	0	87311	1000	30180250	30180247	30180248	30180242	30180243	30180244	30180241	30180245	30180246
6		370100	3	2	4	1800	10000	30180249	0	87311	1000	30180250	30180247	30180248	30180242	30180243	30180244	30180241	30180245	30180246
7		370100	3	2	4	1800	10000	30180259	0	83521	1000	30180260	30180257	30180258	30180252	30180253	30180254	30180251	30180255	30180256
8		370100	3	2	4	1800	10000	30180259	0	83521	1000	30180260	30180257	30180258	30180252	30180253	30180254	30180251	30180255	30180256
9		370100	3	2	4	1800	10000	30180229	0	83601	1000	30180230	30180227	30180228	30180222	30180223	30180224	30180221	30180225	30180226
10		370100	3	2	4	1800	10000	30180229	0	83601	1000	30180230	30180227	30180228	30180222	30180223	30180224	30180221	30180225	30180226
