Id	PassportId	Level	RewardId	IsPrimeReward
1	1	1	811000	
2	1	2	811001	
3	1	3	811002	
4	1	4	811003	
5	1	5	811004	
6	1	6	811005	
7	1	7	811006	
8	1	8	811007	
9	1	9	811008	
10	1	10	811009	1
11	1	11	811010	
12	1	12	811011	
13	1	13	811012	
14	1	14	811013	
15	1	15	811014	
16	1	16	811015	
17	1	17	811016	
18	1	18	811017	
19	1	19	811018	
20	1	20	811019	1
21	1	21	811020	
22	1	22	811021	
23	1	23	811022	
24	1	24	811023	
25	1	25	811024	
26	1	26	811025	
27	1	27	811026	
28	1	28	811027	
29	1	29	811028	
30	1	30	811029	1
31	1	31	811030	
32	1	32	811031	
33	1	33	811032	
34	1	34	811033	
35	1	35	811034	
36	1	36	811035	
37	1	37	811036	
38	1	38	811037	
39	1	39	811038	
40	1	40	811039	1
41	1	41	811040	
42	1	42	811041	
43	1	43	811042	
44	1	44	811043	
45	1	45	811044	
46	1	46	811045	
47	1	47	811046	
48	1	48	811047	
49	1	49	811048	
50	1	50	811049	1
51	2	1	812000	
52	2	2	812001	
53	2	3	812002	
54	2	4	812003	
55	2	5	812004	
56	2	6	812005	
57	2	7	812006	
58	2	8	812007	
59	2	9	812008	
60	2	10	812009	1
61	2	11	812010	
62	2	12	812011	
63	2	13	812012	
64	2	14	812013	
65	2	15	812014	
66	2	16	812015	
67	2	17	812016	
68	2	18	812017	
69	2	19	812018	
70	2	20	812019	1
71	2	21	812020	
72	2	22	812021	
73	2	23	812022	
74	2	24	812023	
75	2	25	812024	
76	2	26	812025	
77	2	27	812026	
78	2	28	812027	
79	2	29	812028	
80	2	30	812029	1
81	2	31	812030	
82	2	32	812031	
83	2	33	812032	
84	2	34	812033	
85	2	35	812034	
86	2	36	812035	
87	2	37	812036	
88	2	38	812037	
89	2	39	812038	
90	2	40	812039	1
91	2	41	812040	
92	2	42	812041	
93	2	43	812042	
94	2	44	812043	
95	2	45	812044	
96	2	46	812045	
97	2	47	812046	
98	2	48	812047	
99	2	49	812048	
100	2	50	812049	1
101	3	1	813000	
102	3	2	813001	
103	3	3	813002	
104	3	4	813003	
105	3	5	813004	
106	3	6	813005	
107	3	7	813006	
108	3	8	813007	
109	3	9	813008	
110	3	10	813009	1
111	3	11	813010	
112	3	12	813011	
113	3	13	813012	
114	3	14	813013	
115	3	15	813014	
116	3	16	813015	
117	3	17	813016	
118	3	18	813017	
119	3	19	813018	
120	3	20	813019	1
121	3	21	813020	
122	3	22	813021	
123	3	23	813022	
124	3	24	813023	
125	3	25	813024	
126	3	26	813025	
127	3	27	813026	
128	3	28	813027	
129	3	29	813028	
130	3	30	813029	1
131	3	31	813030	
132	3	32	813031	
133	3	33	813032	
134	3	34	813033	
135	3	35	813034	
136	3	36	813035	
137	3	37	813036	
138	3	38	813037	
139	3	39	813038	
140	3	40	813039	1
141	3	41	813040	
142	3	42	813041	
143	3	43	813042	
144	3	44	813043	
145	3	45	813044	
146	3	46	813045	
147	3	47	813046	
148	3	48	813047	
149	3	49	813048	
150	3	50	813049	1
151	4	1	821000	
152	4	2	821001	
153	4	3	821002	
154	4	4	821003	
155	4	5	821004	
156	4	6	821005	
157	4	7	821006	
158	4	8	821007	
159	4	9	821008	
160	4	10	821009	1
161	4	11	821010	
162	4	12	821011	
163	4	13	821012	
164	4	14	821013	
165	4	15	821014	
166	4	16	821015	
167	4	17	821016	
168	4	18	821017	
169	4	19	821018	
170	4	20	821019	1
171	4	21	821020	
172	4	22	821021	
173	4	23	821022	
174	4	24	821023	
175	4	25	821024	
176	4	26	821025	
177	4	27	821026	
178	4	28	821027	
179	4	29	821028	
180	4	30	821029	1
181	4	31	821030	
182	4	32	821031	
183	4	33	821032	
184	4	34	821033	
185	4	35	821034	
186	4	36	821035	
187	4	37	821036	
188	4	38	821037	
189	4	39	821038	
190	4	40	821039	1
191	4	41	821040	
192	4	42	821041	
193	4	43	821042	
194	4	44	821043	
195	4	45	821044	
196	4	46	821045	
197	4	47	821046	
198	4	48	821047	
199	4	49	821048	
200	4	50	821049	1
201	5	1	822000	
202	5	2	822001	
203	5	3	822002	
204	5	4	822003	
205	5	5	822004	
206	5	6	822005	
207	5	7	822006	
208	5	8	822007	
209	5	9	822008	
210	5	10	822009	1
211	5	11	822010	
212	5	12	822011	
213	5	13	822012	
214	5	14	822013	
215	5	15	822014	
216	5	16	822015	
217	5	17	822016	
218	5	18	822017	
219	5	19	822018	
220	5	20	822019	1
221	5	21	822020	
222	5	22	822021	
223	5	23	822022	
224	5	24	822023	
225	5	25	822024	
226	5	26	822025	
227	5	27	822026	
228	5	28	822027	
229	5	29	822028	
230	5	30	822029	1
231	5	31	822030	
232	5	32	822031	
233	5	33	822032	
234	5	34	822033	
235	5	35	822034	
236	5	36	822035	
237	5	37	822036	
238	5	38	822037	
239	5	39	822038	
240	5	40	822039	1
241	5	41	822040	
242	5	42	822041	
243	5	43	822042	
244	5	44	822043	
245	5	45	822044	
246	5	46	822045	
247	5	47	822046	
248	5	48	822047	
249	5	49	822048	
250	5	50	822049	1
251	6	1	823000	
252	6	2	823001	
253	6	3	823002	
254	6	4	823003	
255	6	5	823004	
256	6	6	823005	
257	6	7	823006	
258	6	8	823007	
259	6	9	823008	
260	6	10	823009	1
261	6	11	823010	
262	6	12	823011	
263	6	13	823012	
264	6	14	823013	
265	6	15	823014	
266	6	16	823015	
267	6	17	823016	
268	6	18	823017	
269	6	19	823018	
270	6	20	823019	1
271	6	21	823020	
272	6	22	823021	
273	6	23	823022	
274	6	24	823023	
275	6	25	823024	
276	6	26	823025	
277	6	27	823026	
278	6	28	823027	
279	6	29	823028	
280	6	30	823029	1
281	6	31	823030	
282	6	32	823031	
283	6	33	823032	
284	6	34	823033	
285	6	35	823034	
286	6	36	823035	
287	6	37	823036	
288	6	38	823037	
289	6	39	823038	
290	6	40	823039	1
291	6	41	823040	
292	6	42	823041	
293	6	43	823042	
294	6	44	823043	
295	6	45	823044	
296	6	46	823045	
297	6	47	823046	
298	6	48	823047	
299	6	49	823048	
300	6	50	823049	1
301	7	1	821000	
302	7	2	821001	
303	7	3	821002	
304	7	4	821003	
305	7	5	821004	
306	7	6	821005	
307	7	7	821006	
308	7	8	831025	
309	7	9	831000	
310	7	10	821009	1
311	7	11	821010	
312	7	12	821011	
313	7	13	821012	
314	7	14	831030	
315	7	15	831031	
316	7	16	821015	
317	7	17	821016	
318	7	18	821017	
319	7	19	831026	
320	7	20	821019	1
321	7	21	821020	
322	7	22	821021	
323	7	23	821022	
324	7	24	821023	
325	7	25	821024	
326	7	26	821025	
327	7	27	821026	
328	7	28	831027	
329	7	29	831002	
330	7	30	821029	1
331	7	31	821030	
332	7	32	821031	
333	7	33	821032	
334	7	34	831032	
335	7	35	831033	
336	7	36	821035	
337	7	37	821036	
338	7	38	821037	
339	7	39	831028	
340	7	40	821039	1
341	7	41	821040	
342	7	42	821041	
343	7	43	821042	
344	7	44	821043	
345	7	45	821044	
346	7	46	821045	
347	7	47	821046	
348	7	48	831029	
349	7	49	831004	
350	7	50	821049	1
351	7	51	831005	
352	7	52	831006	
353	7	53	831007	
354	7	54	831008	
355	7	55	831009	
356	7	56	831010	
357	7	57	831011	
358	7	58	831012	
359	7	59	831013	
360	7	60	831014	
361	7	61	831015	
362	7	62	831016	
363	7	63	831017	
364	7	64	831018	
365	7	65	831019	
366	7	66	831020	
367	7	67	831021	
368	7	68	831022	
369	7	69	831023	
370	7	70	831024	
371	7	71		
372	7	72		
373	7	73		
374	7	74		
375	7	75		
376	7	76		
377	7	77		
378	7	78		
379	7	79		
380	7	80		
381	8	1	832030	
382	8	2	832031	
383	8	3	832032	
384	8	4	832033	
385	8	5	832034	
386	8	6	832035	
387	8	7	832036	
388	8	8	832037	
389	8	9	832038	
390	8	10	832039	1
391	8	11	832040	
392	8	12	832041	
393	8	13	832042	
394	8	14	832043	
395	8	15	832044	
396	8	16	832045	
397	8	17	832046	
398	8	18	832047	
399	8	19	832048	
400	8	20	832049	1
401	8	21	832050	
402	8	22	832051	
403	8	23	832052	
404	8	24	832053	
405	8	25	832054	
406	8	26	832055	
407	8	27	832056	
408	8	28	832057	
409	8	29	832058	
410	8	30	832059	1
411	8	31	832060	
412	8	32	832061	
413	8	33	832062	
414	8	34	832063	
415	8	35	832064	
416	8	36	832065	
417	8	37	832066	
418	8	38	832067	
419	8	39	832068	
420	8	40	832069	1
421	8	41	832070	
422	8	42	832071	
423	8	43	832072	
424	8	44	832073	
425	8	45	832074	
426	8	46	832075	
427	8	47	832076	
428	8	48	832077	
429	8	49	832078	
430	8	50	832079	1
431	8	51	832000	
432	8	52	832001	
