Id	Name	TimeId	DailyTaskGroup	WeekTaskGroup	BuyPassPortEarlyEndTime	ClientBuyPassPortEarlyEndTime	ComingToEndMailTime	ComingToEndMailId	BPTask[1]	BPTask[2]	BPTask[3]	BPTask[4]	BPTask[5]	BPTask[6]	BPTask[7]	BPTask[8]	BPTask[9]	BPTask[10]	BPTask[11]	BPTask[12]	BPTask[13]	BPTask[14]
1	Rusty Files		1	1	1200	86400	259200	63001	80010	80011	80013											
2	Everstar File		2	2	1200	86400	259200	63002	80024	80025	80026											
3	Theater File		3	3	1200	86400	259200	63003	80027	80028	80029	80030	80031	80032	80033	80034						
4	Whale Reverie File		4	4	1200	86400	259200	63004	80035	80036	80037											
5	Starlight File	7510	5	5	1200	86400	259200	63005	80040	80041	80042											
6	Iron Heart File	8510	6	6	1200	86400	259200	63006	80043	80044	80045											
7	Lunar Maria File	9901	7	7	1200	86400	259200	63007	80046	80047	80048											
8	Winterwilt Files	10810	8	8	1200	86400	259200	63008	80049	80050	80051	80052	80053	80054	80055							
9	The Sea Foam File	11010	9	9	1200	86400	259200	63009	80056	80057	80058											
10	The Hidden Thread File	12700	10	10	1200	86400	259200	63010	80059	80060	80061											
11	The Star Trail File	13910	11	11	1200	86400	259200	63011	80062	80063	80064											
12	The Prismatic Trace File	14910	12	12	1200	86400	259200	63012	80065	80066	80067											
