Id	Type	TimeId	Group	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]	TaskId[9]	TaskId[10]	TaskId[11]	TaskId[12]	TaskId[13]	TaskId[14]	TaskId[15]	TaskId[16]	TaskId[17]
1	1		1	80000	80001	80002														
2	2		1	80014	80015	80016														
3	2		1	80003	80004	80005	80006	80007	80008	80009										
4	2		1	80003	80004	80005	80006	80007	80008	80009										
5	2		1	80003	80004	80005	80006	80007	80008	80009										
6	2		1	80003	80004	80005	80006	80007	80008	80009										
7	2		1	80003	80004	80005	80006	80007	80008	80009										
8	2		1	80003	80004	80005	80006	80007	80008	80009										
9	2		1	80017	80018	80019	80020	80021	80022	80023										
10	1		2	80000	80001	80002														
11	2		2	80014	80015	80016	80018													
12	2		2	80003	80004	80005	80006	80007	80008	80009										
13	2		2	80003	80004	80005	80006	80007	80008	80009										
14	2		2	80003	80004	80005	80006	80007	80008	80009										
15	2		2	80003	80004	80005	80006	80007	80008	80009										
16	2		2	80003	80004	80005	80006	80007	80008	80009										
17	2		2	80017	80018	80019	80020	80021	80022	80023										
18	1		3	80000	80001	80002														
19	2		3	80014	80015	80016														
20	2		3	80003	80004	80005	80006	80007	80008	80009										
21	2		3	80003	80004	80005	80006	80007	80008	80009										
22	2		3	80003	80004	80005	80006	80007	80008	80009										
23	2		3	80003	80004	80005	80006	80007	80008	80009										
24	2		3	80017	80018	80019	80020	80021	80022	80023										
25	1		4	80000	80001	80002														
26	2		4	80003	80004	80005	80006	80007	80008	80009										
27	2		4	80003	80004	80005	80006	80007	80008	80009										
28	2		4	80003	80004	80005	80006	80007	80008	80009										
29	2		4	80003	80004	80005	80006	80007	80008	80009										
30	2		4	80003	80004	80005	80006	80007	80008	80009										
31	2		4	80003	80004	80005	80006	80007	80008	80009										
32	2		4	80017	80018	80019	80020	80021	80022	80023										
33	1		5	80000	80038	80039														
34	2		5	80017	80018	80021	80022	80023												
35	2		5	80003	80004	80005	80006	80007	80008	80009										
36	2		5	80003	80004	80005	80006	80007	80008	80009										
37	2		5	80003	80004	80005	80006	80007	80008	80009										
38	2		5	80003	80004	80005	80006	80007	80008	80009										
39	2		5	80003	80004	80005	80006	80007	80008	80009										
40	2		5	80017	80018	80019	80020	80021	80022	80023										
41	1		6	80000	80038	80039														
42	2		6	80021	80022	80023														
43	2		6	80003	80004	80005	80006	80007	80008	80009										
44	2		6	80003	80004	80005	80006	80007	80008	80009										
45	2		6	80003	80004	80005	80006	80007	80008	80009										
46	2		6	80003	80004	80005	80006	80007	80008	80009										
47	2		6	80003	80004	80005	80006	80007	80008	80009										
48	2		6	80017	80018	80019	80020	80021	80022	80023										
49	1	9901	7	80000	80038	80039														
50	2	9902	7	80014	80015	80016	80018													
51	2	9903	7	80003	80004	80005	80006	80007	80008	80009										
52	2	9904	7	80003	80004	80005	80006	80007	80008	80009										
53	2	9905	7	80003	80004	80005	80006	80007	80008	80009										
54	2	9906	7	80003	80004	80005	80006	80007	80008	80009										
55	2	9907	7	80003	80004	80005	80006	80007	80008	80009										
56	2	9908	7	80017	80018	80019	80020	80021	80022	80023										
57	1	10810	8	80000	80038	80039														
58	2	10811	8	80014	80015	80016	80017	80018												
59	2	10812	8	80003	80004	80005	80006	80007	80008	80009										
60	2	10813	8	80003	80004	80005	80006	80007	80008	80009										
61	2	10814	8	80003	80004	80005	80006	80007	80008	80009										
62	2	10815	8	80003	80004	80005	80006	80007	80008	80009										
63	2	10816	8	80014																
64	1	11010	9	80000	80038	80039														
65	2	11011	9	80007	80008	80017	80018													
66	2	11012	9	80003	80004	80005	80006	80007	80008	80009										
67	2	11013	9	80003	80004	80005	80006	80007	80008	80009										
68	2	11014	9	80003	80004	80005	80006	80007	80008	80009										
69	2	11015	9	80003	80004	80005	80006	80007	80008	80009										
70	2	11016	9	80003	80004	80005	80006	80007	80008	80009										
71	2	11017	9	80017	80018	80019	80020	80021	80022	80023										
72	1	12700	10	80000	80038	80039														
73	2	12701	10	80007	80014	80016	80018													
74	2	12702	10	80003	80004	80005	80006	80007	80008	80009										
75	2	12703	10	80003	80004	80005	80006	80007	80008	80009										
76	2	12704	10	80003	80004	80005	80006	80007	80008	80009										
77	2	12705	10	80003	80004	80005	80006	80007	80008	80009										
