Id	ActivityId	Name	CostItemId	CostItemCount	IsFree	RewardId	Icon	BuyDesc	PayKeySuffix
1	1	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	※ 6★ Memory Shard\n※ Character Training Material\n※ Equipment & CUB Enhancement Material	
2	1	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	※ Get <color=#0E70BD>CUB R&D Ticket ×2500</color> in total\n※ CUB Training Material\n※ Immediately get <color=#0E70BD>10</color> Rating Levels after\n    purchase	
3	1	Top-secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	    ※ Uniframe: Cello Blade Coating <color=#0E70BD>Moonlight Fantasia</color>\n  ※ Get <color=#0E70BD>Event Construct R&D Ticket ×2500</color>\n※ Immediately get <color=#0E70BD>10</color> rating levels after purchase	
4	2	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	    ※ 6★ Memory Shard\n  ※ Character Training Material\n※ Equipment & CUB Enhancement Material	
5	2	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	    ※ Get <color=#0E70BD>CUB R&D Ticket ×2500</color>\n  ※ CUB Overclock Material\n※ Immediately get <color=#0E70BD>10</color> rating levels after\npurchase	
6	2	Top-secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	    ※ Saw Coating <color=#0E70BD>Giggling Pumpkin</color>\n  ※ Get <color=#0E70BD>Event Construct R&D Ticket ×2500</color>\n※ Immediately get <color=#0E70BD>10</color> rating levels after\npurchase	
7	3	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	      ※ 6★ Memory Shard\n    ※ <color=#0E70BD>Trade Voucher</color>\n  ※ Equipment & CUB Enhancement Material	
8	3	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	      ※ Obtain <color=#0E70BD>CUB R&D Ticket x2500</color> in total\n    ※ CUB Overclock Material\n  ※ Massive <color=#0E70BD>Trade Vouchers</color>\n※ Immediately get <color=#0E70BD>10</color> rating levels after\n    purchase	
9	3	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	      ※ Greatsword Coating <color=#0E70BD>Oceanic Assault</color>\n    ※ Obtain <color=#0E70BD>Event Construct R&D Ticket x2500</color>\n        in total\n  ※ Massive <color=#0E70BD>Trade Vouchers</color>\n※ Immediately get <color=#0E70BD>10</color> rating levels after\n    purchase	
10	4	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	      ※ 6★ Memory Shard\n   ※ <color=#0E70BD>Trade Voucher</color>\n※ Equipment & CUB Enhancement Material	
11	4	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	       ※ Obtain <color=#0E70BD>CUB R&D Ticket x2500</color> in total\n    ※ CUB Overclock Material\n  ※ Massive <color=#0E70BD>Trade Vouchers</color>\n※ Immediately get <color=#0E70BD>10</color> rating levels after\npurchase	
12	4	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	            ※ Uniframe: Glaive Coating <color=#0E70BD>\n            Birth at Silent Night</color>\n       ※ Obtain <color=#0E70BD>Event Construct R&D Ticket\n       x2500</color> in total\n  ※ Massive <color=#0E70BD>Trade Vouchers</color>\n※ Immediately get <color=#0E70BD>10</color> rating levels after\npurchase	
13	5	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	          ※ 6★ Memory Shard\n       ※ <color=#0E70BD>Trade Voucher</color>\n    ※ Equipment & CUB Enhancement Material	
14	5	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	            ※ Obtain <color=#0E70BD>CUB R&D Ticket x2,500</color> in total\n         ※ CUB Overclock Material\n      ※ Massive <color=#0E70BD>Trade Vouchers</color>\n    ※ Immediately get <color=#0E70BD>10</color> rating levels after \n purchase	
15	5	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	             ※ Scepter Coating <color=#0E70BD>Spring's Rising</color>\n           ※ Obtain <color=#0E70BD>Event Construct R&D Ticket\n         x2,500</color> in total\n      ※ Massive <color=#0E70BD>Trade Vouchers</color>\n   ※ Immediately get <color=#0E70BD>10</color> rating levels after\n purchase	
16	6	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	         ※ 6★ Memory Shard\n       ※ <color=#0E70BD>Trade Voucher</color>\n     ※ Equipment & CUB Enhancement Material	
17	6	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	            ※ Obtain <color=#0E70BD>CUB R&D Ticket x2,500</color> in total\n          ※ CUB Overclock Material\n       ※ Massive <color=#0E70BD>Trade Vouchers</color>\n    ※ Immediately get <color=#0E70BD>10</color> rating levels\n after purchase	
18	6	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	            ※ Uniframe: Chain Blade Coating\n            <color=#0E70BD>Blue Slumber</color>\n         ※ Obtain <color=#0E70BD>Event Construct R&D Ticket\n       ×2,500</color> in total\n    ※ Massive <color=#0E70BD>Trade Vouchers</color>\n ※ Immediately get <color=#0E70BD>10</color> rating levels\n after purchase	
19	7	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	         ※ 6★ Memory Shard\n        ※ <color=#0E70BD>Trade Voucher</color>\n     ※ Equipment & CUB Enhancement Material	
20	7	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	      ※<color=#0E70BD>CUB R&D Ticket ×2500</color> in total\n※<color=#0E70BD>Inver-Shard - Luminance</color> and CUB Overclock\n   Material\n※Massive <color=#0E70BD>Trade Vouchers</color>\n※<color=#0E70BD>+10</color> rating levels upon purchase	
21	7	Top-Secret Intel	5	68		800015	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg1.png	      ※Banner Spear Coating <color=#0E70BD>Shining Banner</color>\n      ※Obtain <color=#0E70BD>Event Construct R&D Ticket x2500</color>\n         in total\n      ※<color=#0E70BD>Inver-Shard - Luminance</color> and massive \n         <color=#0E70BD>Trade Vouchers</color>\n      ※<color=#0E70BD>+10</color> rating levels upon purchase	
22	8	Basic Intel			1		Assets/Product/Texture/Image/UIPassport/UIPassportShopBg3.png	           ※ 6★ Memory Shard\n         ※ <color=#0E70BD>Trade Voucher</color>\n      ※ Equipment & CUB Enhancement Material	
23	8	Encrypted Intel	5	30		800014	Assets/Product/Texture/Image/UIPassport/UIPassportShopBg2.png	                ※<color=#0E70BD>CUB R&D Ticket ×2500</color> in total\n               ※<color=#0E70BD>Inver-Shard - Luminance</color> and CUB Overclock \n                  Material\n          ※Massive <color=#0E70BD>Trade Vouchers</color>\n       ※<color=#0E70BD>+10</color> rating levels upon purchase	
