Id	Key[1]	Key[2]	Key[3]	Key[4]	Key[5]	Key[6]	Key[7]	Key[8]	Key[9]	Key[10]	Key[11]	Key[12]	Key[13]	Key[14]	Key[15]	Key[16]	Key[17]	Key[18]	Key[19]	Key[20]	Key[21]	Key[22]	Key[23]	Key[24]	Key[25]	Key[26]	Key[27]	Key[28]	Key[29]	Key[30]	Key[31]	Key[32]	Key[33]	Key[34]	Key[35]	Key[36]	Key[37]	Key[38]	Key[39]	Key[40]	Key[41]	Key[42]	Key[43]	Key[44]	Key[45]	Key[46]	Key[47]	Key[48]	Key[49]	Key[50]	Key[51]	Key[52]	Key[53]	Key[54]	Key[55]	Key[56]	Key[57]	Key[58]	Key[59]	Key[60]	Key[61]	Key[62]	Key[63]	Key[64]	Key[65]	Key[66]	Key[67]	Key[68]	Key[69]	Key[70]	Key[71]	Key[72]	Key[73]	Key[74]	Key[75]	Key[76]	Key[77]	Key[78]	Key[79]	Key[80]	Key[81]	Key[82]
110401	4|Cast|11040101	0|Effect|FxR2KamuAtk01||1||	4|Cast|11040103	4|Shake|3|0.25|-1|10|0.15|1																																																																														
110402	4|Cast|11040201	4|Shake|2|0.3|-1|10|0.25|1	0|Effect|FxR2KamuAtk02||1||	4|Cast|11040204																																																																														
110403	3|Cast|11040301	10|Cast|11040302	3|Cast|11040303	10|Cast|11040304	0|Effect|FxR2KamuAtk03Sound||1||																																																																													
110404	4|Cast|11040401	10|Cast|11040402	4|Cast|11040403	10|Cast|11040404	0|Effect|FxR2KamuAtk04Sound||1||																																																																													
110405	11|Cast|11040501	11|Cast|11040502	11|Cast|11040503	1|Effect|FxR2KamuAtk05Xuli||1||	11|Shake|4|0.5|-2|12|0.2|2	11|Shake|3|0.5|-0.75|12|0.5|1	0|Effect|FxR2KamuAtk05Sound||1||																																																																											
110406	4|Cast|11040601	0|Effect|FxR2KamuAtk01||1||	4|Cast|11040603	4|Shake|3|0.25|-1|10|0.15|1	2|Move|30|0.1|-60||																																																																													
110407	2|Cast|11040701	7|Cast|11040702	2|Cast|11040703	7|Cast|11040704	7|Cast|11040705	7|Shake|4|0.5|-2|10|0.2|2	7|Shake|3|0.5|-0.75|10|0.5|1	0|Effect|FxR2KamuAtk11Sound||1||																																																																										
110408	2|Cast|11040801	7|Cast|11040802	2|Cast|11040803	7|Cast|11040804	7|Cast|11040805	7|Shake|4|0.5|-2|10|0.2|2	7|Shake|3|0.5|-0.75|10|0.5|1	0|Effect|FxR2KamuAtk11Sound||1||																																																																										
110409	2|Cast|11040901	7|Cast|11040902	2|Cast|11040903	7|Cast|11040904	7|Cast|11040905	7|Shake|4|0.5|-2|10|0.2|2	7|Shake|3|0.5|-0.75|10|0.5|1	0|Effect|FxR2KamuAtk13Sound||1||																																																																										
110410	3|Cast|11041001	3|Cast|11041002	0|Cast|11041003	3|Shake|3|0.35|-1|10|0.35|1	3|Shake|5|0.35|-0.75|10|0.2|2	0|Magic|110460|0																																																																												
110411	3|Cast|11041101	3|Cast|11041102	0|Cast|11041103	3|Shake|3|0.35|-1|10|0.35|1	3|Shake|5|0.35|-0.75|10|0.2|2	0|Magic|110461|0																																																																												
110412	3|Cast|11041201	3|Cast|11041202	0|Cast|11041203	3|Shake|3|0.35|-1|10|0.35|1	3|Shake|5|0.35|-0.75|10|0.2|2	0|Cast|11041209	0|Magic|110462|0																																																																											
110413	3|Cast|11041301	7|Cast|11041302	3|Cast|11041303	7|Cast|11041304	7|Shake|2|0.45|-1|12|0.45|1	0|Effect|FxR2KamuAtk31Sound||1||																																																																												
110414	3|Cast|11041401	7|Cast|11041402	3|Cast|11041403	7|Cast|11041404	7|Shake|2|0.45|-1|12|0.45|1	0|Effect|FxR2KamuAtk31Sound||1||																																																																												
110415	3|Cast|11041501	7|Cast|11041502	3|Cast|11041503	7|Cast|11041504	7|Shake|2|0.45|-1|12|0.45|1	0|Effect|FxR2KamuAtk33Sound||1||	7|Cast|11041510																																																																											
110416	4|Cast|11041601	9|Cast|11041602	9|Shake|3|0.5|-0.6|10|0.25|1	3|Cast|11041604	8|Cast|11041605	8|Cast|11041606	0|Effect|FxR2KamuAtk33Sound||1||																																																																											
110417	6|Cast|11041701	12|Cast|11041702	15|Cast|11041703	18|Cast|11041704	27|Cast|11041705	1|Cast|11041706	2|Cast|11041707	6|Cast|11041708	11|Cast|11041709	27|Cast|11041710	0|Effect|FxR2KamuAtkQteSound||1||	26|Magic|110477|0	26|Magic|110478|0	38|Magic|110479|0																																																																				
110418	0|Cast|11041801	8|Magic|100094|0																																																																																
110419	0|Cast|11041901	10|Magic|100094|0																																																																																
110420	0|Cast|11042001	0|Cast|11042002	0|Magic|110428|0	6|Magic|110429|0																																																																														
110421	0|Magic|110481|0	0|Effect|FxR2KamuWin||||																																																																																
110422	0|Magic|110481|0	0|Effect|FxR2KamuWin||||																																																																																
110423																																																																																		
110424	0|Magic|110480|0	0|Effect|FxR2KamuBorn||||																																																																																
110425	3|Cast|11042501	0|Effect|FxR2KamuP2Atk01||1||																																																																																
110426	1|Cast|11042601	6|Cast|11042602	0|Effect|FxR2KamuP2Atk02||1||																																																																															
110427	1|Cast|11042701	6|Cast|11042702	0|Effect|FxR2KamuP2Atk03||1||																																																																															
110428	6|Cast|11042801	0|Effect|FxR2KamuP2Atk04||1||																																																																																
