Id	Name	Icon	Des	StarLevel	SubScore	FightEventIds[1]
100121	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100122	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100123	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100124	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
100125	Signal Amplifier III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 3 random Signal Orbs in every 10s.	3	300	93348
100126	QTE Synergy	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	Triggering a QTE by a 3-Ping will trigger another character's QTE	1	100	90903
100127	QTE Heal	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	After triggering a QTE, heals 15% of the current character's max HP	1	300	21131
100221	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100222	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100223	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100224	DMG Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 60%	3	400	97130
100225	Signature Reduction III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	Characters receive 30 Energy for every 10s they stay in battle.	3	300	190123
100226	Energy Boost III	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	Obtains additional 3 points of Basic Attack Energy	3	300	51026
100321	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100322	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
100323	Damage Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	ATK of team members increases by 80%	2	400	96002
100324	DMG Reduction I	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	Extra DMG Reduction of all members increases by 30%	1	200	97128
100325	Healing Riot	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	Excess healing is converted into 200% damage	1	100	93390
100326	Signal Amplifier II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Gain 2 random Signal Orbs in every 15s.	2	200	93347
100327	Unrivalled	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	All 1-Pings and 2-Pings of team members are regarded as 3-Pings	1	800	93344
100421	Super Armor Boost	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	Grants Super Armor to team members	1	200	97114
100422	HP Boost II	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	HP of all team members increases by 5,000	2	200	93307
