Id	RobotId	StarLevel	TargetId[0]	AddScore	FightEventId[1]
10101	75011	10	0	150	
10102	75001	10	0	100	
10103	75021	10	0	100	
10104	75161	10	0	50	
10201	75051	10	0	150	
10202	75031	10	0	100	
10203	75171	10	0	100	
10204	75191	10	0	50	
10205	75081	10	0	50	
10301	75201	10	0	200	
10302	75071	10	0	200	
10303	75261	10	0	100	
10304	75091	10	0	100	
10305	75271	10	0	50	
10401	75161	10	0	200	
10402	75101	10	0	150	
10403	75281	10	0	150	
10404	75021	10	0	50	
10405	75251	10	0	50	
10501	75061	10	0	200	
10502	75131	10	0	150	
10503	75141	10	0	150	
10504	75221	10	0	100	
10505	75391	10	0	100	
10601	75172	10	0	250	
10602	75002	10	0	200	
10603	75152	10	0	200	
10604	75022	10	0	150	
10605	75232	10	0	150	
10701	75012	10	0	300	
10702	75082	10	0	200	
10703	75092	10	0	200	
10704	75212	10	0	100	
10705	75272	10	0	100	
10801	75202	10	0	350	
10802	75182	10	0	250	
10803	75112	10	0	250	
10804	75092	10	0	150	
10805	75292	10	0	150	
10901	75042	10	0	300	
10902	75282	10	0	250	
10903	75262	10	0	250	
10904	75352	10	0	150	
10905	75342	10	0	150	
11001	75052	10	0	300	
11002	75172	10	0	200	
11003	75062	10	0	200	
11004	75342	10	0	150	
11005	75372	10	0	150	
11101	75362	10	0	150	
11102	75302	10	0	150	
11103	75332	10	0	150	
11104	75382	10	0	150	
11201	75022	10	0	300	
11202	75092	10	0	250	
11203	75112	10	0	250	
11204	75342	10	0	200	
11301	75182	10	0	250	
11302	75292	10	0	200	
11303	75342	10	0	200	
11304	75372	10	0	150	
11305	75272	10	0	150	
11401	75002	10	0	150	
11402	75082	10	0	150	
11403	75032	10	0	150	
11404	75162	10	0	150	
11405	75352	10	0	100	
11501	75053	10	0	200	
11502	75063	10	0	150	
11503	75233	10	0	150	
11504	75093	10	0	100	
11505	75113	10	0	100	
11601	75163	10	0	200	
11602	75123	10	0	150	
11603	75223	10	0	150	
11604	75253	10	0	100	
11605	75353	10	0	100	
11701	75363	10	0	140	
11702	75303	10	0	140	
11703	75333	10	0	140	
11704	75383	10	0	140	
11705	75403	10	0	140	
11801	75043	10	0	190	
11802	75143	10	0	140	
11803	75373	10	0	140	
11804	75343	10	0	100	
11805	75103	10	0	100	
11901	75003	10	0	160	
11902	75373	10	0	140	
11903	75193	10	0	140	
11904	75253	10	0	130	
11905	75393	10	0	130	
12001	75253	10	0	200	
12002	75213	10	0	200	
12003	75183	10	0	200	
12004	75103	10	0	200	
12005	75133	10	0	200	
12006	75343	10	0	150	
