Id	SubId[1]	SubId[2]	SubId[3]	SubId[4]	SubId[5]	SubId[6]	SubId[7]	SubId[8]	SubId[9]
10012	100121	100122	100123	100124	100125	100126	100127		
10022	100221	100222	100223	100224	100225	100226			
10032	100321	100322	100323	100324	100325	100326	100327		
10042	100421	100422	100423	100424	100425	100426			
10052	100521	100522	100523	100524	100525	100526	100527		
10062	100621	100622	100623	100624	100625	100626	100627		
10072	100721	100722	100723	100724	100725	100726			
10082	100821	100822	100823	100824	100825	100826	100827		
10092	100921	100922	100923	100924	100925	100926			
10102	101021	101022	101023	101024	101025	101026			
10112	101121	101122	101123	101124	101125	101126			
10122	101221	101222	101223	101224	101225	101226	101227		
10132	101321	101322	101323	101324	101325	101326			
10142	101421	101422	101423	101424	101425	101426	101427		
10152	101521	101522	101523	101524	101525	101526			
10162	101621	101622	101623	101624	101625	101626	101627		
10172	101721	101722	101723	101724	101725	101726	101727		
10182	101821	101822	101823	101824	101825	101826	101827		
10192	101921	101922	101923	101924	101925	101926			
10202	102021	102022	102023	102024	102025	102026	102027		
