Id	DefaultTargetId	TargetId[0]	TargetId[1]	TargetId[2]	TargetId[3]	TargetId[4]	TargetId[5]	AddScore
101011	1010111	1010112	1010113					
101012	1010121	1010122	1010123					
101013	0	1010131	1010132					
101021	0	1010211	1010212					
101022	0	1010221	1010222					
102011	1020111	1020112	1020113					
102012	1020121	1020122	1020123					
102013	0	1020131	1020132					
102021	0	1020211	1020212					
102022	0	1020221	1020222					
102023	0	1020231	1020232					
103011	1030111	1030112	1030113					
103012	1030121	1030122	1030123					
103013	0	1030131	1030132	1030133				
103021	0	1030211	1030212	1030213				
103022	0	1030221	1030222	1030223				
103023	0	1030231	1030232	1030233				
104011	1040111	1040112	1040113					
104012	1040121	1040122	1040123					
104013	0	1040131	1040132					
104014	0	1040141	1040142					
104021	0	1040211	1040212					
104022	0	1040221	1040222					
104023	0	1040231	1040232					
105011	1050111	1050112	1050113					
105012	1050121	1050122	1050123					
105013	0	1050131	1050132					
105014	0	1050141	1050142					
105021	1050211	1050212	1050213					
105022	0	1050221	1050222					
105023	0	1050231	1050232					
105031	0	1050311	1050312					
105032	0	1050321	1050322					
106011	1060111	1060112	1060113					
106012	1060121	1060122	1060123					
106013	0	1060131	1060132	1060133				
106021	0	1060211	1060212	1060213				
106022	0	1060221	1060222	1060223				
106023	0	1060231	1060232	1060233				
106024	0	1060241	1060242	1060243				
107011	1070111	1070112	1070113					
107012	1070121	1070122	1070123					
107013	0	1070131	1070132	1070133				
107014	0	1070141	1070142	1070143				
107021	0	1070211	1070212	1070213				
107022	0	1070221	1070222	1070223				
107023	0	1070231	1070232	1070233				
108011	1080111	1080112	1080113					
108012	1080121	1080122	1080123					
108013	0	1080131	1080132	1080133				
108021	1080211	1080212	1080213	1080214				
108022	0	1080221	1080222	1080223				
108023	0	1080231	1080232	1080233				
108024	0	1080241	1080242	1080243				
108031	0	1080311	1080312					
108032	0	1080321	1080322					
109011	1090111	1090112	1090113					
109012	1090121	1090122	1090123					
109013	0	1090131	1090132	1090133				
109014	0	1090141	1090142	1090143				
109021	0	1090211	1090212	1090213				
109022	0	1090221	1090222	1090223				
109023	0	1090231	1090232	1090233				
109024	0	1090241	1090242	1090243				
110011	1100111	1100112	1100113					
110012	1100121	1100122	1100123					
110013	1100131	1100132	1100133					
110014	0	1100141	1100142	1100143				
110015	0	1100151	1100152	1100153				
110021	0	1100211	1100212	1100213				
110022	0	1100221	1100222	1100223				
110023	0	1100231	1100232	1100233				
111011	1110111	1110112						
111012	1110121	1110122						
111013	0	1110131	1110132					
111021	0	1110211	1110212					
111022	0	1110221	1110222					
111023	0	1110231	1110232					
112011	1120111	1120112	1120113					
112012	1120121	1120122	1120123					
112013	0	1120131	1120132	1120133				
112021	1120211	1120212	1120213					
112022	0	1120221	1120222	1120223				
112023	0	1120231	1120232	1120233				
112031	0	1120311	1120312					
113011	1130111	1130112	1130113					
113012	1130121	1130122	1130123					
113013	0	1130131	1130132	1130133				
113014	0	1130141	1130142	1130143				
113021	0	1130211	1130212	1130213				
113022	0	1130221	1130222	1130223				
113023	0	1130231	1130232	1130233				
114011	1140111	1140112	1140113					
114021	0	1140121	1140122					
115011	1150111	1150112	1150113					
115012	0	1150121	1150122	1150123				
115013	0	1150131	1150132	1150133				
115014	0	1150141	1150142	1150143				
115015	0	1150151	1150152	1150153				
115021	0	1150211	1150212	1150213				
115022	0	1150221	1150222	1150223				
115023	0	1150231	1150232	1150233				
116011	1160111	1160112	1160113					
116012	0	1160121	1160122	1160123				
116013	0	1160131	1160132	1160133				
116021	0	1160211	1160212	1160213				
116022	0	1160221	1160222	1160223				
116031	0	1160311	1160312					
117011	1170111	1170112	1170113					
117012	0	1170121	1170122	1170123				
117013	0	1170131	1170132	1170133				
117021	0	1170211	1170212	1170213				
117022	0	1170221	1170222	1170223				
117031	0	1170311	1170312					
118011	1180111	1180112	1180113					
118012	0	1180121	1180122					
118013	0	1180131	1180132					
118021	0	1180211	1180212					
118022	0	1180221	1180222					
119011	1190111	1190112						
120011	1200111	1200112						
120021	0	1200211	1200212					
